mint Latin,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1855460,spotify_espa%C3%B1a
1,Bad Tattoo,7dC8WwpuI6KXUAfINyHQdf,Tom & Collins,1XU5MjR4kex9BGyY4UMtta,Bad Tattoo,4W7AWJ1Iemk5fgh4WtL0R7,42,https://p.scdn.co/mp3-preview/d90495a3263c5b7286895821ab43a5c13766f4aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,I Do,0WSjWLgEcatCxUTar0ZxTV,Dakar,1AFLSmQHDeR1no58sHKLg9,I Do,3Gg6r8KnpuT6T4hhq3aEb4,41,https://p.scdn.co/mp3-preview/0626be5165be65a3140fb9e28c257abbb91d994a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Tell Me Baby,74a8uh6LujRi29INbe4Inv,RodMac,7dbe4S6XKgCPQrZ5YtWOyP,Tell Me Baby,4bTpbevMaX5BXe8EUnxpDp,37,https://p.scdn.co/mp3-preview/0a45ebfeec5acb1d318c1ff97cd9d3dc9f3ed129?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Treat Her Better,3hfqwKeH0mUa22ZaGVxnDE,Drianu,72jjwxdpS7lAytZEsRNgvL,Treat Her Better,16O2mOW2hyvNC0ZShtIiDq,30,https://p.scdn.co/mp3-preview/b4ae46322c8bb149a984381a33644523e8e9831f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Te Vas,365AIaW2TfwodPX30tn71e,INNA,2w9zwq3AktTeYYMuhMjju8,YO,4BaDuakq8ON5eOQFRoNYM5,55,not available
6,Nunca Te Vayas,6hM4kTaHnXox5B6nHxsvNA,Fortu & Mendoza,1Hxlo5vn0d4y63L6C0kxex,Nunca Te Vayas,2C5siAjfjdNpK8qeS0iy9g,29,https://p.scdn.co/mp3-preview/52f022de0840720667f062715da1b353154c5e00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Karma,6NmNYlnbU1ZCZeBpKWrpWd,SBM,10sogTUsGzLPeCcrOcEPF1,Karma,004hdhMaKgLeSSAJmBWvkd,42,https://p.scdn.co/mp3-preview/f1717eeaa71eabb0fb60edb382ae6ed140a98062?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Somebody That You Loved,2x6kFL5AIIwacxHySO4mXP,Bruno Martini,5veVxxPm1vzgi6pO2iVA8L,Somebody That You Loved,2hZK1aGxPqE8XMyUK8bV79,61,not available
9,Cuba (Tiene Sabor) [feat. Omara Portuondo],5QhDqbqLk759MNSjegdlzw,BUNT.,2CpLIMBoE2ZzyY3ZBCRZ7j,Cuba (Tiene Sabor) [feat. Omara Portuondo],1IYev94TKpjt8s563JwM3S,54,not available
10,(Don't) Lose Control,75uCHdtectLq47cs3Dt8S0,The Vlack,0lrMsa4OgXFpPghwVjal10,(Don't) Lose Control,0mcHUS6XhVHakf9Aj0dDNN,30,https://p.scdn.co/mp3-preview/91a7e8d660906ceda4fc766f2ca32372cb04ab44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Guajira Guantanamera,4BgFUr74D8bTkG1HsWBA1R,HUGEL,5PlfkPxwCpRRWQJBxCa0By,Guajira Guantanamera,2HRXHVzK04v5vis8kV1Jwf,62,https://p.scdn.co/mp3-preview/1fd0654cbcbcc379da4d926cf75b5c3d2d51a0f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Papayé,6ZVZJpRpX49M4FlVTV07iX,The Wookies,6IPSnlQfZiEJxFG4oFAz7a,Papayé,1Bdht0mZfOdz5uQnRtCdQo,48,https://p.scdn.co/mp3-preview/441a694fec797581d062e1dcc824be19bcf247d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Bailar,0qNU18WXkBd6HhoDXnnQLs,Blue Mary,2GPEaK0AzTsnUJHSFVTPjh,Bailar,7xNGNkUUwoFsHbSc4pHesm,35,https://p.scdn.co/mp3-preview/98a1d2b9f888b518a30f2db6cfcf5b38eb281554?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Calma - Alan Walker Remix,1aSarrHE1TK9vSmyozuo4K,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,Calma (Alan Walker Remix),7dcAhwEKq6RGTDbMYYsMW6,69,https://p.scdn.co/mp3-preview/de3cbea8c02a4feab7e7ece658e2878b3c8b2009?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Jungle Fever,2b8yIyTfj3shfgoni3giz6,PAUZA,2GZ0VsYD0N5Gb3EOIELa1N,Jungle Fever,7hENSHqE9M0P4tA83JCksM,44,https://p.scdn.co/mp3-preview/5982bcf1a3fdcabb0c2fb3bf15bf15116ed5dc0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Back to You,6KUb2wilBgNoDj9fLvhURh,ZEXTONE,0t2rVUFJxfR071gkSIwiCC,Back to You,2X2AtGM71D84geEVsILaKM,34,https://p.scdn.co/mp3-preview/ba8ec3dad43046dd4766de0d4d2d2138ff78e6d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Rewind (feat. Caelu),75exSBqGJwoLRjgwN5YREO,Cat Dealers,3q2dSq7VZnj8TmoJUyRm40,Rewind (feat. Caelu),5xlXjsVRzU0Lb28rdcMgU1,65,https://p.scdn.co/mp3-preview/f545a02aa887b5d244e5be896670fdc0333d0fb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Don't Dream It's Over,2vGzIWcTV96T9Lq26l2cW5,Tom & Collins,1XU5MjR4kex9BGyY4UMtta,Don't Dream It's Over,0OzfYVwzJqmkK8bIIy9x8W,49,not available
19,Moving On,1RYJcnCXiW1LCBlh4T8n16,RDGO,6UZEErPAl6SmBfodfX4U8c,Moving On,4m62Hw19KDBRp4dyptmHes,32,https://p.scdn.co/mp3-preview/be41bfd5979615d2c10359ee6e4e332ee2842c2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
