Pop con Ñ,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
45,No te enamores,4AMNoX4gzC25M4I00poxI2,Efecto Pasillo,6CSa1r92LtHHdLG6kRabU3,No te enamores,0yxb8LtH8V3TPsr0bkuPl2,65,https://p.scdn.co/mp3-preview/7a022a8e1376c4d1bf140721acc30360fca5cbeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Ocean,6qoIFQfdmaQF9A1gb67tR7,KAROL G,790FomKkXshlbRYZFtlgla,OCEAN,4i5b4YWuMtneUSvQPONwzK,82,not available
47,Eterno Verano,2QOtabBloSf7iti6MndGIs,Miki Núñez,2hahtdJusGYC77DKod4qfB,Amuza,28J7X3YF7SyRGoCvPJv1O9,62,not available
48,Yo,6JR7vrAdMYCrB4YGKUurCd,Arnau Griso,5gnF05YcUt010aB7EWk96U,Yo,4F1zbvXmnw0gbiBCtthT96,59,https://p.scdn.co/mp3-preview/7a85d44c071981e33dbcdf8ad6e4fb24a231a675?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Gitana de Madrid,30nqFDBYZQCs455xmo2fIa,Sinsinati,2rGri7YZ2eiCS58zgvmlQb,Gitana de Madrid,3VcqWaHD8LO2QPsKV3pSgm,57,https://p.scdn.co/mp3-preview/58568bae108383ef71ffdf4b27c16c39b29e4625?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Y se fue (con Nil Moliner),4nyXkLRwFOYD00qHTgAsZP,La Pegatina,4xvB67czbtvemGVXGa81oK,Un secreto a voces,0KHcK2Qehfh1imPj5NJXZz,55,https://p.scdn.co/mp3-preview/1f3ba4c69612587411df0619c6345583e234914b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Trébol,6xJixxbiVx6tUUiJIiqmbC,David Cuello,1wzDsC88hQYnT3yWtFQZH8,Trébol,75s1FYzM7x86zUd7Z4psIF,47,https://p.scdn.co/mp3-preview/c95c6bf6a63b9bd5244065d0d546993c7a02607e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Media Tinta,05Xna7BUYBWuvEPdBNOq7t,Sofia Ellar,0zuqz96cs1dQcxc2FpLPcR,Media Tinta,3fy0AQR7nr6OnEMrhgymm2,58,https://p.scdn.co/mp3-preview/20258eff6b6b7073cad941f09a60f6239e1de01a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Diamante,5VDaTLI7XXcj7a7s6nukml,David Rees,2CQHyfluB4mliyv193Qn2L,Diamante,1ZQZk1ToEoT9cdcoVS8ZMJ,55,https://p.scdn.co/mp3-preview/ce48fefcb9c63eb3597017dda62a2f9c2f43cf64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,María (con Dani Fernández),7vdd9oiF5NPMASIKpk14YI,Lucas Colman,5fRFBYxLHk3yKoLS59obIq,María (con Dani Fernández),3V89a71GltrDhpprfRTDVU,52,https://p.scdn.co/mp3-preview/5a5ed52abf75b09b4b81a7354dccb0ca4bf2cb6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Donna (feat. Andrés Dvicio),4rjwGxk7pLTyY2x5H7uKko,Sergio Dalma,7x6XYw3yCC67Pizi4o0wvZ,Donna (feat. Andrés Dvicio),1IeGDDjB15tlZAhvBiWRWz,54,https://p.scdn.co/mp3-preview/15261368a9898ae088628e2a9491e1f4dce5e745?cid=fa83a2fec7c440b7a2795d600d6b2c7e
