Te Quiero,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Te Regalo,5ErcCfdGMmeqT2DCMCE4pB,Carla Morrison,0XK6kT7xcZAlcYrNjOgzJe,Te Regalo,0KpR2Ay6egxk0oMg3zGVZQ,69,https://p.scdn.co/mp3-preview/3e51bde9833feda1f9d887ae8f0c1960d2ba83b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Así Te Pedí,1cO56bPsi3HSaNFoM2W7nt,Zeri,1ISG0zSleX4gwbBf4AydB8,Extraños,7ARKVwlzBXcHgBKxmm77nU,64,https://p.scdn.co/mp3-preview/3122cd6f5096ee3424b1fdcde25d3489ccae84cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Atado Entre Tus Manos,0A7Bx1u7ufBNclwcfs02mG,Tommy Torres,264nbMzGPSkDZqTY8nXwCG,Atado Entre Tus Manos,4ynLSCZ4KGaB3mIbYHb2dw,66,https://p.scdn.co/mp3-preview/6ca12b9d1bf5237a6c6052250b4b2cdd5583309e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Te Voy a Amar,6G6DiIkasBrTbARK74U7kv,Andrés Cepeda,49Z1AvGeUaBSanPaOmplK6,Te Voy a Amar,5Nbmpy3j7Bsk5Fi2AUSQYh,65,https://p.scdn.co/mp3-preview/bb53db5ee14e82911fd394f9407a9b694e42e8cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,No Pasa Nada,6Gusd5o0sQD1jmmoQlvNw4,Ha*Ash,5xd2Tg7Zo8755eCy8Gxkp8,30 de Febrero,2OxyM5ID5JYs1wh8hTsJph,69,https://p.scdn.co/mp3-preview/ed64194f852288943a6c79f9563ece67acdb4789?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Simples Corazones - Acoustic Version,6Gy0swk2i78Xm8V9Ka51N2,Fonseca,53KTldaJ8tHSkYU3nigfwP,Simples Corazones (Acoustic Version),11UidmQLJbPFt5HIbTHxd8,4,not available
31,Lo Que Nos Merecemos,7lBOBU7sTDpEUDyoWFjbA4,Melendi,1EXjXQpDx2pROygh8zvHs4,Ahora,2cx8aUPxZ0GvVJkJdNXeOM,60,https://p.scdn.co/mp3-preview/3963f0a95a0c27d0ba733b09b3cdf8f5243ef993?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Di Qué Sientes Tú,2k7oWwvj3bGQ68HnsC813H,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,Di Qué Sientes Tú,0rVE9WVqyMwFX4HM98OnkC,67,https://p.scdn.co/mp3-preview/f9563105bf5c8c04a351ce5fb97d806a3891421d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Buena Señal,4kpAZKCOW56xfDvVBiIJU2,Carolina Ross,5wx70QuZtxRUIIYek3RSaV,Buena Señal,3J0I5i73vmM6YwBoFltt3e,62,https://p.scdn.co/mp3-preview/fd959c8584a411fc6dca1cc6c2bc2d5b6be6d797?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,No Tengo Nada,2gXclup5H2J9dInrVLFs3n,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,No Tengo Nada,0sUMIXlf7GdaeiEibYJLml,64,not available
35,Porque Nadie Sabe (feat. Nahuel Pennisi),634bnc3qpYP0FEg1216H4U,Fonseca,53KTldaJ8tHSkYU3nigfwP,Porque Nadie Sabe (feat. Nahuel Pennisi),11oNwim2hZw0d4kWPrz6MD,7,not available
36,Empiezo a Caer,15P95UWBRfUDrB9Ok8AKtu,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,Arte,37YOrd3yOJva0INlJrNyxf,61,https://p.scdn.co/mp3-preview/fc61c5c2a81f71f0d94426812c58f4588e08bd49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Ocean,6qoIFQfdmaQF9A1gb67tR7,KAROL G,790FomKkXshlbRYZFtlgla,OCEAN,4i5b4YWuMtneUSvQPONwzK,82,not available
38,Ya Para Qué,7HCZWKJmHITV7Pt5YTQDcL,Greeicy,5dbaLmK5SHLLg8Z4CcTJpX,Ya Para Qué,0w3QTlwt8mDWQfHW9c4CIz,62,not available
39,Prometo,4Wc0FFBjYDVNJ3Zx3fck6s,Pablo Alborán,5M9Bb4adKAgrOFOhc05Y50,Prometo,07c88Esc2q8pUl0tXADs3D,63,https://p.scdn.co/mp3-preview/e21b1df88028b5caa74259863890e0f1ee0157dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Cuenta Pendiente,2kurCucOSCAu1xo0t2f3Vz,Paty Cantú,7K9rdoOJSiKXoVXPlSkGKT,Cuenta Pendiente,3yNPDHm0BGhP1c00ovnCU0,63,not available
