Cantautores,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Agua,5omgFpiMt1CGHjQGfkwzvz,Jarabe De Palo,5B6H1Dq77AV1LZWrbNsuH5,Depende,5aLIm5xrN5UxUZOXbjyrrx,67,https://p.scdn.co/mp3-preview/153177fda3f50cb88c0177d101c0c8acaeb5b61f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Yolanda,1g5dfzxtSWEhLoGW0CWszT,Pablo Milanés,4vOfKh5wz7lTcdqB3EwsC5,La Mas Completa Coleccion,216TXqfJoWlmx1FOoTKoiH,3,not available
22,Aunque tú no lo sepas,2VybHZvsshGs8GpOaB0wS1,Enrique Urquijo y Los problemas,43Q662o1VzhO3xwj97FWxT,Desde Que No Nos Vemos,1pQrDGSI9b3W3ur1XEYhVN,53,https://p.scdn.co/mp3-preview/3bcf0849a45c9bcffb46df2890123f9bf493cd86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Todo se transforma,4YEU9N2XAE0DfUwxWI5ijA,Jorge Drexler,4ssUf5gLb1GBLxi1BhPrVt,Eco,5iy3qKctiZAsvb2ORx8vR7,65,https://p.scdn.co/mp3-preview/73def48496dce634a788ebd4ff92db407766cd6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Por el Bulevar de los Sueños Rotos,7KcFlbQmzhVczGMor3Fhr9,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,Esta Boca Es Mia,5PRLhyzly43RBl6ZAeydzk,61,https://p.scdn.co/mp3-preview/4a27cb2a1b642c290afcd7542a70853651583f62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Mi Problema,6PIRiVNVZk0vN9ZyUJTqKj,Ismael Serrano,4eyF2eDCunzeFykH90Ej34,La Llamada,4IKa51k08eP9C6MhKslZ21,49,https://p.scdn.co/mp3-preview/4e7a9d01c88982be674206dc1feb862019a3c039?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,El sitio de mi recreo,2tkMVjFwDzUCG3ulmz3fCb,Antonio Vega,0r4YtlmJPQk1xhiVKHuPeF,Canciones 1980-2009,07JZVPABSbkGmTHDHDCt6u,56,https://p.scdn.co/mp3-preview/9e20849a987928bca004fe3d3e03276b89876a57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,El Hombre del Piano,61ccRl3FBtLs3U5HuBtP6e,Ana Belén,4NOZW7dBOmBMMAG9EGQd4t,26 Grandes Canciones Y Una Nube Blanca,45MhAsX9X7z5siVUxUjUk7,55,https://p.scdn.co/mp3-preview/20b6f9fe4477b64cd39d9716a9445e62e89d134a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,La vida es más compleja de lo que parece,0KF9s5HhXY9om1zpyo6Uox,Jorge Drexler,4ssUf5gLb1GBLxi1BhPrVt,12 segundos de oscuridad,7CzMD65vBeWb6xRRK9iHgz,53,https://p.scdn.co/mp3-preview/b1a2136b1cfe5527f761dc41fe8e1f44696eab61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,La Flor de la Canela (with Joaquín Sabina),7uWPGOYJ5VD9ygh33Eemex,Maria Dolores Pradera,58LNn3iNPmmHusH1EkyBm4,Gracias A Vosotros,0U2kCRus4ANRCL4SoDkNRO,51,https://p.scdn.co/mp3-preview/3076b77c9225d677f3ce8d3efba7e36c9b0fa794?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Prefiero amar,3Ig5t3esx6oEXPzFfn837w,Luis Eduardo Aute,67h1eGw2OFs89l8EnaOdoS,Aire,3eiUKyEarSxAvjZLqIJ1M6,42,https://p.scdn.co/mp3-preview/3e7c56079f05ce14a8b75683265f4ccb492df3cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Solo le Pido a Dios,5zXJVUTFMZlwZ3BKC9FBSC,Mercedes Sosa,2HvyR5FsU37QMqVzIbGwl7,La Negra - The Definitive Collection,0a46V30Rb49IYla0NQQaqe,35,https://p.scdn.co/mp3-preview/60f30521c9ef4eefe0855113d4f718e4dc5dd077?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,A la Sombra de un León,4jptQwyaHK6SmHlUMClolD,Ana Belén,4NOZW7dBOmBMMAG9EGQd4t,Los Grandes Exitos... Y Mas,2bDPIzb4w8HRT7JX479CTz,40,https://p.scdn.co/mp3-preview/733d543f7873975a29656f36d8656a5053c5d5cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Un Ramito de Violetas,6bEep0TL9On222hdpcsCcH,Cecilia,4J3cenBCGspvBrpmqQa7RR,Un Ramito De Violetas,6Kp4RsT85CYZq11sqzfPAw,48,https://p.scdn.co/mp3-preview/941d7159195327d52f3f03aae85ab0ecb6789ffe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Soldadito marinero,0eVborSuxUeSg0meWYd9dZ,Fito y Fitipaldis,1tZ99AnqyjgrmPwLfGU5eo,Lo mas lejos a tu lado,5ARI6MI0J9CnAqT9vfhd4n,69,https://p.scdn.co/mp3-preview/6e7b30d3842fb5ec0fe017920067f41e8c1da543?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,El Marido de la Peluquera,4C9wlbc9ttH9WH7QCtfb2J,Pedro Guerra,2GrNjfw23jqL1NTopPlc6c,Golosinas,3tZBEjAniNH6OwIdTGbxtf,38,https://p.scdn.co/mp3-preview/6f48972b99f430680bdb81822eb567075f9ad689?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,No olvidarme de olvidar (feat. Carlos Rivera),6yBLXllgkD2UFZdYHiTNHy,Rosana,5ttV0N9HvMH3KLqNKcS2M0,En la memoria de la piel (Deluxe Version),6y8CK0GDX37BxdQfXixXQt,53,https://p.scdn.co/mp3-preview/2f0c03743d760cc84f3c448174046909ef77d009?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Papa Cuentame Otra Vez,5LtGy31P8iqzbjFNVY5Btw,Ismael Serrano,4eyF2eDCunzeFykH90Ej34,Cantautores Universales,5QCqr4YOzZaCKoQ7dZibXM,0,not available
38,Contamíname - En Directo,41Ewbqzdnv82EV494sQRua,Ana Belén,4NOZW7dBOmBMMAG9EGQd4t,Esencial Ana y Victor,5PqWboO8JlSZ2OGBlJGBBn,42,https://p.scdn.co/mp3-preview/c673b9e1a8752a97c5d796bd95f6f16c86db6c29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Telefonía,7zSBOSD4w5LGv1bIblkVFp,Jorge Drexler,4ssUf5gLb1GBLxi1BhPrVt,Salvavidas de hielo,3wYcE0a2LSxxQF2Rk3Drw0,56,https://p.scdn.co/mp3-preview/2e096dadf62424a83888f11de62f90c841ee8091?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Desde Que Te Perdí,3kfXwiFSsdqyWG5C7PULIZ,Kevin Johansen,7qjoG7bwhAjSd7nJTcjgAk,City Zen,37dsJwV9mJUYSOjeUHif3L,45,https://p.scdn.co/mp3-preview/b2cd561f9ebe7bb462fcf0617b22cb35b9f7750b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
