Punk Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,46326,spotify_espa%C3%B1a
1,Mi Primer Amor,2oRmhBSPhWNScSkwR7x8xi,Piperrak,0kya4eL7YgduZ1RAbO6Uou,Arde Ribera,4miZbn6vSzsHLvCUMSBX1s,51,https://p.scdn.co/mp3-preview/7640423ace992db81df4e842c2b8c349a5008d15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Esclavos del Siglo XXI,0tk6HwFFBSkbrn8sGKaZgq,Gatillazo,3XrunnoiCGkRTanrnsPRam,Siglo XXI,2fwFXVTTeMyJj7IbIoFQZy,48,https://p.scdn.co/mp3-preview/c2d26ca36a084d0817194993cf3d2e1fa1bc2a51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Ellos Dicen Mierda,6bsiPYRqISKkHN9FpgffKP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Ellos Dicen Mierda,0QjDaIXJLrgirtJMFWIu8R,54,https://p.scdn.co/mp3-preview/965253f5f4f0e727e9746dfbbe70c964ea485f8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Así Es la Vida,12obLt5jLRqJTWwbV7HywQ,Los De Marras,0E1P5uNgbD11POIDxFROHh,Vulnerable,7hL5n61zepkS2WQ1MCTpCI,46,https://p.scdn.co/mp3-preview/8404fbde27874024cd1b36dfb091e1d8b4e5ae31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Muñekosis,0sRjlU33EKJ3Nj2Te0DhaQ,Oferta Especial,3IhtEoCAjwwB4JZnNyzRBu,Arde la Kalle,6KzY1X8GaXjJ66GAoKncCC,0,not available
6,Kualkier Día,1I9u9TGitfcJzOXV1fCM9B,Piperrak,0kya4eL7YgduZ1RAbO6Uou,Arde Ribera,4miZbn6vSzsHLvCUMSBX1s,47,https://p.scdn.co/mp3-preview/83a1092d86b71484c7ad3a6617d8651f7a44ff3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Por ti,7tbmPVO7BOZ3uBTkQ4lwFV,Segismundo Toxicómano,0sKBEhvr6hz7Wpptw0fY8U,Escapa!,6MQUQgI1RKD4wHu2Qc16iU,46,https://p.scdn.co/mp3-preview/83f000fe50e626f1c5641b9c1b3d938d5be4427d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Daños Colaterales,0m1jWuJipbtwtprrYqq0uR,Envidia Kotxina,0ecMaXEm4sV6sndUYsyvmU,Cuando Las Bocas Comen Silencio,2XnYnlNmP1gxV7J1MqCuCK,0,not available
9,La locura,4qoiW7KuyMkiShQgZkRGc6,Parabellum,0JbJ9sG3cB719QmmkIRTPQ,Hace falta…?,5t0HwnzCCMGcMmervnzQRY,43,https://p.scdn.co/mp3-preview/414b728e0a8ed9ce2dcfb00c7790dc5676851eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Pégamelo a mi,75koSjKCBKxK9SFS70pBBQ,Def Con Dos,1O4hqQz2nV0jrlF9VEFBNK,España es idiota,5f1M1eiKzVAmo2lOpU7adF,31,https://p.scdn.co/mp3-preview/05fd812559308a6732c3fdd1304ae336c409aecf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Piedra Contra Tijera,05ZxYc1glaSTsNVbjBO9Ty,Soziedad Alkoholika,2S5OOMthdyp3Qu4IbTGAQ3,Tiempos Oscuros,7aQjiTfTyA9eMNkuMc09k9,47,https://p.scdn.co/mp3-preview/0988f5155270bb85cd7dbcd82e6b13fa8b4839bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Ni Dios Ni Amo,38OqmiFdfy1Cmcn2XI90oE,El Noi del Sucre,2cRU20gTiJDxjQadbtENvV,A Mi Manera Vol. 2 (Leyendas de un Desconocido),1mMB89P9sgw8WRsR6qk8Rg,38,https://p.scdn.co/mp3-preview/f4fb25295433f47ddbf2a3ab920cf819f743a34b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,El País de Alicia,4QAw1unWjQ1a2XMwGc06Ie,Envidia Kotxina,0ecMaXEm4sV6sndUYsyvmU,Difícil Ser Humano,1zSktJaNyIi1ot2Wupn4VZ,38,https://p.scdn.co/mp3-preview/f1990808cfac94a4dedc4dec4075e0d98eb4faa6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Txus,2PsfVFoxML7Cqa5E66GKO8,Kojon Prieto y los Huajolotes,7JQaCBrVLPIjr2mZq2hx5h,Síganle compadres,1AoAcFTJMxJSjxnXAecHZG,32,https://p.scdn.co/mp3-preview/1990e179c41f662d187066c7bfcd9628118bf266?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Txus,19cTnpZXsoNpah6J4q13iP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Salve,57AwljF0RpTwtEd5A1SzUP,47,https://p.scdn.co/mp3-preview/a5a286f8d1afb5e5eea5755d7ced1ea943b21d80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
