Deutschtrap,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,373628,spotify_germany
1,Hash Hash,0AuriGfdxWcFNLBCPMUJ71,SSIO,3IrUyDPQlQFcB5lMWhPml2,Hash Hash,4zlPfLeR66FyU3KcW4G5qW,78,not available
2,Primetime,1pUaqU8EUStLTqERPzcp3O,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Primetime,5zQdT56mkxwZx08V98cEIp,79,https://p.scdn.co/mp3-preview/1fe84ecd5e471eb5cb0e8b20beeb9814fbeeacbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Fabergé,7lnQCEtaDJeMZN75siSxLc,RIN,18ISxWwWjV6rPLoVCXf1dz,Fabergé,49FJWzYuQkOYACQ1cMyb6v,80,https://p.scdn.co/mp3-preview/929ff42e551bcd18cf41de389396432de2e04c6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Keiner kann was machen,3sJReCcPq9Ff3Xs4B7g5j7,Fler,75ctWsRuGXmxMxnFPkuEwA,Keiner kann was machen,1deDNR6Fv1qKEEf3VjWMkN,67,not available
5,Eiskalt,52UVKsw31NTOCTNPTpwbFJ,Loredana,2Im8m4STDBosjfmb5hmP80,Eiskalt,1X8ggfiXeKkGhGp4zAxQcb,80,https://p.scdn.co/mp3-preview/823e6b41d1c27c07661f33dbedfc62018fd4d922?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,La Haine,2AHJLtc81zIfj9EKcVEzmJ,Luciano,3CJKkU0XuElRT1z8rEtIYg,La Haine,1sSEjB1cw5aogoyZrZc2H4,71,not available
7,Prinzessa,7r55d7IhAj5UGKiYbXBwRP,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Prinzessa,0065dqIv0oHpm5UWFLI6wx,68,not available
8,Run Run Run,65NX0qTlnZTDYzTypKfOWD,Capo,5y9wg9qkGBl0n9v9RzaPKu,Run Run Run,7uq7CHKIM2QXQRD1IHo5YD,78,https://p.scdn.co/mp3-preview/fee938c25e21a662986f1bfb2698757df7449e10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Barrio,3mbGX2yy83BtCiPO59mE5r,Olexesh,2Z9KL8Zmqx5Sg3cd7Fldhl,Barrio,1P7Blp133JaG0bqG2oiNH3,71,not available
10,Perfekt (feat. Sofiane),38KR9aB0bPkjM4gKhKr7tr,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,Perfekt (feat. Sofiane),6r0bCXNhQg24qOwmH6DyTz,69,https://p.scdn.co/mp3-preview/8d8760cf8abec497954e1cfe71f35e0c0ee2c4eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Summer Cem (feat. Luciano),3QIrkRSTz3yPd44HzN6qJr,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Summer Cem (feat. Luciano),4dJJ3XCSgKkGqpe1OfQcwg,82,https://p.scdn.co/mp3-preview/d31dc9bf978bdd8f4237b91bbb000950e6e5c11f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,NENENE,5AiqL0ezAAauDuVK5EJvXU,Fero47,4A7HeXSd4HtQuf6IR5XZ1b,NENENE,5rt2kiCW8jmngIPqBWDnqS,69,https://p.scdn.co/mp3-preview/bd2800d677803840990628170b584fc76fd5a597?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,DNA,4BD9yUEFI07WaDJ381DDMq,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,DNA,0vH3On6OIWronQ04dLbsBz,70,not available
14,MONEYHONEYDRIP,7uj8AUQSUg8ZAzabYLwt8f,Jamule,4sVieJlKgpZ2k9ESNS5IdN,MONEYHONEYDRIP,7kaO0wgFXhAX9h1pfxZHmn,75,not available
15,Honda Civic,0WFgtxiLNr99YaoSdYR3Ud,The Cratez,3pVfscwg2QxhdHtk966inb,Honda Civic,6TLzZKljClASxNACc1ZTtZ,83,https://p.scdn.co/mp3-preview/339774adb8ae3f564a60901da265943dad571f1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Adriana,4G3gFk4oyvt8klQEVJBzea,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,Adriana,1BLoY0XQ3Yywsbk2Xkl6aT,81,https://p.scdn.co/mp3-preview/d226e48803dc42f4f264a6d9327fec44a944b50b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Augen Husky,5prGTLP3EeAVa7UFXkwF4d,Olexesh,2Z9KL8Zmqx5Sg3cd7Fldhl,Augen Husky,2jfJ4pk8n5UU91PDGQYCKX,78,not available
18,Biturbo,6mh1ErQFwTq8aCZMbPoKWj,Bausa,13bDjug9N0pyv3ZUINjkDV,Biturbo,5Hc7qKx9kTHzGMjneg7tJm,71,https://p.scdn.co/mp3-preview/542050122aadbcc725c23abc8d7aa92eae68a2fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Fanboy,64M2DKjDqp2plP3JdJ77ZL,Fler,75ctWsRuGXmxMxnFPkuEwA,Fanboy,2XBFG5nH00Had1J1n1SyvP,67,not available
20,Bentayga,6hnj36hD8C8U1aYPKfTqd0,Seyed,5iJuniDT0LFzXnMoLI1YFV,Bentayga,4ArVTVV8bNXRcRN9jtcJcN,61,not available
21,Intro-Résumé,7kQMPnMzK1bykUxmF4QXbV,Miami Yacine,1XKjtpH5P81gpOXDB91IEB,Intro-Résumé,6MURl2rxjcgcAjP94BiBhd,77,https://p.scdn.co/mp3-preview/f2b99769902c433d9a6f58955c2c32fe3ad314dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Junior Neymar,2y2Y9NYYK9pSqbTIaSxu1X,EREN CAN,0UwDgULqasKVT9gjTZsmIn,Junior Neymar,3RyvVfnUma4hVmkXnRQl9N,76,https://p.scdn.co/mp3-preview/a8cddd1b246aea12245993e3be4184fb9ce811d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Lambo Diablo GT (feat. Nimo & Juju) - Remix,3TMW1GOB1lsmvf8er2dE8g,Capo,5y9wg9qkGBl0n9v9RzaPKu,Lambo Diablo GT (feat. Nimo & Juju) [Remix],78SjtioGS10lFchsD1XMH4,70,https://p.scdn.co/mp3-preview/b637e92939e0388e68524598af58cb29509009f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Rolex,38lQ7lYhN3eSWepnZHaiBF,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,CB6,0HSskTof4Pr4FZ5vVMY1Io,72,not available
25,Nummer,7HCTUZPqclRvsiefXWwyFz,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,Nummer,3Ju5XitdRwtzziWPj4KuID,73,https://p.scdn.co/mp3-preview/9018de0b11a220622db50ff5e74bd631f827fbb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Fendi Drip,1e9QSdX5uLUw6vbrkZJyXi,Luciano,3CJKkU0XuElRT1z8rEtIYg,MILLIES,1vb7b2AGw1Ko98yX0gJaN1,78,not available
27,Swervin (feat. Veysel),4j9XbTUB40qVOHqapA6EMz,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Swervin (feat. Veysel),3GZEOsf8igpSlMC3bH3DoS,70,https://p.scdn.co/mp3-preview/8206d5a103e7e870a8b16e939831be744db6199b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Cassius Clay (MHATL),7zixz6JD4FGdwP2nEB5smC,LUNVTIK,5MrIiI5UBlAELXEY8X3sX6,Cassius Clay (MHATL),1znhGK6kR18iQsU2r0rsW2,41,not available
29,Yeah,7HRuk2l86d8mgdmjhq4ypo,Luciano,3CJKkU0XuElRT1z8rEtIYg,Yeah,1n1OlItmYhBFV4neHli4WE,74,not available
30,Dior 2001,4o1hgRrpSiuxkHUBuXALDZ,RIN,18ISxWwWjV6rPLoVCXf1dz,Dior 2001,4WLI8Isy5gRKugArp9xA2d,42,not available
31,500 PS,641R77CBy4bOLGRcA9sgHy,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6,500 PS,5fqNFmrbjOmQCWPpgZ7oyc,12,not available
32,Jayjo,4k4vUYR2vNbm5Incmgpe4F,Undacava,0GICHCgSgJrRnanaNRFIMX,Jayjo,4LuvTpvlk3o1QvtgY4RWbJ,72,https://p.scdn.co/mp3-preview/d784f980630415d46455365130b0e4ab25f43e26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Neptun,3GmfHF5RUe6r5C9UbvIXQp,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,Neptun,2T49yncesC5BoZ7wEyZ4tu,74,not available
