Main Stage,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,God Is A Dancer (with Mabel),6fenHIxXuuzKB55wY4WCHP,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,God Is A Dancer (with Mabel),2T0NPRcdhIt71ifDWm328R,81,not available
11,Alive,5sYxtT5C8uAzGbplBcjLYB,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Alive,31x3K8q6G5M5Yu7sIN4rry,68,https://p.scdn.co/mp3-preview/970ddefb418e2bec25f0eb53875e0fa2436a5fee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I'm Blue - Club Mix,0P5lXk4fg0682IgDyK7GFM,Kush Kush,5P4P6G0pubLi65R3zRnSCf,I'm Blue (Club Mixes),785itgCjNtYOiRpu1SIDoo,51,https://p.scdn.co/mp3-preview/539c3f70a1a97c6fb039b1e1ad83136b890a2f5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Loco Papi,5EuVplVa6I5vbAUBuCRnvS,Sevenn,7bNqXqIrIfwJnipx7oGeU4,Loco Papi,7ehHSfldPNGr0rRbdxffcs,63,https://p.scdn.co/mp3-preview/56482a3e527982bf7f7833b4997db6164d16a991?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Bang Bang,1XR9TxhnaRRx9cgGoqf9En,Neelix,5X3rdmEE2Mif6kFQkb2PxB,Bang Bang,3NivbOUNaPtjALbk2DNf0Y,55,https://p.scdn.co/mp3-preview/49bf4ce66c737dfb9f75fae7a3c518012644cbb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Zombie,73n5x5KXZ2EaEX2FCF0AYt,Besomorph,619CzMJPPWrCeZwx5qw6ko,Zombie,1HNAOu9QHrfZO4s4cuNCNA,63,https://p.scdn.co/mp3-preview/30e592f7fb4d183bcdd20a786db64f9187b82bbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Guajira Guantanamera,4BgFUr74D8bTkG1HsWBA1R,HUGEL,5PlfkPxwCpRRWQJBxCa0By,Guajira Guantanamera,2HRXHVzK04v5vis8kV1Jwf,63,https://p.scdn.co/mp3-preview/1fd0654cbcbcc379da4d926cf75b5c3d2d51a0f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Galaxy,3FfWLi2e80rgn2Q02OhcbR,Paul van Dyk,7wU1naftD3lNq7rNsiDvOR,Galaxy,4DUht2dUYG62svX0VaAu2z,56,https://p.scdn.co/mp3-preview/90a8dfdc17636c134b469d431166aad628f7822c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Rockstar,4OgwXdylh75fHfwUzJTUqg,Ilkay Sencan,5deLgmgAEgy8UHOfJ9Dj8w,Rockstar,1US66auJ538TiXGeUf24yL,73,https://p.scdn.co/mp3-preview/2dc841ccbc3b3d399bedd5f582c596927fc33df5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,San Frandisco,3T00mhdOYUuM5yiuPs3xhs,Dom Dolla,205i7E8fNVfojowcQSfK9m,San Frandisco,1yvc0dwbzh1nGEBk6rOZoc,63,https://p.scdn.co/mp3-preview/0da3ba1d55b4ce358dc7191de018b6d93f38bb84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
