Covers Unplugged,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,Every Breath You Take (feat. Liza Anne),65YDMuJmyF8cxTrk4Xogy0,Aaron Krause,52MFUXZatn0KsT2bdPQI2a,Every Breath You Take (feat. Liza Anne),0AQ6evdrI5Nkmp5lDYYCCh,68,https://p.scdn.co/mp3-preview/1047438e00b4aff067620799c5d256113cce1395?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Baby One More Time - Recorded at Spotify Studios New York City,4mJDfMcT7odIUjWlb2WO4L,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Spotify Singles,14mR6XKPmsxzvOYCkqubJF,69,https://p.scdn.co/mp3-preview/55c981649c299bca71b5e4341d744b02b0a7656e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Come As You Are,2BPmo2L5bYVS5SmpOTcfyF,Imaginary Future,470WlqN9HSRDGNaMufeHHF,Come As You Are,4375fZFM49wOvF4BvU1jfv,62,https://p.scdn.co/mp3-preview/acb58edcd6682eb4632bdcf79a9797d693857f45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Perfect,7mFKhrFYjNsC2IMHCMzsDg,Powell Sullivan,2m1anAOoOQM3Df2j3tNelS,Perfect,2fYaBSkUVlzK5nTDxLYMZ3,54,https://p.scdn.co/mp3-preview/2f1c75d6bbc58c732bf03098260561f3dbb319e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Summertime Sadness (Acoustic Cover) Feat. Keelan Donovan,6TqDrmjUDqQo4JiF1apQnL,Megan Davies,09kCHZp9iFO2FJNb9lR6G5,Summertime Sadness (Acoustic Cover) Feat. Keelan Donovan,0NXkGd9M9rDxCHTGVvzC66,65,https://p.scdn.co/mp3-preview/99a911c58a9385cbbe2de17c7185db21e3abfd6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,I Wanna Dance with Somebody,550Wn0mCBgXSnTNouQA2fY,Rachel Brown,5Dj1Ruham8HvIYJHDPTnhE,The Band,7utn5Qzh3LrvtCmt3FjKq0,55,https://p.scdn.co/mp3-preview/7ff9ece1eb4cde40cc08fa1aaa8df4ea033e3dbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Lot To Learn,1AJRWM34yxnAxhF9TEK0Zj,Vivid Color,4qXCADLD9pMWPUkOBCLQ9H,Lot To Learn,1a3QdHnxI3svymN9NZyyxl,63,https://p.scdn.co/mp3-preview/01ebada90bc76fa47afd77f4ac4c5637ffbeda3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Halo,1xI9VpE8Y8SvdSEkJ6F25J,Jono McCleery,23usQJ95w7f95tnN4MJEgy,Halo,4OOdTScnZMzWNO3hYcrsRr,47,https://p.scdn.co/mp3-preview/6d80e73cd6b918a6e2ec5fd1ef4e19d760ef7712?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,There's Nothing Holdin Me Back,2PX6WAoHC307PEUBMkWkE3,Q.Z.B,2bM99ltifHeWqA8pxQ5RdG,There's Nothing Holdin Me Back,2ZqnrSm19aYSPblI4hnnaU,61,https://p.scdn.co/mp3-preview/ecd817dbffe7b50ace7458b1e3fbbd0430c93739?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Still Got Time / There's Nothing Holdin' Me Back,4doLaFDzKbLE6RvMapEpuY,Megan Davies,09kCHZp9iFO2FJNb9lR6G5,Still Got Time / There's Nothing Holdin' Me Back,32Ibzo5IinnXizpHvq1p7H,51,https://p.scdn.co/mp3-preview/d0ccd8d24c331f9219b41a43f01a9f8d76c47e1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
