Electronic Circus,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,536598,spotify_germany
1,Earlylate - Andreas Henneberg Remix,1toPP1tDcSAJEX9im0rISH,The Micronaut,5BNKzWZCbIsQz9zAsg9n6V,Earlylate (Andreas Henneberg Remix),24pri86QLraSFv3wcggLDi,39,https://p.scdn.co/mp3-preview/f172a705f830190b4935cbc5e49edd17fc02cc6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Lights,2tJhsBdtaaD8SJF6m6xBvX,Kölsch,2D9Oe8R9UhbMvFAsMJpXj0,The Lights,1LhlKOpYfhEicL7eG35IvX,55,https://p.scdn.co/mp3-preview/37fa0e87252ea2e8926e77356b54021f56140719?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Entrudo,5G04a8o6Ta2MzLlrH4QdQN,Worakls,5RPzPJCg4ER1LzQkorZ31p,Orchestra,4js9rdHmcTlhM0BaAeQMKY,53,https://p.scdn.co/mp3-preview/b795ece1a5eb4e624771738429213c2b51c77d36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Bali,3aDixsN2cxlm2cSZMLg7T0,Marek Hemmann,7tL5UmgvPx6TqKyf0Sjjw6,Bali,2DisdlWjkPjtA1ri7vs3BU,47,https://p.scdn.co/mp3-preview/9ad4f0a895bb6af022be1ba64eddd7fce7b2f823?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Lovve,6uwUdhRWaH9PuDa4xJoLjf,Betoko,48aaubPa3RsbAp4uCPhoS7,Love Night Train EP,3gm75EYIcj6Y3Zr37nDH1q,48,https://p.scdn.co/mp3-preview/d86ec5901efcbc8be90c150d77d57acd24d5f373?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Different Mind,228kjRtCmbB6fLGV3ExrDr,Dayne S,2OWQQKizLqny2GKSvqfV9h,Different Mind,7IDwkEgL1yO5Gxw9d140n6,43,https://p.scdn.co/mp3-preview/ea6b2b0471bbff225c58f880fd9a9b9aff4b6020?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,The Unseen,1urNwF91sq26no4phIbJ1t,Booka Shade,2CKaDZ1Yo8YnWega9IeUzB,The Unseen / Banderas,4CzoCLWZ8b8fstvRxH8GKN,46,https://p.scdn.co/mp3-preview/0814242b5f39ec528dc2e329c30f14b1dd5a9e1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,HI,5x0lhxt4DBf7ja3RRCLCXF,Monkey Safari,5zovXI5By2gUhdr7EByjLa,HI,2wj4oyjeXPn6XlGxsaqAmB,48,https://p.scdn.co/mp3-preview/8b1c0c353c4fa4d3d76250e382519e95a0a440bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Cheekon - Edit,078ncsOGPoX4WqUC8NMBPD,Blond:ish,6zsJjoCtL1WByG0VsuFWzR,Cheekon,36OSYvgoclMI51pLepGR8a,39,https://p.scdn.co/mp3-preview/83c11b77489a3fb62d7abbec2c289554ebd79370?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Maia,4iKxhBx1KqQsu7N9lxbrrC,Oliver Schories,0iTjLBepeGaLgZS18kxgRq,Maia,1oBhdNRz5apEqNEt9RJjZY,56,https://p.scdn.co/mp3-preview/aac655ca939cfc42420eec4e18786397ecc19837?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Papsak,4iVvNNCNWXvfz5DqC8vHAn,Dirty Doering,4N6XVXvfjBPNFCdS56TCea,Cape Town,72J0egpDnj7wmxVw2hGH7L,40,https://p.scdn.co/mp3-preview/60ef6e256a4c6c6ccde6ca1cefb28e0ee214d7a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Dream,0HUrWuhZpnkzs9K47fZZea,Frankey,4w7eRdZfKDuOm31eGj8rbP,Dream,6GFuRFiStD3OA5pUYGi5Ak,40,https://p.scdn.co/mp3-preview/565ae7ab510f330daa34c09cec7e6ccae9d882f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Elements of Trust - Sanchez & Pietkun Remix,0TT6SbrHgkhmWx01S03jah,Gabriel Filip,0RTHaVU7mWqrznMzZ9PwTP,Elements of Trust,7aIdMrakwT0uSvy4CTsMjp,44,https://p.scdn.co/mp3-preview/50557819662121f1949ba1523274f6ced89cad46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,My Love,2MH7nd8Q5eNZVdTMZSmDAc,Rich Vom Dorf,1j1jzA1X6Lr19bxTlBS8n9,My Love,1k4QWLfzTcq0op8tpTX0Dt,38,https://p.scdn.co/mp3-preview/e3e85a6ef6e1d2ae7f55d9b8e9e3568417cae520?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,If You Were,2FMPIU8FdP9kCi5kUCSGnE,Danny Howard,14MtanGZe4G1fzC8raLFUK,If You Were,6UVHJej9pSKaESR1iwvBup,52,https://p.scdn.co/mp3-preview/6e9a0ec5d2b2735064568ea433b9a4de1f4b6810?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Emerald,6ThgAuS0EhqnHqI4z4YzVm,Markus Kavka,5v35HgVYTMoD2SBonVGZ9K,Emerald,2YDOhjXEz14hq8ZCHPksut,37,https://p.scdn.co/mp3-preview/f7582d19fe1aec03c6c69397e25d1667ce059a2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Rope Dancer,4H1pINPQZv336ic1sKIxgl,Foolik,62J5SQP8c4TkZGUPUR0yCc,Rope Dancer,2qP8ItKfgJaxewwdPAa41V,33,https://p.scdn.co/mp3-preview/51a06663f662e93e183bc8b7f44d8b7a7ee5f8e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Customer Is King,3EVG82aojuaXoWyg0djkqU,MEUTE,1z5xbcOeFRQXBVDpvRPh8H,Customer is King,5g6jFkrrPcRKKZ7uQjFpHi,49,https://p.scdn.co/mp3-preview/ca6eef3e5c994ca05ae06101ff1dd3302494987f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Dirty Love,6fyGWBRQ4qprVrHkPS5PxV,Rich Vom Dorf,1j1jzA1X6Lr19bxTlBS8n9,Dirty Love,2Cwe41kDNwfIHBvmjgXnUU,39,https://p.scdn.co/mp3-preview/09921a7ac90f0b9c667e49bbfbbc9652b8ff6f29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Irreversible,6nSo8mNsaFLr4oMp8t7C1r,Matchy,5BF9eGIdwa9gt4RAXP8w1n,Conjunction Anto EP,1bYml3Sd8fFWmRk05xZxRm,51,https://p.scdn.co/mp3-preview/5c87f704ebd87aa862498584592fe02b25cba06c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Bee,48tnPvIus0PQ561A8oyt1x,Andrew Meller,0kDJVZD3Kwg7YbFXqDI1Gm,Bee,2HAE7YnFGnALPI5gZQjiXH,36,https://p.scdn.co/mp3-preview/5963427897fde61e0ac1ec414e423f468347eada?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Mumbai,4wwRwTqB4UzeVE5w4AAOvf,German Brigante,2h7fN6KOZVgWQ39sYK0jJm,Cordoba In My Heart EP,6IsW3odFNU496TsOyfRSsV,39,https://p.scdn.co/mp3-preview/6d32580f77600c67ea589ab3109981c56f30371c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,You're Not Alone - Solomun Remix,6YEQHjK7LlMFiUIUKEl3Ey,Agoria,4lu50np3LdTkRL09T7x8UP,You're Not Alone (Remixes),1ENugzdS2brZfuSebfxvGi,7,not available
24,N'Golo,0cLHvLm8LtsS9OPABBkNxy,Mòo & Jo,4bU2sBWgXJtViut3q68o5m,Makasi,16pQHgokRh1UAmmqji7VIl,44,https://p.scdn.co/mp3-preview/904261f01fe5db412723bad1f3908dfd008333e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,For Joanie,1c06x2SPpcUXkgGtCyObII,Will Saul,3qtVupTIjHwH8BLBZXog53,Lakeside EP,5S40ARNlnHCla0I9WmfRNL,40,https://p.scdn.co/mp3-preview/a6663e1bed612591cfe1367adbeb7fa5f8b17f2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Duno,4eDTJNDVuPHxb7QXGIagLr,Andhim,6XJeFzmI6vrWyHcdB7EImP,Duno,0pwaavXjE5GEmjeP0lUO3R,40,https://p.scdn.co/mp3-preview/f53df8660842fa974a85820903631d849bd77b4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
