Techno Bunker,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Come Together,0d7KQih99OE6xaEFz8lXo5,Eli Brown,5lVNSw2GPci8kebrAQpZqU,Come Together,4i8TDqm3pZCgfkQg7ElqEW,41,https://p.scdn.co/mp3-preview/c0dfc20857e877435ac318a8877e9bdf60badd06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Impact Theory,2eqCccUFOABFgze5Xr7EaJ,Alex Stein,0SCFEgshN89tlgOPM7lbSB,Rebirth EP,0KNhjTstJ7nXJO3vTIxWgO,30,https://p.scdn.co/mp3-preview/d2dc648892c8df23b609c378aafd6517195d2b04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Come with Me,6YVak2ONKBc7F9trtihmt2,i_o,0y42IQBDFigO5mmEd1bGQG,House of God,38aCdi2Xzwd6icGLfJGcaS,54,https://p.scdn.co/mp3-preview/6c871d1b866b624989d902df77b5f061b3d2eb35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Higher Self,0f5AJP08aldZZm5KSNIYXc,Mark Dekoda,3FzG2HgsgPRfwpX1qSK1g8,Higher Self,6MQkdLJtNZVVg9ATodbckO,57,https://p.scdn.co/mp3-preview/3d370655ff7b40e1cc81efa0040bb1915812a650?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Superstition - Azid Mix,0ehYhWrGH1bxrFt60nF0K1,Len Faki,3fI3Z6NnYoeSQjcqPQDbM4,Superstition,2HFKEMra82pTejCPbcFoqh,53,https://p.scdn.co/mp3-preview/8beee67c4fcc3ed54ccb9df8b4457a50a3003884?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Forever Ravers,0GESAR8MnPxo4kM7GWuCuG,ANNA,3wkaDi2HJV3eCaBJ4iH6om,Speicher 112,4W6gWw1CAqb8W1l8TiiDcp,57,https://p.scdn.co/mp3-preview/94cccc0f787cfb188f8d4a67735aaed11ed52c26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Golden,3JKLzIREax7TgXqR5OBgw9,Mark Reeve,58zZkWGb6qvx0AJ6L3ttlZ,Golden,0uwOKopFI84CXCvv30PoGA,54,https://p.scdn.co/mp3-preview/3ce99b250f761f3295869208080eb854dad99894?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Open Your Eyes,2g3KgdtIzLPoTtNTvKpD8x,LTGTR,3RJrdtcF6gU2MaQtzczmqR,New Era EP,2rK41ANc6hSj2slSrEwj8k,52,https://p.scdn.co/mp3-preview/74920e2e82e91f7b8345fd3f1d4269ec5981b2a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Core Resonance (CLOSE combined),04QLMPlareJM6r0w9Qv0q5,Richie Hawtin,3AhwIUus3pIaA3CvYBEtpy,Core Resonance (CLOSE combined),2DYsZj9PuSwnza2dbnOLaT,51,https://p.scdn.co/mp3-preview/3e9e00def4df2a368e1e6ec2d298b7ed330c04ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Deep Down Inside - Even Deeper Mix,3kyn6RzPsv4O3vqAeKb9Bd,Raito,5RXdPHNmsB6OQn8rUyRQtl,Deep Down Inside EP,6dbhrtoO0APuXV2SfyJHXB,51,https://p.scdn.co/mp3-preview/917cf8ab88690d23ce548bae9db736e3af8995a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Love Distortion - Introversion Remix,6aC1SUjlngcdR0M0YbZUf5,Ellen Allien,5lsC3H1vh9YSRQckyGv0Up,Alientronic Remixes 1,2YiPBMxJ26rLWOmp47VN6v,52,https://p.scdn.co/mp3-preview/de0aeb6efe568aba33c2d9d26fa996411f80bab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Ravaged - Original Mix,0gqVK6yFO2ah02MtEqNGtx,UMEK,5Hini2nQyoglzpdKe41cZt,Ravaged EP,4anZePkpZmR7NCg7u4ENk1,51,https://p.scdn.co/mp3-preview/2e296cd1a5de0c0562d85c9e36e963c82d576447?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Rising Sun,600B699NlvHEKx4Dna8W2o,Mario Ochoa,2zviRwkdWgt0rjV3cxM7mg,Rising Sun/Levitate,1iS9IrcPcRbvmODkOPaiqc,51,https://p.scdn.co/mp3-preview/cda49a99f9de662900ba54ae80928f55842db386?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Fury,4kKuIz8nslWCKj2qLBbY74,Beico & MT93,7tqXhI5Dt7utI8xVAyumO1,Fury,3XkiDiukpo42MN7oHExVYt,50,https://p.scdn.co/mp3-preview/65b03f98eb00765579e8d7a98382e0fc07b498a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Slave to the Rave,2f46NbBjkymBmD71K5INRE,Jim Noizer,0Zb2HlwCOtIU4XIkxjH2vc,Tektones #4,2Js3QVVy6PKAjzJnCn1Svv,50,https://p.scdn.co/mp3-preview/0ba4caef028666b0e998a3fe4920bbbdf7706d22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Pantagruel,0yndiHV68jSDkxxpdbzxdX,Dusty Kid,6JGLndnzrQrIFkd8NFha3C,Kydàios EP,3ByGVPeiGEBt947mFOZO4X,53,https://p.scdn.co/mp3-preview/e1f5a9235dc33e90b573f18820e5f05602f3d81c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Different Man,31g7DAEKdnyCtkWEODwpWN,Bastian Bux,6K6JhQaED2RUjMyhBtR9eD,Forgotten Speech EP,1jwDtymq31IBc1UyVKty8y,49,https://p.scdn.co/mp3-preview/2515ba0fca7ced90480f9675cbb6060f501a2549?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Machines - Original Mix,3DfXGie9QJ9feRLOjnJsJk,Jay Lumen,6rxmj7vNEofe96g84qMWoV,Rave Me,4z6JLq1LoWlkELkVZYZ5tG,49,https://p.scdn.co/mp3-preview/ee16892fb80f1345b5ca526e9f39d65367c87b31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Wait,0y1jhyPdx2reWcXodAAIyt,Sara Landry,7eILArMiTFTQf8SEh5fFHK,Wait,7DlDEqU6boKFbxNp376nf6,50,https://p.scdn.co/mp3-preview/8cf87dd7e3eb59e21236932af7b308814947e649?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Solid Matter,1OsMbr4AUbUl7TuLH4JUVS,Drumcomplex,15uHboHn4dMAVjqSBMSnId,Solid Matter,2jeqcIYuYxEUniPgqqMECz,47,https://p.scdn.co/mp3-preview/eb81cedb984bf9769203d6ab7e81289631f6ca3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
