Rap in deep,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,377996,spotify_germany
1,Letzte Träne,64A5aseVdsvdNOjobGQclN,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Letzte Träne,131WTqnC0H54vClZHHsmfY,32,not available
2,Vermissen,07f2b3CTdgKKlhv0mqUksz,Juju,4sg4no0TXdsrM1s4SVUwNF,Bling Bling,7FUJDqWr0PvHJyIJeCsswA,73,not available
3,2 Minuten,1u5jYTx2WdptYWYpwqcE9n,Apache 207,1qQLhymHXFPtP5U8KNKsm6,2 Minuten,4xdyGrY8SLDeMdsTxRaxfx,76,https://p.scdn.co/mp3-preview/806efa377f177b798e0b3fab65723c713ed10fbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Melatonin,6MGeF4nX2Ty408EjLGNtqc,Sido,4Yttlv9ndGjCDCVLqM7ACq,Melatonin,1nw49bKK2uCphW6nw8YqLg,67,not available
5,Feuerwehrmann,79kZiB2VhhOCW8pYCxUHLv,MoTrip,69u5rPwWBKP7pJHpCGB9O5,Feuerwehrmann,3wXj0u1ejuNVX3T0L5BHV3,54,not available
6,Deine Mutter (feat. Nessi),4y8xXLG9O3Rbl6e1KaNRTG,Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,KKS,04TM4lYgmoNMKpJ7Tgy52K,68,https://p.scdn.co/mp3-preview/ae7c669b22fd50d2b2086f0354bd55da4e501c09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Wünsch mir was,01eVMUiJcYmHqy1HUURwOY,METRICKZ,2P7AfQW941UU324qq2ggZf,Mufasa,7gkyr2RLvlijFDtzXtXnz1,60,https://p.scdn.co/mp3-preview/3ee81e22c546d033626d8f27129b2707a48e5cab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,So jung,3Z1yd93CAlSp9eZgzwyyW7,Kianush,0t9IVyFGzH79wIFfhEXddQ,So jung,6fF4zfzpujFgaupAqmFojx,63,not available
9,Marlboro Rot,4e6l3QGj4RZesjDLVqYk3H,Samra,6h1s4i4XKIYv4ErDelLDN0,Marlboro Rot,1CpbyS9rDSGFSvhSymcXip,70,not available
10,Das Buch,6SX4L6NKqcH42eY2gX6qoX,Sido,4Yttlv9ndGjCDCVLqM7ACq,Das Buch,44VO2thQmrLPcVFJKHGtNF,66,not available
11,Nur ein Grund (feat. Jah Khalib),1t7cJh7t5O5pgwkjZJv8pq,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Nur ein Grund (feat. Jah Khalib),7qcEskQXNPIdG7kYPOKJg5,19,not available
12,Messer,6Bqm2beg8uT0aEt8GM83LL,Prinz Pi,3OYM3jjPVR60kOqmamRRgk,Messer,7uTSjA9bHLZ2GaYPeh56Cu,59,not available
13,Wem mach ich was vor,3iCLlhyVp6772vUecjPRji,Tua,1GXnXJCevXK2b7qDAwdU5u,Wem mach ich was vor,3CxssZMgOsNQo4Vw49sYT9,54,https://p.scdn.co/mp3-preview/1d6664dd65734cf50f9be12c9c63550cdc786027?cid=fa83a2fec7c440b7a2795d600d6b2c7e
