Top of the Morning,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,554657,spotify_germany
1,Easy,4dPlcbrmrG4xSzfzLhEZgZ,Kyd the Band,0NHArXVgYnHIxtWGIS7xWS,Easy,4Hta3peC0b2GN3uqTksnMg,66,https://p.scdn.co/mp3-preview/c17f72d91ebe818058f3281e041b53dcac9ad5cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Alice,2lXNibPcBjxEqtMfV15Mv2,Jack Curley,1Unwe9Xco0JDlTTwpDVrcK,Alice,1OdvrifjMehOnaJO6FgB5g,62,https://p.scdn.co/mp3-preview/d848e2b72802f98a73a7fc207426443f5eae8bdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Vienna,1fX0ahHvqIFE590PxHRYIC,Declan J Donovan,6bh228LGC3eAzbplPWV02r,Vienna,7z1YwRjKdyvbS2GaunkzdD,62,https://p.scdn.co/mp3-preview/de1e33196665dab14a44a5e0f38eafba8357cc79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,All Good,2jwBTKBMfY7S6VLrziJ62m,Millé,1n9KIilVumlCpUEMwA8LRM,All Good,4DGjgdGhu3lAQgeA7Vkm6b,61,https://p.scdn.co/mp3-preview/29abb503b6d9e4b39d905db805ed2e81e4311740?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Holy,6eJPiF5nnUf5BInWW1x3H6,Deaf Havana,0exhrQcReCdr11oPbOh22M,RITUALS,2d3DG16ysz5FV2eD6PgM0I,54,https://p.scdn.co/mp3-preview/c02c4cfdd8dc76ed14f7038b5d537cc16fb4122c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Great One,1rm9z2o1PgcJHIYL6nx0VG,Jessie Reyez,3KedxarmBCyFBevnqQHy3P,Kiddo,2q7EwuXduuQGDJrPYPVFyw,70,not available
7,Outnumbered,6UjZ2Yx2g2a52XxiA8ONxZ,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Outnumbered,4BQVnx1yJrDa1tcky9D9N6,86,not available
8,Jesus In LA,5i2JGF65pHKSfMEjSMrBC3,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Jesus In LA,2aygqrnBUbPolcC6H1GUPS,82,https://p.scdn.co/mp3-preview/590ba446b10a2955c178b843e429dca8e8c06eae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Princesses Don't Cry,3mbL70beTjRVn8JSiU6LiW,Aviva,10O3YJY6k3LaDGDto7ek1C,Songs About Boys,0veVeWSat0g9d9dMXA5XTC,75,https://p.scdn.co/mp3-preview/e19274c4f687c04d2eba1f9ec5753a526ff65fbd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
