Pop Remix,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Someone You Loved - Future Humans Remix,1e8PAfcKUYoKkxPhrHqw4x,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Someone You Loved (Future Humans Remix),7m7vv9wlQ4i0LFuJiE2zsQ,69,not available
21,All My Friends - Eden Prince Remix,5WaXMQMlQpq8pwIdaFP43L,AJ Mitchell,6dn6x1XOng3LOAnfTjUn77,All My Friends (Eden Prince Remix),4lXBBbiEgwTzcfAkqdXJV1,55,https://p.scdn.co/mp3-preview/1eb8ec46501a914f9efa440d73c4aa4fa6ad4217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,4sLtguRBis05qfsBgJ1IdN,MAX,1bqxdqvUtPWZri43cKHac8,Love Me Less (Remixes),3E3l9Ae226bVoSwoPNuwWv,59,https://p.scdn.co/mp3-preview/3a12404e327bceb401cda7ea0e3e0fd35f14edb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,High Hopes - Don Diablo Remix,1FlIzyCvRFQUE4pc7PiaIo,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,High Hopes (Don Diablo Remix),1cBoBrARkIfC4wGhxlK2qB,65,https://p.scdn.co/mp3-preview/7b6b02481fa3aa2b8395b3035eb6984ea243a44e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,3Mong1BzxMKwTZ0SbfLdcQ,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Mama (feat. Ellie Goulding) [Tiësto’s Big Room Remix],4CdWEwelJIofGEEjSc62N9,68,https://p.scdn.co/mp3-preview/42dcff70313259a841890b80fe98b4ca4a03e5a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,One Thing Right - Firebeatz Remix,2M9GeaCQXrV12J0wzBxIwi,Marshmello,64KEffDW9EtZ1y2vBYgq8T,One Thing Right (Remixes),13pvchQvJxxpvvtsasA4NG,68,https://p.scdn.co/mp3-preview/5e5c8bc50619b80a1718e863193777e2b40c85d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,1mC2UjWt25Oixtqu7C6suL,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],1WhPuMFm5VaTJqe9rl3C5Q,62,https://p.scdn.co/mp3-preview/a6ab22dd85177cf569553368fdeb7393f77a74db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Phone Down - BRKLYN Remix,20qDJ35jF87v09RSsrcJpg,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,Phone Down (Remixes),2HdXsOQmIXDKGrOjTKLMuB,56,https://p.scdn.co/mp3-preview/4fbc7d368040e4ae4674624680bb038be2ddeeac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Look Back at It - Tiësto and SWACQ Remix,3v1srNR64XH3BOjPKT8C70,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Look Back at It (Tiësto and SWACQ Remix),4HJfoj7ThDvNVJpj0X9klT,61,https://p.scdn.co/mp3-preview/ba6525f53b08f8fa05b9c65ced89240596ac8955?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Hold Me While You Wait - Steve Void Remix,5dy3WUywjZcalTno1io8TQ,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Hold Me While You Wait (Steve Void Remix),1LTVUVJQ9wNArrbm02ZOVL,64,not available
30,Signs - Eden Prince Remix,4YaU1EjXIkdRdkOI4cCZys,Starley,02A3cEvlLLCbIMVDrK2GHV,Signs (Eden Prince Remix),249wM0bMES3O4nFuwARq9i,54,https://p.scdn.co/mp3-preview/630524aa04c1c5100b0f2d18b55f68a7da22ce04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,3TjLsDgL0bTbSQIF6M5Ki8,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],19z3vpbBT09lZ54neDfuFL,65,https://p.scdn.co/mp3-preview/931dda0c8e2911911240cb8359a9157a012c0c5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,SOS - Laidback Luke Tribute Remix / Radio Edit,3eLdNmnRWr9gIyBcqTSSti,Avicii,1vCWHaC5f2uS3yhpwWbIA6,SOS (Laidback Luke Tribute Remix),7Al4TIo0c5twNLfdOh1y1u,69,not available
33,Here With Me,5icOoE6VgqFKohjWWNp0Ac,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Here With Me,6NHS3hV16MZyfcp0nSHdrd,86,not available
34,bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bad guy (with Justin Bieber),6lMlX68jJrx67hiCqdiDvW,88,not available
35,Paradise - Bazzi vs. Black Caviar Remix,5Vwgf4MVO0vLv8fbxaGGiW,Bazzi vs.,0Z0T7qMFlcb0NfmrJ0Vu02,Paradise (Bazzi vs. Black Caviar Remix),0TLVzJLOGaY5j7UdKskpMx,55,https://p.scdn.co/mp3-preview/560f30f292c0df6d6383d0263b3e9b730476906b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Brave - Don Diablo VIP Mix,01niGNTcFtX1wweTTWQbb2,Don Diablo,1l2ekx5skC4gJH8djERwh1,Brave (Don Diablo VIP Mix),3QL4O5znN5o247TdiInzBL,60,not available
37,"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",4fCAOaMs0PYL58OijKp2IS,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i’m lonely (with Anne-Marie) (Ofenbach Remix)",1vtHFX1NTE4awfd2sR1VGP,66,https://p.scdn.co/mp3-preview/1da56c597adfbf2d69c2edad6c844bd19a922f3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,All Around The World (La La La) - Marnik Remix,3Ciaf6WgvG95TGRGxQ1yO8,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,All Around The World (La La La) [Marnik Remix],5r998zJ0MNYb2TTxyQmjxT,60,not available
39,Find U Again - MK Remix,1Yk6VWzkYzpDarxEVmrz7O,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Find U Again (MK Remix),7i1XW7To089jnBRzH8YaNp,59,https://p.scdn.co/mp3-preview/03c45b10871e6dbbb66e603834c835364164a717?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],6m8SIT10j41SPpPFOknTmP,ILLENIUM,45eNHdiiabvmbp4erw26rg,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],1r4KIEhxQJ7o3b5Fbv2sRe,68,not available
41,"Instagram (feat. Afro Bros, Natti Natasha & Dimitri Vegas) - Bassjackers Remix",1r1AGkq5U0pBBcL9WUqkAh,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,"Instagram (feat. Afro Bros, Natti Natasha & Dimitri Vegas) [Bassjackers Remix]",33Upv4mMjMA9E3c7yAOcOe,56,not available
42,Heaven - David Guetta & MORTEN Remix,4QAUGy6k7c3IOAhgWz52r7,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Heaven (David Guetta & MORTEN Remix),37bCTD5iLWMpDcBanNkkXB,72,not available
43,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,1zzOMDmkRZy0g9f4JTAZKn,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Close To Me (Remixes),5bMicFMWsZlRZNTDq9h3oA,9,not available
44,When You Leave - Breathe Carolina Remix,1hr5Y2i4NlE3LPvQZ9Q5Ao,Nikki Vianna,5YyGLejM00snCF1RJKlocJ,When You Leave (Breathe Carolina Remix),6MhbDWEsAP9Xsgoj0TuEOc,62,https://p.scdn.co/mp3-preview/2485fa4dda88f8a604cb5d2e46443a23df2ba247?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Happier - Matt Medved Remix,508lUjbGcPrL0CfvHC7UvI,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier (Remixes Pt. 2),44iw4l4Syoi5HZgCQzNSKJ,59,not available
46,Torn - KREAM Remix,7AasLZ4TYgh7dbJXZxcZVE,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Torn (KREAM Remix),6gKLNSKPll9DAG5xiygMxD,58,https://p.scdn.co/mp3-preview/d3159dd0c5660fb6a767cf9c9e0165266f05fdf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Side Effects - Fedde Le Grand Remix,7FDaS1k08rwMoAThmzUkOZ,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Side Effects - Remixes,3Yb3f9PL7aBpjuJPyiV0ot,66,https://p.scdn.co/mp3-preview/982cce8afc3f7b4742e60897c536d57e664c5419?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Heaven Can Wait - The Aston Shuffle Remix,3C4fzUgIP3ahkhOBdP38GM,Sia,5WUlDfRSoLAfcVSX1WnrxN,Heaven Can Wait (The Aston Shuffle Remix),6fUjIqkNJY56xS62ild7D1,63,https://p.scdn.co/mp3-preview/d0d866cab57c06caaef88feb0700c117a4d61e3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,4RaN7556EogBfF80klMEX2,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],5DInvPwtc0gzZuZjpu1BHc,58,https://p.scdn.co/mp3-preview/d985a9b8e08374769f1950949407588ce6d52ce0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Promises (with Sam Smith) - David Guetta Remix,3Lv3frZVXU7Q0JEFvLIzWW,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Promises (with Sam Smith) [Remixes],7g15PlMnaKmFMUsSpR8aZt,65,https://p.scdn.co/mp3-preview/610341ce4af97ec88199236706944c4084975af9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
