Deutschrap Brandneu,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1111574,spotify_germany
1,Lowrider,6zltHqh8Xjg6Rr6skelFdm,KALIM,2NJWI8byqTSqDaJRnqJY2z,Lowrider,3fDr2grkA4n7BaXgPbXNtK,63,not available
2,Puta Madre,6cHxkkZ3TZUKsjd13pIO1p,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,Puta Madre,6HS9ICTqNbO5KSAEJIxmg7,66,https://p.scdn.co/mp3-preview/b8d2041d49b87cdbf0cc3c5510863dc1a748b7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Wir sind Kral,2buwHnmBEyjuxd1fAfT0HW,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,Wir sind Kral,5EWHawfUCgUf16DBCDaDa6,62,https://p.scdn.co/mp3-preview/f82af9aee792f6b064669fcf5b6af31f7eabea7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Im Rhythmus gefangen,6gKOawgWqBvLXpKMp1307L,Capo,5y9wg9qkGBl0n9v9RzaPKu,Im Rhythmus gefangen,3cTdP7Uobuqc251bifJd92,63,https://p.scdn.co/mp3-preview/c53c75705bb06e90705ee88b8dd31e4e6a580f07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Steige ein,1cEZuE6NQTWBhvebSRY3FT,BRADO,0Mh0QuhaJ6WIW0qrJwzMmt,Steige ein,7I3GQefIDt1ASa9VpMzOvo,57,not available
6,Narco Trafficante,5Vvmyb3EPpCJLTObQ8rCDG,18 Karat,5oWFxbBrbk2Mw86PLUg3OZ,Narco Trafficante,2ewPCHJiU7dOcvidIbkpdQ,58,https://p.scdn.co/mp3-preview/e64c958ebe904f174e9566a9b806056d710dbecc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Fanboy,64M2DKjDqp2plP3JdJ77ZL,Fler,75ctWsRuGXmxMxnFPkuEwA,Fanboy,2XBFG5nH00Had1J1n1SyvP,67,not available
8,Honda Civic,0WFgtxiLNr99YaoSdYR3Ud,The Cratez,3pVfscwg2QxhdHtk966inb,Honda Civic,6TLzZKljClASxNACc1ZTtZ,83,https://p.scdn.co/mp3-preview/339774adb8ae3f564a60901da265943dad571f1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Berlin lebt wie nie zuvor,2pfio0uHpT4USTPBNeTIWo,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Berlin lebt 2,5vc7GCjUpkbDUodoFc1FTI,79,not available
10,Hash Hash,0AuriGfdxWcFNLBCPMUJ71,SSIO,3IrUyDPQlQFcB5lMWhPml2,Hash Hash,4zlPfLeR66FyU3KcW4G5qW,78,not available
11,2002,2u8AXJyk8pICzj2wyPBL0b,Sido,4Yttlv9ndGjCDCVLqM7ACq,Ich & keine Maske,3jdqYXotnRgQwG3HTniNdH,82,not available
