Herbstgefühle,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,810234,spotify_germany
1,The End,3lA3ef3wG0jX99NOo8HSXK,The Fog Joggers,4PCP6YuzrOaLZsebzuD7i5,The End,37S2yfTdurqu22F4qyb7qz,57,https://p.scdn.co/mp3-preview/85673b94289bd3aeab43e21bbbc54ee30bce3179?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Rainmaker,7HINIvPi6ULTpvdy6uIFfB,L'aupaire,6d9XIbBseVi999qdzDEtwE,Rainmaker,7fzluWJOam9rGe82pSu8v0,36,not available
3,The Night's Our Town,1iKit9CD5lmN9vrd6VoG6w,TRAILS,4CSX0R9KLs9HkyqLfiraPQ,The Night's Our Town,1ACe1bhFtIqxyqEYPuA49Q,57,https://p.scdn.co/mp3-preview/f28b3a141fc03876e01e5bd623e2c9dc4fbd4544?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,I Owe You,2znz3j3svvEZmzUyOuYeZs,LUI HILL,3fuo46vtxoWxN4jo0irBTS,I Owe You,07OymvOdgu1ItUtBwW41yW,55,https://p.scdn.co/mp3-preview/6f2fa32b51e6b61e6e551a6e9fd4a2f188d62b15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Hurricane,7lIuXhtai3PHQA757BYTVB,Rolo,01xooETiuh5Iy7z407SdXJ,Hurricane,5aLev3QDsNKVSIIDAOtCkX,55,https://p.scdn.co/mp3-preview/70405cbf852039cecb10ad62f6f2ba9e95a294e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Mission Control - Radio Edit,4LeO8GDf4Wa4ZSwYmmSjVq,Bondi,0ZPxafqcgMv07OtNWFapKk,Mission Control,1arsUKS8509d3SRcbud5XL,57,https://p.scdn.co/mp3-preview/ff8452c4fcbc46b4727fd0dfce6b1394c1aca707?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Running Wild,1KagcAXVhorg2Wvo80npCN,Little Chief,5oYrefc0gr24yRUMCDBZkB,Running Wild,4ZkUq8igwQt7CTwkCPLaeA,58,https://p.scdn.co/mp3-preview/65370c199ae7e19c3dd5eb7dedc89c7f3e80d06a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Thunder,6ziU4QfTVZmiGWIAtNa9R0,LCAW,7FOb8fwCcjHjKlIlEZk6go,Thunder,3L8cgQewoOnJwFKNo89ArH,56,https://p.scdn.co/mp3-preview/1f0fe204fce00f3c67a45f388bf524031aa86ef3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Neptune's Daughter,64j6YhSqMA6Cj5h7IT6N3Y,June Cocó,0g3Rqfcl1SIoXRZRF0uAGg,Neptune's Daughter,6wHDncXAAsB1OzrS0nMYcP,54,https://p.scdn.co/mp3-preview/d7d80003b2b3351abd7f5b23a7e57a786c49791e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Dance Monkey,421leiR6jKlH5KDdwLYrOs,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,5i6CS5XcLZGLgaNCKlJvc2,69,not available
11,Alte Bilder,4PULyjzYYBStSbCqaXCoBZ,Philipp Poisel,7HkIxdAV13bOrkOhh6H3Dg,Freunde,4gpPUBY3kcbIkwXaeOC6HS,57,https://p.scdn.co/mp3-preview/d91cad880247301014fcd22f1dbc18243719f518?cid=fa83a2fec7c440b7a2795d600d6b2c7e
