Deep Listening,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,175062,spotify_germany
1,Spells,0dIg2sKreVGnWJPSPotagc,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,Encores 2,2C2LdCgWMw6MkJ5RGJi5eg,45,https://p.scdn.co/mp3-preview/700f8cdbb6ce8c412da27cbfd1869021b6c7a0ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Badlands Train,2ZdD734d65deIKqH6pJkXi,Stubbleman,0Fu1gmQ4PZ1S5anr0l2Cov,Badlands Train,74fjGUdVhFWF976Tnno4Vj,41,https://p.scdn.co/mp3-preview/64bdbfe65763bcbb174e4c493373a8a6fc4c4c1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Playing at the End of the Universe - Orchestre univers Version,5drwkeWY5C8e2I6cTg79NS,Labelle,7wF9y3gjWdR3DOtFG5PVFS,Orchestre univers,0eIOrsIX5gw7zpvZhltUCq,43,https://p.scdn.co/mp3-preview/5f37a4ce36247f7ac022f40128b6eacc3a09e22c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Concise,4H0wNqcWYEZBW94oBygF0k,Roedelius,7v5E9zviGMsOGHRdMVmhDc,Lunz 3,4tTZ05DMgT3Y4Mpc72AyLC,29,https://p.scdn.co/mp3-preview/85879315c10585e89b8d7f6eb454b161a81a7307?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Triptych III,7yLDPr6UQiAN5m5BRJP4ce,Lotte Pen,09klzeoydwwlN5eyyQNNss,Triptych III,70dgfs1cIUejHyTX6IHqYk,39,https://p.scdn.co/mp3-preview/96d29dcbd644d6b81ed4080975471b6b8975effd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Broken Hearted Kota,3JV9KTvErBJzQi9Wcr7ouR,Joseph Shabason,7xoTSPGUr9u8FWR4G8AWoS,Broken Hearted Kota,5lMXsZtAMCRodyRAeKvDjt,42,https://p.scdn.co/mp3-preview/938eab8c0964dc4d12bbe6cc34ca08177e0db58e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,All Armed,0ah4k1jXcRFprzr9MhLrI2,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Armed,6flex5uD7IKBXiNDNvUWwA,48,not available
8,The Colours Of Chloë,41IIGbcmsYDgZYsgyyKg6Z,Eberhard Weber,2BPSfZHtSYon5DKvp95xXT,The Colours Of Chloë,6q8vN3Qdyxk6o1fGpY64qz,54,not available
9,Calimayan,73xAnUDRUQbZy65hOr80IJ,Carlos Nino & Friends,5Vp9z1lRUNMLQCXbwrIbDK,"Flutes, Echoes, It's All Happening!",1e52dh3GiiAVMNetdNA2pE,38,https://p.scdn.co/mp3-preview/9ff4efc73c08f40018ee18962f4165def7e585b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Being Here,7kGuC6pmqKvvxRah5QuH05,Mammal Hands,497rp5TEzJffeBnUT0BeE1,Shadow Work,0D6EnTkqcbwzV5RWhxu4Rg,48,https://p.scdn.co/mp3-preview/7e26d555832fc8699bdd1177d4385fa457bd0fb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Asia,6kg3oZmQjDU1nMLOWU3gVP,Kuniyuki Takahashi,53JsFUDYcN2jw6v1nF7Z82,Early Tape Works 1986 - 1993 Vol. 2,4h1Yp6ITa0R2ZAB9YTsuyL,39,https://p.scdn.co/mp3-preview/11e985bb69c7e359e63868f4fde343e6c53296da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,A Place,2j1tj1GQCDCRM5tzLQG06V,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Melody,3MH77JVM17CEdDLz374t1e,6,not available
13,Trancemission Four,6zW4Ei7aIDEdAgF1KJ2QHD,Delta Rain Dance,57Huj8dWG51u6J5HA3dyZD,Trancemission/Transmission,5oobmYeG0w5lb6nkMUBRBs,35,https://p.scdn.co/mp3-preview/4eb9ae28fc4dfce9b8cd24b06ef5bed553c46848?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Waende,0jIymbEdH6q5ZgFVwGJehs,Ceeys,6K8BBZapSLE6XGXF4htbIT,Waende,3w9bvWO480nCjEQuxzwrkc,42,https://p.scdn.co/mp3-preview/13dacb7a0078260d5d64b70c6d7d386f10177fcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Traces I,1aUAEjPEyazQvsGlw9dEZt,Tigran Hamasyan,0D3h8NZqNp7BN97JwtV6eW,Atmosphères,7Dts1hwy6sVRBQrK9DwZW9,3,not available
16,Introspection (Edit),5JVtVJFun3pgNdDlUQlkOm,Laraaji,6sd3qv6kReAdo6WsLBtXX4,Introspection (Edit),3KqeFM8PuKvoOHzVo1oxmZ,44,https://p.scdn.co/mp3-preview/d1c6767cd8c00bbea828d593f8e3469394e92e6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Stratum,5xgMuXY71hCb7VLTqTY6nx,Visible Cloaks,2gqmFO0Wo92qaqwwgL6fZG,Stratum,5dOc0fmih3oQHSU1c4dU5k,45,https://p.scdn.co/mp3-preview/09eb8706edbedecd6fc4a4943a7bd0e2b1978cab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Bloodwork,3iCvLAdsFiqlnusTzGSG64,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y,Life Of,6dYkIcKYqvb8lNB3FD1dAC,36,not available
19,Hiddensee,6HXAoCEMSpzUoMd9KopnZq,Ceeys,6K8BBZapSLE6XGXF4htbIT,Hiddensee,3JXK7k65XwptClZh18unpo,45,https://p.scdn.co/mp3-preview/1b57b5b814f95fe1169e6bc164057cef2d1e4128?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Timeless,2N2SrDqaD0Kf4k2ITxieMQ,John Abercrombie,1OCdpTg8d7Ehpj8B9j4iqa,Timeless,3zrFls5MpfT6VOquQmuXaW,14,not available
21,Mirages,5ARGa1YCWbgNobFCM2F6JB,JB Dunckel,0yN05taoXcja1ibMBraWrm,Mirages,1YHTOqf2Ph97yqfLVr9QYT,44,https://p.scdn.co/mp3-preview/5c7c41712061cd2723cc8bc53698b369b9fb7709?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Arrival,0kAIEMckzx7krVzOP0xIZZ,Danny Mulhern,4tc9PdoWcfLTI5ZcNIhWuU,Safe House,31cCUJWMaRWwexarEm86Y1,39,not available
23,Existing Closer or Deeper in Space,6kzNAm0RiDW3UyxTOimSLU,Earthen Sea,3vP8rFfMW7ZZtUFfYyN5QH,Grass and Trees,5BWggRFjTVj5uC1lqjjFU7,41,https://p.scdn.co/mp3-preview/bfd3c112eda464ac1a7f971b5db683a87e0527e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,The Space Between,7FNpgKsAUFgt5ONasflWtc,Joanna Brouk,3yITaOTDcBPYNnYxlxQuUt,The Space Between,7JO8XrLsnzmn6cBP5kyMUH,37,https://p.scdn.co/mp3-preview/7520a5ec5c60e9f79532c9168368a42ac409c9e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Morgengruß,0R5PALlUm4fT9BBp2eBuFt,Popol Vuh,5zeiqAaIiDrjiDch33A2lT,Einsjäger & siebenjäger,1HO7xQMZ192OZpZVkH9fpp,38,https://p.scdn.co/mp3-preview/911ce996a2b5b4eb2629557aefd488b44ef2249d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Wurlitzer,4OjcEWInukLib0TUfETqfx,Leifur James,2N1foZRamgP1sfiYXFID9O,Wurlitzer,0mfitPoE1oWjDfmX48fOl3,40,https://p.scdn.co/mp3-preview/fef020e77decef26fcc6bbc93d39b6f6cd349430?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Cliffside,5R76xMp2qvsV3VKUGBc9mG,Hammock,0VOR7Ie9xUSb45fzIIVJQ1,Universalis,7FvkaK0tizVHsWRcVP5WO5,6,not available
28,O'sa Va'ya,6EtPc4Zzr9EGCko2xAgRDr,Anna Homler,7y0aWNamQursS9ZHS6kxkh,Deliquium in C,4HteZzCTXLPZ7Yh4NQ18rU,27,https://p.scdn.co/mp3-preview/6fb0ba47f48e980a0390b6277b05bfd12268a378?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,On Deer Island,3B4gWlazMuJjYYoP4Y8Ocn,Alaskan Tapes,5GHBk4xcO1UqlbyrUXv5dq,On Deer Island/Where They Lay,4er8vCjtXwJf9R5DPw3sj5,45,https://p.scdn.co/mp3-preview/c3d673646fd1c8446049b059038b383ea07b538d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,The Unquestioned Answer,5ftgOffbWhT3hYtQXNEPou,Laurie Spiegel,5ixSn3H9wbdWQxcf8qEKOV,The Expanding Universe,2rD0SKiBImTKNhRtRVLsdU,37,https://p.scdn.co/mp3-preview/5ccdb939d2c5b0ec431b0f89739012fe7ce22a0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Broken Clouds,7q0OGG60Em2wwPNDpBFPGy,Gaussian Curve,2rxgmguaQSynTMnBKZL73G,Clouds,4FC9qI04vobItNEKVeRh8Q,41,https://p.scdn.co/mp3-preview/da05f52b176ce6e39388ec5ca1ce00470a867902?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Dalston Junction Feb. 1970,3PAubbsJ8CQoIqXlVgPRZu,Al Gromer Khan,7sGvSRxJMoJdO530qjic7H,Another Kind Of Silence,4iLZcdUa17xrCewSUiBffU,35,https://p.scdn.co/mp3-preview/9a44052be006ed6988653f262e063155966edb21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Black Is The Color Of My True Love's Hair,35HX8z7O4MaVVrT40YEujJ,Marc Johnson,3AT9157jK9F2gMSViMdRUH,Bass Desires,3ENSb9BRGFVzNinQh8cFhg,52,not available
34,Sleeper,1GimT5ZWkbqjzIb6DBWOI9,Trentemøller,4O71i7ke5iIBX6RNSFoZbS,Sleeper,3Tm0MLEI2YF3z7G3rcU5En,43,https://p.scdn.co/mp3-preview/c5d8b17ddb4118b6c289fca5ca60e78b52fccff1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,O’cean Dream,1By0PJ77a8zPaPN8Xi0SXH,Matthewdavid’s Mindflight,6QA05gHLqWpw4hMPqcuHD3,Trust the Guide and Glide,2OUnArCKNtZoMZef1WPzVg,37,https://p.scdn.co/mp3-preview/5ee432f6571e08326c75cc09439712c2f587e35a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,If Mountains Could Sing,1zKbNpXsJjuA3VtGAxSlQO,Terje Rypdal,3EFzYPEP2mCQoqcLjoWwK1,If Mountains Could Sing,4lv1X1oSpU4tHn6PZfkaCj,37,not available
37,Demetra,3CIuL3T0PrjzfZ8ZqSmujh,Cucina Povera,46VnhKgQTmPBKdJBTuk0D1,Hilja,2n4BmbmrbnrylB71xFoJIe,31,https://p.scdn.co/mp3-preview/356d893d57a061d20018074cc181a74eb87e9c44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,solari,56TYvI2rgYT3tdH77D44jZ,Ryuichi Sakamoto,1tcgfoMTT1szjUeaikxRjA,async,55BwNuGPkSSKOCBkTSCQWA,36,https://p.scdn.co/mp3-preview/32677ec6c4fa45397059b8672873879ee494f66f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Plight (The Spiralling of Winter Ghosts),5plQUaqgpIdCMiXZpdP5v8,David Sylvian,2oyWkw7sq99yqj12hVUHtw,Plight & Premonition Flux & Mutability,5OVfsYMz3YtQbOpvmygebT,21,https://p.scdn.co/mp3-preview/92306955a5650adc48bb1d3e9ec6034e32a64684?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Bergsbotn I,2o2kesEPWqDCcvOkFpkoUT,Biosphere,2rcnAZ6DvORQ365X3zVYpr,The Senja Recordings,5FwxcdIt5HKvuFIUaopKp9,38,https://p.scdn.co/mp3-preview/4fd701acbce3faebd26c374c9d1d3f4472f6f2e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Opto File 1,3yaMB8ZCRhTpqW5qfOHgns,Opto,0mdVUK3zymRXiPGQPWw8KX,Opto Files,5XRjps58rLCNTGovm1dqJt,36,https://p.scdn.co/mp3-preview/e623b0a858e4a93d72c1f377a7c793a9a0cbca7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
