Kopfkino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,98726,spotify_germany
1,Black Hole Revisited,6h3ZeB59DnNvK56N6Jtogg,Robot Koch,47V6nyjOrUR98qv6gkYssI,Sphere (Out Takes & Remixes),7esumKYxV1ku89s9ScRIUy,38,https://p.scdn.co/mp3-preview/4f7235b0f9896aae43bee864e4dc8c90cc0dcf0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Like Water (feat. Mohna),4sXYqjoe1AZM6tpQKMuLFR,Christian Löffler,3tSvlEzeDnVbQJBTkIA6nO,Like Water (feat. Mohna),7mflwNRugPkBldVVtGGIga,11,not available
3,Panama - Edit,6UTn9fLE2Aa11EcHHBhpJf,HVOB,6RAx8RRxoHeJIqD2d0EjOa,Panama (Edit),3HHwdLJOZnrHBJvIXsbGzs,51,https://p.scdn.co/mp3-preview/fbbb0fe055b2bd2702c5cb74ea54026ec4646c0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Harp Enough,0ywB0utZGAHl0tpTOTnp1v,MOTSA,2fyuHXew1I5FJDAQdbCYXP,Perspectives,0HmEyhZnvkwt45Z8RR0AfV,34,https://p.scdn.co/mp3-preview/03898ae20d962a79e546a1f37cfe22e57c79e6b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Blooming (In C Minor) - Harnes Kretzer Remix,3mYW95cFCfuWgZxpiK4qzI,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Blooming (In C Minor) - Remixes,39ylocGinn43Ifq4JQH5oz,45,https://p.scdn.co/mp3-preview/dce491df47deee03d8a8b668a811dfac04487021?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Eden,0UvOd9SZMfGii53C50YYne,Hania Rani,14YzutUdMwS9yTnI0IFBaD,Eden,0UeBnTijgsORW94114QvdM,38,https://p.scdn.co/mp3-preview/04b5f4ba247bab5c5ad5779d037896ae774dd8d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Alone in Berlin,35zgUplHMIDYyDeWqkAzr7,Kev Sheridan,4rqPUulTdgCJfxITPHP2oY,Alone in Berlin,54D27dhzVTKeFcVY6JKeZI,40,https://p.scdn.co/mp3-preview/c381cbd29f96ab191accc32fa18345ea8675a7b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Yet Another Day Thinking About You,45tYLgOLn5vT14pyPpW9at,YokoO,45fzhLbHZdBIgOGQT6M5zr,Yet Another Day Thinking About You,79XkgO0rpwnsOf8iERkMJc,1,not available
9,Squares,4bmVE7WRba4td0JDP6j1HR,Robot Koch,47V6nyjOrUR98qv6gkYssI,Squares,2OBFkeXD1uCm6a8XaddCfm,33,https://p.scdn.co/mp3-preview/2c4b6686222bc8cfb0b7535c168df07c1cf7707e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Eintagsfliege,2ttVxMK6vCXpRUz8z0YRE2,Dominik Eulberg,44zcDDVZOY0ck7KECNUPK1,Mannigfaltig,3HUrniKjndcjRSpBwOxVUb,44,https://p.scdn.co/mp3-preview/d7e2f08a5a1baadb0c07f56d2d2868f9dc297586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Horizon,4SsBteckF6ZnNyvOR0hVfv,AK,33Cf4O1KAVbtQa00scMi2A,Horizon,69Pf3QnuVENEdEHqxLXc5C,35,https://p.scdn.co/mp3-preview/47d1c863f36779c89f2430fc89722aa561ac7eea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Cucuron,3pGk4e4NtaBAFT7kp2mg8G,Niklas Worgt,5vepjxl2UMfB5D7apHD2fa,Thin As Paper,6Re4PXtk1U3FTOhe6oqBa5,35,https://p.scdn.co/mp3-preview/2f61e9944f4f80d27dec8893cf1231fa1fd8ddd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,So Long,41sDpPLnM1N59ZStkgd9gL,Audio Dope,7vByi0TCh4wNTdqNK7dNqe,So Long,4TpJYntKPUQZ4WpwzE3qKV,34,https://p.scdn.co/mp3-preview/cee4014f4a4e319c5d1918d135ad88061915d443?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Broken Lines,7xj9aehqTM2dF2hqJyHwIW,T.M.A,2byiSAqYCxVFaUmm0KxiIe,Broken Lines,5N9gI9A2FIdsZ2bybnrXZt,33,https://p.scdn.co/mp3-preview/b1ab76cefe0f71ee83c41664411676e00f52f5ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Dreamer's Wake,3Y4sSXeyK1flHPhN8P0aDY,Rival Consoles,05lIUgmmsmTX2N9dCKc8rC,Persona,4ciNhQuziH6TtbRbDaHicN,9,not available
16,DAWAN,3A7ByViji8709hWFd6Mzdb,Apparat,40Ojab0UtVQFjA76qXr8Ot,DAWAN,3IX3F7Iw8r3UmfJWFrEedE,38,https://p.scdn.co/mp3-preview/83265bbedee36752e5d6082f5e4de68701bc275f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,All Armed,0ah4k1jXcRFprzr9MhLrI2,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Armed,6flex5uD7IKBXiNDNvUWwA,48,not available
