Party Deluxe,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Oh Jonny,1IivtUqnUfW9jH3pM08D8U,Jan Delay,4KivBMgSnZ7hCDfPm46fKc,Wir Kinder vom Bahnhof Soul (Re-Release),7MrA7kNLED6TooTm9uxH2i,59,not available
22,Coco Jamboo - Radio Version,6rQ9qJPvInEqSzlh89LsPJ,Mr. President,7KBkgunlONG7LPxs93pgpp,We See The Same Sun,2t8Bc4qBseswbwOoHGHK8d,19,not available
23,You Little Beauty,1gRQxbfL4ULWyTosgXSbWT,FISHER,1VJ0briNOlXRtJUAzoUJdt,You Little Beauty,1voOnpa4pILlDPVsrIFl8b,75,not available
24,All Stars,26haJjtanhamtf25RXH0MO,Martin Solveig,1bj5GrcLom5gZFF5t949Xl,All Stars,0QmyqQAPTLxNCs6qya9CSa,68,not available
25,Let's Get Loud,3Ev29Sj0ca0TD11oE8N0Bc,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,On The 6,27n5XoBdAfUyfEHots85MG,15,not available
26,Cotton Eye Joe,06hsdMbBxWGqBO0TV0Zrkf,Rednex,22Zqu1yyebVnbve8FxbJ2g,Sex & Violins,5DA2dJgKERij9OVWbJDZDj,71,https://p.scdn.co/mp3-preview/98b1d5b6b49ab964f1726d1f858ece705af635d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,The Time Of Our Lives (International Version),0IuHVgAvbNDJnJepuSZ8Oz,80,not available
28,Let Me Think About It - Radio Edit,53rQM3LpXLf2hyClva3jiz,Ida Corr,30ut8L4gmEz4vNr1zNhpbh,Let Me Think About It (Remixes),0em4Q3loArIZYCdXcRrygg,56,https://p.scdn.co/mp3-preview/4ae2f2d28860be4c7d60462378102d26919c77c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,I Gotta Feeling,4kLLWz7srcuLKA7Et40PQR,The Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],1dgbFU08pXJXZhGPlybdMX,77,not available
30,Summer Of '69,6oWpGuwokWJ4EcWgVQPdUt,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,The Best Of Me,4kbE34G5bxaxwuCqz0NEw4,22,not available
