Electronic Rising,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Cento - Kaiserdisco Remix Radio Edit,60GJ8ye3Vx2wP6rmfSY9M2,Markantonio,1ZdPbovVpFHo1Uy1FmjklW,Cento (Radio Edit),7nMpNU3vC6WMFu8fYIC05q,17,https://p.scdn.co/mp3-preview/b64de8a5d9ca58e1a2567cd6d9cefd3f4cfc8736?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Where Are You Going,1JNJzla8JlsiFhrQ40rAcr,GAWP,7nRbEJhGU1wq3sEuQelrzb,More Celebrations - GAWP,0oWY5ZMeH2ZGdp39ZWq1Ab,35,https://p.scdn.co/mp3-preview/e5a5314c6806e389533dec6c59912b5310278730?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Nexus,02BsAkethKc0IFpWV9DQxs,Henri Bergmann,1FiAkaEAyepvi57FmYvJqo,Nexus,3zzEqYmxE0q0ykWSChyMHh,41,https://p.scdn.co/mp3-preview/976c86ae51d067ef2024c81a0c17e9f90cfe3aef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,The Solution,7FC6Npl04jYTp4vczMoSFC,Project Pablo,2OHzpRiwkpxGE7IA0hnSko,The Solution,2O0sE0YQiFUQcLTWX14xS1,39,https://p.scdn.co/mp3-preview/af606ae85e704d319f09fb05f787dedf5321aea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Seeing It Through - SCB Night Mix,4VLOgCpbonX0dzIp0SLL4f,Nicole Moudaber,7ixDtqtITfqx5lZQGh5gKe,Seeing It Through (Remixes),7hpA2mnTGgVpHobuyq5mHV,37,https://p.scdn.co/mp3-preview/0604239e08fad878e50d78f02d3081bbe478b115?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Liquid Slow,6Qp2c0odcvUIN640gVyisz,Chris Liebing,21444lX8gpmOX36icLmbFI,Liquid Slow EP,496wGRSvPBhF6s3KnTxupv,52,https://p.scdn.co/mp3-preview/2979abfbf2e38c8d4aedaf0c3521bc7ab4161ae7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Era,45r6NrGaYO1kEtQKloICJx,Tone Depth,356puk5By7WbXAFFZ8Uelf,Era / Pelago,1j7205h0vF6yLq8O2QJRDH,18,https://p.scdn.co/mp3-preview/e657046c4c6384009712551aa89aba6ce654d751?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Party Wall,1ZePHTmvFbMSittuuotcUj,Kate Simko,2KXLSIzI7CY7AJg5ARUOSb,Party Wall,20BcUNDnebfNZ8jE4J5AzP,24,https://p.scdn.co/mp3-preview/050e2b0e7366a5ddf5360800bdb033a21dfbc719?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,La Donna,5MWN1TSxbSwNEuY3q8YjIt,TIMANTI,41a6BgFAvZc0eIzBIcfWMA,La Donna,1pgKzUPZ6WH7vYZK0RWSe2,34,https://p.scdn.co/mp3-preview/683da0c800bfca4577431a4a248b510698d832ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Get Crazy,1KgkgqTiVcnSIXRFJb6kJ6,Sirus Hood,2lrYf4KiHcMPOYGUGhrzgs,Disorder (EP),4vcpwPvxqfgFyxzAs82VHC,15,https://p.scdn.co/mp3-preview/2218c84a4dfa0ec346d2a79f8786e42fadfa3091?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,House Of Lights,26jkWXrQRsWHKPxEX2Ahg3,El Mundo,2P98rkELDQVyC1olsD2Cej,House Of Lights EP,2LHoUIWO6Q8SgnbkjzqYVF,17,https://p.scdn.co/mp3-preview/560ecd61abb65118ac4771fafe61214b899bde5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,4Ever She May Live,6qIiBhhJulp6zcq19bbILJ,Sebjak,4WaTBVJBxGQ71Ch0swa8DA,4Ever She May Live,2eLZXOe3Yl8TilrlMqEClo,31,https://p.scdn.co/mp3-preview/d254692ec7ea05d9d46359b2932dbee6d90e3b07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Another Night,5RgMMovA6x7bhJbecpcaIU,Ammo Avenue,2Ruz18KUgVaQXSbc6mqdOn,Another Night,0edXKYE7zrw6lT7zwRuJh3,14,https://p.scdn.co/mp3-preview/f7530ddac82cad2a9b0718c5a391c25f24a9b0e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Alle,1SMyvP1TNiTiJ8rDZG54BJ,Eluize,4UynZk3RxczOK1AwaHR5ha,Alle,1s3j5UFwrQGG8Z971wgeaD,35,https://p.scdn.co/mp3-preview/dff09b273c7c4bed3840b0d87271d6d6ae5630c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Weekend Warriors,50CzQFXKcszENUYxyEr3Zq,Elfenberg,3rVvL036o05Y34SPRsW63P,Weekend Warriors,7FafoYtd2yMrJ0UTkvrzNP,18,https://p.scdn.co/mp3-preview/d9437db7a2a2296237f4f7c662b82a1ef83c10fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Das Horn,0OhVJ2GxXUj1Bk2h2VQ117,Umami,67qmoqrkr162LFix4Czmlv,Das Horn,426aEJquNexTIvfhT9kshg,20,https://p.scdn.co/mp3-preview/a9ad65f6fb0cd82fda487379c2f9fd88bdc9dc70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Matthew Keeps Me Pirrie,2ZYGLQ89EATPCZcLsHEowa,Denis Sulta,7cDu9zG1gVQrMdSGBAhzvn,Matthew Keeps Me Pirrie,2ilvzpDDnNQWbvgoSQZ4xF,47,https://p.scdn.co/mp3-preview/0fab327d48628221e22c3430bb9da62c0064eeee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
