Deutschpop Klassiker,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,178954,spotify_germany
1,Ohne Dich (schlaf' ich heut Nacht nicht ein),6v9XhivN2PCrVsIW0U7sVk,Münchener Freiheit,353KPo8gVAfcZfwF7BPZDy,Best Of Münchener Freiheit,4EtkGAIIOueD0xC9ujvs8D,55,https://p.scdn.co/mp3-preview/ee2a0958543c853b9f6f790349f09ebbcb337828?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Männer - Remastered 2016,0o8eQLFcietIkRBK0GflGZ,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Bochum (Remastered 2016),72LIvYBtZFIjlcF0ejvRCn,59,not available
3,Abenteuerland,748pbjnFM9TVwQhDT3LC4N,Pur,175a900UJkfGsIGcvUDaEx,Hits Pur - 20 Jahre Eine Band (Fan Edition),6go7rUd1OUcrNMHlToIgAO,57,not available
4,Stadt,6nE5RgNaFN5E5bpXeH2z9M,Cassandra Steen,6wbgb7phg82I4tnO6GWMhr,Darum leben wir,7GmoeJyc3TiJtqWcaEAnvS,61,not available
5,Alles nur geklaut,4MhaF08X17tmOmUcmRq5lN,Die Prinzen,7F0bQWvv3rfV3EubmoQlwZ,Alles nur geklaut,2LuJwzSEFn1rHI1SHLMYbu,63,https://p.scdn.co/mp3-preview/fd2bebffe2f631c9a41091ce3f875bcdcbe1c385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Perfekte Welle,2LV5joNDrsyuXEh4FBARVK,Juli,7g13nmmxq4XN0hd64Jzkol,Es ist Juli,4TSdsloInMbjQjj1Zf5KOD,58,not available
7,Was soll das - Remastered 2016,1AN1GaGhfXfofnmonu7jYx,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Ö (Remastered 2016),7JXayc3rAXyCblxM9chx4C,52,not available
8,Irgendwas bleibt,7dblY1Epg03mXh2bJ9F44Z,Silbermond,3GbUWWI1rMwAIPbUVPvnPA,Nichts Passiert,7ainMK24nBxZeF8BP4OVc1,56,https://p.scdn.co/mp3-preview/c15e50a1ceaedef1ef1a2beb22918fc1ae7341c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,"Irgendwie, irgendwo, irgendwann",1XALya9I46XSyv7R4PZVqx,Nena,6Tz0QRoe083BcOo2YbG9lV,Einmal ist keinmal,1rVFnZFxeaggqYxWpMz96W,11,not available
