THIS IS BURGER RECORDS!!!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,86,burgerrecords4life
1,Teenage Town,1I1t354y003Y6DuFZYMlS6,Audacity,3JVDhFfcd5xPsFYJ1am9lM,Power Drowning,2Xti3sMoTMfigEppxpdYZz,8,https://p.scdn.co/mp3-preview/78fdeeb6fa0bbddfdf3af1ba74248bc776eefd75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Sister Sally,6FV4igAYPVgabUlRVWesQu,The Resonars,0J7gocP56wqQ8OCRgtkrUN,That Evil Drone,3e6yimWjLAYsFayoMHaHVo,3,https://p.scdn.co/mp3-preview/d755638abc2bf8240b1d49a19ad12ba1896cc7fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,You Go Bangin' On,2LDxg6nLibqXP1voQXO0tN,The Go,2m0xdXsYglZKSzqVkZtFi8,Howl On the Haunted Beat You Ride,0LAkEf3mu9FmbFXfKn7scN,15,https://p.scdn.co/mp3-preview/7ca8cfb350d49fe8d6b36ae5f4c509ac0e026d90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Hippy Witch,3Rcd57h66ZXggbH5a4eLtC,Nobunny,3XZI4PSR0DBWeBiJzquXif,Raw Romance,7C9L4aO6cKGxncrnprsBHA,10,https://p.scdn.co/mp3-preview/fa563aaa7fa4934c8b9912c7c09060abbd3cbb72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Private Party,6Qksc0m7KxP3ZEhdDfab9L,Garbo's Daughter,4sg0nCZM6Vk34YH8otZJa0,Goes Pop!,2oIyiRsJOWZbV543Yxh7E0,3,https://p.scdn.co/mp3-preview/b2106f38686e41fa8f57579a7ed1ddaa3595d189?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,South of France,0cA4h7SmrgffqH75oIvTa2,Harlem,4PWqvc4ydEyoyBhXPOxDyy,Free Drugs ;-),3kGXz8Udgb9Ygx2m5Rr8ni,20,https://p.scdn.co/mp3-preview/6d0470e89bfdf1905418f566bb162bf40d9b1c51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Dancing On You,4maud0Wu6musCBGgyabr7H,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,Was Dead,1z3fvPNY0OJE7ENsZ40nla,21,https://p.scdn.co/mp3-preview/bb6e4452c851acc358d5e670ba91df3e4c709790?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Without Reluctance,69r3tEXfjd2BMehxhgnaTF,Danny James Etc.,17uQRpQSQmJnfplrwWTwjU,Pear,1UkUOzzB78xktKJ12757nT,3,https://p.scdn.co/mp3-preview/4dbd734e77ef5ba10bb637f637dfd0da9ba982ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Beggar Sincere,32ctZQYNDqMbFMqt3T2dby,Jaill,2AubscTHZ6Gqo7hlIyDEaH,There's No Sky (Oh My My),0bPN24EDEhkRsbUCTivujT,5,https://p.scdn.co/mp3-preview/d2a32df3d923acc60c5ce25827bb52938db32770?cid=fa83a2fec7c440b7a2795d600d6b2c7e
