🇮🇷 IRANIAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Sparkle Mind,52BVzIuFZJg86cDOCI9k56,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Mysterious Temple,3rldriuYZtCky2qohUhpDH,7,https://p.scdn.co/mp3-preview/ed293db0d90442c53989e22334c9e4dbdea664cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Man Who Dealt With the Devil,0EjheEfCggm8klXVFPvlmC,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Mysterious Temple,3rldriuYZtCky2qohUhpDH,7,https://p.scdn.co/mp3-preview/4a06a4906f3118e99d40a0591447e53e372bca1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Mysterious Temple,2COsbdBdIaHkE3XgMyqRNs,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Mysterious Temple,3rldriuYZtCky2qohUhpDH,7,https://p.scdn.co/mp3-preview/53e2695929b21122448cf37d4812edb39a5c451d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,The Mighty Sun,719irYAmoGZZ8BKLSPjh7p,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Mysterious Temple,3rldriuYZtCky2qohUhpDH,6,https://p.scdn.co/mp3-preview/7ecf9fb64e67e9d045a35616ea5829098b920f96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Hanged Man,2XI0HeZPZg0ErjpWL4W1CU,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Mysterious Temple,3rldriuYZtCky2qohUhpDH,6,https://p.scdn.co/mp3-preview/9ff7487ee5bcd9a3b900ef917af737188359ef56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,A Ride to the Love Town,3nNDeEfZqJnXsdUGO7XET7,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Mysterious Temple,3rldriuYZtCky2qohUhpDH,6,https://p.scdn.co/mp3-preview/be85f9a299b5f2dd0e146bef6c9d8ece00b7f714?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Sacred Sun,6QKd7vWSevaihspiiKvYU1,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Psychic Bloom,1ZCqhhM20a5bfL0MNpw0zn,9,https://p.scdn.co/mp3-preview/f15b469d4add814e36ba05f599ac30889ab6d340?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,The Missed Bloom,0mElT0WGBUh1nKsCC0xiyA,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Psychic Bloom,1ZCqhhM20a5bfL0MNpw0zn,6,https://p.scdn.co/mp3-preview/62723f495a177a5daf9058e2102321c4c959dd69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Dead Valley Star,0N1p7gsF3BYNVNtVj8jcLl,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Psychic Bloom,1ZCqhhM20a5bfL0MNpw0zn,4,https://p.scdn.co/mp3-preview/437f9c939891c6971928244655619dbf46663406?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Mystic Shadow,5a8TrlyP3U7mkF4lqLad4Y,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Psychic Bloom,1ZCqhhM20a5bfL0MNpw0zn,4,https://p.scdn.co/mp3-preview/2c41538aeb096e1edfaa1ee2c677b19986b2f063?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Drifter,5gb30BBD8ceP8jXFN9GCDA,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Psychic Bloom,1ZCqhhM20a5bfL0MNpw0zn,4,https://p.scdn.co/mp3-preview/e1f5373e8c8fc95381cc3862cd23b431dc0eefe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Lucky Day,73uMlVJS4vyzF8touDiWHb,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Psychic Bloom,1ZCqhhM20a5bfL0MNpw0zn,3,https://p.scdn.co/mp3-preview/2ba7933542d42ed0fd56cb1e9319fd2d51dcf168?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Old Bud,0KRrdEt048nFkxuW1GQkxr,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Psychic Bloom,1ZCqhhM20a5bfL0MNpw0zn,3,https://p.scdn.co/mp3-preview/7203bdcf0f246273cc58cd24aa4b8b81b102adab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Blazing Sands,5LTrSLhyjOfAi72WyxEOeH,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Psychic Bloom,1ZCqhhM20a5bfL0MNpw0zn,3,https://p.scdn.co/mp3-preview/218d3881a55846b6e211ba1f2d47e56fea0a017a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
