🇦🇺 AUSTRALIAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,One More Night,02MRLZSH5daHKtPqYWnuB4,Sadventure,2kw0KmpvA6EZkIKOSsUQnk,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/27749eed0ebd048382a1dfb18f6c1d1b2c6677e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Trickle,10vXsqg5N4MEi86HOH4VCP,FRANK,4erf3FC4VCuruSU8sItEKx,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/b3601476e41a91ca464e3c28830df714ae6592bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Evensong,3zyqedxV0BurTh1Sf8ocCo,International Velvet,7CF6fIvYHs3tsPSbexGj8w,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/64b026ce6731077f653ec72b487304d60a60f7f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Johnny Rotten & The Queen,3PiTKfgAPNTnh2zcuV0amL,New Lovers,2TSEVwQPrV36VSxqnFoTxt,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/d3dfcd5d4366424a5570934c1cef80b1546a402a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Candid Streets,1ExbeQZrJg52eKzf8lQmnv,Nasho,7qnBqc068JCrFJOwrWFFi9,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/49c278b1b8a7e120251185d984f8ecab251502ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Here Now Stay Go,3CzIUwTWbun2zwIbIpTmTT,Paige Emery,3OBw6hrcKOCm21DGQnlgEX,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/03d4ea91515b8da6b0d0f11e15e65fa17d108f2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Volume Two,6y2iDjY9HKgC1pJ071ODHk,e4444e,5ZdlgqLI1IrDYZMAAYZmAd,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/a1d4b802b2eba0d4969e442c9ae1d2cec8672f51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,I Wanted,5hSdkAIXWzCEOCuTPUg4z3,Monica Sottile,1f2JdmrTa3QIsgTk658Kv5,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/62a1af20336c297585f04b9473b0cf9e6b7bd7ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Desire,0CEk7ri7axKjrq0Q5H3ocI,Wedding Video,3U2JQDHQ1VpohD8fytTko0,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/3f1a5c724b1f59d62f98a7249e03b9e6d04e1b67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Rewards of the Flesh,1zXatD5xnqteklRdFLnK2X,Hugh M. Hominid,5KW3FVrqdgCoVtr6X1sxPF,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/987f407f5b5845e8938ac99f3fd72512c25d7912?cid=fa83a2fec7c440b7a2795d600d6b2c7e
