🇩🇪 GERMAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Kneipe,3TvtwS204y0SSn8DFhFL4e,International Music,48dnHBivHwkMNSeKlNY6F4,Die besten Jahre,6vgr3jEhpQZ6YKZNzeSmNC,22,https://p.scdn.co/mp3-preview/8eff6fe78db40202deee4cb5b5da98cfde7332f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Kraken,4L9QCji3I4q36sd5reF6EQ,Unhappybirthday,1vNTiYXMbLRg7LgmnQ22jS,Kraken (Redux),2yF5wSYoKTFtijG0qw2zSZ,11,https://p.scdn.co/mp3-preview/5092de13ed7a45a7548eed93dac99b4694574e43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Alice,1P4RHzQUzHtU3TWhNPPHwe,The Underground Youth,2Hupv6e87TIsohgH4w4R8e,What Kind of Dystopian Hellhole Is This?,6zKPPz2pLWBt9yQg2KUHUr,33,https://p.scdn.co/mp3-preview/73b0028f9b0ff55b05d8ac0a7b80a31757720350?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Berliner Luft,7286VRcJQY0EICxARhmFEL,Chuckamuck,1566uWDpL81kQ1otrgXO03,Chuckamuck,1JAM5KswCSUOEgpTJvEuXA,14,https://p.scdn.co/mp3-preview/bf65fb4a0fc0368d89d538126e1e7ac6906247bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Cool,3spVZkmcZj6tdBIpxqCldn,Ilgen-Nur,4FjRuMCcbAdiYBr47QE3xX,No Emotions,0G67Q6KZQy0a665NebtKWA,38,https://p.scdn.co/mp3-preview/4413a352ca3b73ad27583870c0aebe23a4162002?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Good Habits (and Bad),0zudSNDWXxwVij1rPl8v39,Saba Lou,4FctzCzQuNPwtblJLp7LFQ,Until The End - Single,2sj38IWRZUuRDS6Uk2pLmw,32,https://p.scdn.co/mp3-preview/97267ece1b2351370a37c46d118f6ec023efc2dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Bodo,705nO834xJc1Q37ge0sQUC,Swutscher,7BnF7zhqDn9q8mgZfBupfI,Bodo,25rhNmdTmTDvECsePWfDbi,8,https://p.scdn.co/mp3-preview/7d3a3e28bb48723b7ddb600a031923e9609c64d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,HBW,5D7VIj68zy69TwKmjEAEiw,Fenster,7ohjR0GfCYEIiKvkOM08w0,The Room,751afniWpp7Bl91FEh5biq,33,https://p.scdn.co/mp3-preview/9b06a7d4116ea2fefc03a7744ac4f9632e154f5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Waiting for the Bus,5OC9ZVHIsDFNcEoMSwQZ6A,Saba Lou,4FctzCzQuNPwtblJLp7LFQ,Planet Enigma,0xSYn0HFYiDqJJn8B6H9T2,11,https://p.scdn.co/mp3-preview/b157966dd1d33620f1248996515b8ad89b11269a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Born In '77,7roificfTHyGnOlPpTaoIr,The Black Jaspers,5W1FUn7SIJyiYOsoT5CdU6,The Black Jaspers,2E15NnfWwC8ErBNGXkztUz,6,https://p.scdn.co/mp3-preview/b2c3b1315bf551a9d89968206fa3d9a9e71c3b03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Land of the Freak,29f6I4KlKwl8kdS4ZF2O04,King Khan and the Shrines,36cEnU1vYfohStmnt8y3T2,What Is?!,61EdINjmviAMvhHJdNOkRB,35,https://p.scdn.co/mp3-preview/60c615df57ebe49d175d74af71826e7f8286846b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Brown Trash,6qdS577boGvQyTKReIWLqs,The Tandoori Knights,1XmAew6rjwFoTaSFjQdRvm,Curry Up It's The Tandoori Knights,3mZZ6vcTTyisLl8vlx7FQ7,7,https://p.scdn.co/mp3-preview/56e2ac694a6e29ab15c86d936a1a6584f7a6610d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
