🇧🇪 BELGIAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Sinner,32PdaOVwnivSbav2HV8DBt,The Tubs,5ym5uvf3lr3vO3B7beAMbI,Rag,5XqohZvnyLwktIDnjn7JBH,0,https://p.scdn.co/mp3-preview/711240997f28d9024f27fad6aae1cbce3cc075ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Assembled Body Parts,43GXgIvRRt0NYUbwFNUSn4,The Tubs,5ym5uvf3lr3vO3B7beAMbI,Rag,5XqohZvnyLwktIDnjn7JBH,0,https://p.scdn.co/mp3-preview/800274ca23a38ef94d1f93246f3e50127dde1968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Barbie,3UAHA4VTkYpGzygLT7vmPR,The Tubs,5ym5uvf3lr3vO3B7beAMbI,Rag,5XqohZvnyLwktIDnjn7JBH,0,https://p.scdn.co/mp3-preview/db84752996908becadc32aa0f03f3ede3c3c6953?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Strange,7yQp5UaZ9ZLXWrFP7KqKFH,The Tubs,5ym5uvf3lr3vO3B7beAMbI,Rag,5XqohZvnyLwktIDnjn7JBH,0,https://p.scdn.co/mp3-preview/4e8dcfa4b7f1b2a7e58d58e34d59fde5faa3b447?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Wake/Sleep,2X5Qr7HHOXPkJTT68dS1f6,The Tubs,5ym5uvf3lr3vO3B7beAMbI,Rag,5XqohZvnyLwktIDnjn7JBH,0,https://p.scdn.co/mp3-preview/f047cee77d6dd86b4da6761dbf93272c47534a9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Castles Made of Snow,3TKhIZtayuSyuyFoioJyK7,The Tubs,5ym5uvf3lr3vO3B7beAMbI,Rag,5XqohZvnyLwktIDnjn7JBH,0,https://p.scdn.co/mp3-preview/4a64f4bad779a24722d8b6622cf17cbf64478d9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Each Side,7K3qNbc2uwu1UvQ0RHnzi3,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,5,https://p.scdn.co/mp3-preview/be55051f70cda06280b9089aa955e7363a82fb8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Sleepy Beauty,65Pzd3LZK0oN9fVzVvRhlW,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,2,https://p.scdn.co/mp3-preview/96f0683878dbff0bc0912f4b75518dde30d62623?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Naturally,73Fug1EpPZbltJWvp89V7h,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,2,https://p.scdn.co/mp3-preview/c5c048455ab3d28bd333b4de503a121e37081b58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Risky Trade,5n1sCDrcdCMfxbtF9oV2eT,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,2,https://p.scdn.co/mp3-preview/125c3cac30887373c3c491e2be3249abfcdb6bbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Exotica,3wq2dk6BOMPZkUKE9IKBXN,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,2,https://p.scdn.co/mp3-preview/816634293e01fa62bce4ed45a717c5d3b1bba49c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Pop Bubbles,43QhFCcxDFDncxFogg2gpw,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/9b3068d1e37055fa19ca7b7fe8059530d1ed8ed5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Paint,6kfkxx421r49m4n4BwesBa,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,2,https://p.scdn.co/mp3-preview/beb7fc4ba9eb8f4315b0a4982b3c8e16ed5431d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Silence = Easy,2hMe0jUsZE7xeJXHdoO8DK,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/0822585eec994db8cb16890103557d502009ea77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Laurels,5H1kydF5o0rldNVRfRMpIO,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,2,https://p.scdn.co/mp3-preview/7bc9b4b9a6c9f83f2c336f6fefcb3c93fa685ca6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Pandora,5btWV1rhLAS3i9TCGrXyVI,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,2,https://p.scdn.co/mp3-preview/b5e56bae98d1f3c0858d09bfd3bc0757423940ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Influenza,6iAry1Ky4iHgVn4IzUJJif,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/03fd251dc3a0834a03dd916501628bfce8193eba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Enchanting Allure,0r49X69kP6RmvaKMfGTVpZ,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/8e87eaad1249f85d9a7d02aa78197e0911e4f20d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,The Cunning,26jjejHAksTO5LJBtJLKeS,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/10d7192743a67aa855de572b97b1e48691cd62f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Forest on Fire,2JH50jTql1sk4dpFrs4MUd,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/9f452e3511f9e473d25b75d26e56a4d8e5877657?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Whirl,3mdyN6K98ILJ9rHTD74Kgq,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/27d688b61d45ae1ee2a34a57948879cfef39b1e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Islanding,4fMb9QpSHuuHyErughYzvX,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/cf9985a4e414376e8581f38d2c7116ecaef2c4c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Violent Fiction,3zMjljVm6ksgwXO4TO6iQh,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/7cb5b2f51708287e0078bd31e38d12a5b868bbe4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Disney,30bKSyDBTFT33TlVF0bjfo,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,0,https://p.scdn.co/mp3-preview/1caf35818b317a6255ff3317dc81f2f881ed2158?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Sisters in Harmony,20GuxZwXcQcipe2pHFezUL,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/2146e0695dcf37b4121aac2ba898d46b25361f38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Waterways & Falls,73NJ9HTL1h1DYXoO7chPRN,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/0665cc1a17350586398a8fc69b8319ef78ebe6a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Dionysia,1Zf1SW7okTHdLaCHYQDnJM,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/584d4d619aae1475a1a57d59996efc893cc5f7d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Peninsula,6OkrmqnROspQ7ogLk3tDpr,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/0a09aadd03395ff9126a44d9483c3dfa60a3a2d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Slow Eyes,4lEy2LCAmwQXtgUiaoTCuv,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/fecd48dfd45014d22618e246ec42dda6a6161250?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Mantra,4jyA958lQwrt1v4veDjSxK,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/780a6b667732e50b29bb03b74a72d7cfca8275e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,The Ships,2w7pum56qKmyNbxDmqt9LC,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/5289c073d77a9e633bc54f956ae1f76448a699d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Spreads,3uzqiC3InZe8qxo476V4N3,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,1,https://p.scdn.co/mp3-preview/61fd83bc93d53a0d90daf78fdd2709f15d5aa5d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Daydream,1nV6mCPOB93FQGpU9G0tee,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Rapids,6eupnuFTZ8Pvhhdjk13pOg,0,https://p.scdn.co/mp3-preview/7c19c63a5c5bad7e027e3f577400e2a05b7021ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Yawn,7MZ0IEF2vCJjCi75MEesuB,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Rapids,6eupnuFTZ8Pvhhdjk13pOg,3,https://p.scdn.co/mp3-preview/799487e2dc1f1c999b48adae5d16fb5cd884de55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Wave,00St37n6PVPhiL0bjLAY3b,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Rapids,6eupnuFTZ8Pvhhdjk13pOg,6,https://p.scdn.co/mp3-preview/8907d9ba983fa8caad1c34281b0363b44d045aaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Rapids,4OfLzBOxosja5f24Pfxnpf,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Rapids,6eupnuFTZ8Pvhhdjk13pOg,4,https://p.scdn.co/mp3-preview/4dc1eb2501aefa683fca2c68b2e4de9f42f12c1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Tell,6RtNHAZfGUg8mVxeTber2x,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Rapids,6eupnuFTZ8Pvhhdjk13pOg,1,https://p.scdn.co/mp3-preview/33eb04eb0d39caa14eb211d3fec5b71accaf676c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
