Study Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,Sharpest Edges,3YAKKLkaNHlPmziEmRjZBe,Gallant,7wFDo161xYdeaiLz3KIHoM,Sharpest Edges,31OLQGS2LF0F3gUIBrVtgv,49,https://p.scdn.co/mp3-preview/e70fccec6d51acbf47629d76165761c30c8011e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Loved You Once,3LbwR2WcofkDBp4LSgGJh1,Clara Mae,6RHKEd9dpzQ4c09x8Zdaxu,Loved You Once,01iLv3vWw6HJNlpkpazU8G,61,https://p.scdn.co/mp3-preview/8a33b0bd192882d630b0fcd116ff772be573a3b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Ready,6l7lX8hJXVIUyPrTaabpqk,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,Ready,0ypEjnegb85LxjkycDf1Zf,79,not available
27,Hazel,5HG8in1JeRSmGCJPz0Sa7E,Carlie Hanson,3mPc8WGusz2XF3Tvs3AKCR,Junk,6sid9RN71tWaLOSkmQ2x3d,57,https://p.scdn.co/mp3-preview/d0e02d3e835c4d54fb2f3e5eab3b52764a5a3265?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Sanctuary,3xaugmCyXrVkrDTXbFkMW3,Joji,3MZsBdqDrRTJihTHQrO6Dq,Sanctuary,1cjgTku8zcYVHRi8QQH1XI,84,https://p.scdn.co/mp3-preview/d7f259f680fd18e4bb673013e257ab58967ed725?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Thank Me Later,0cSudkwUpqc4maU7qzyF8U,Anna of the North,1mSJCvDX0W7Dn7S9C6vmvI,Thank Me Later,63DXrNznz5eU1q8eKfZ59B,61,https://p.scdn.co/mp3-preview/7f2ef77608cf375803a000c9662531accfc2642b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,I Wish,3g2TGdc44s5ejDlDNVYC6g,Hayley Kiyoko,3LjhVl7GzYsza1biQjTpaN,I Wish,1W8a7dwWPEz1hQ0onKvlJt,66,https://p.scdn.co/mp3-preview/fb9e6a296c12483dc5ecb84ad328ee4ce54bae49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,at least i look cool,2eLDUK7EkpENZkDL9O5yhz,Sasha Sloan,4xnihxcoXWK3UqryOSnbw5,at least i look cool,3DrwGrEPG3Rq9mIsZVuklB,69,https://p.scdn.co/mp3-preview/5bbfd72da6747bac053376c4dee31aeca4f09ae3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Make Time,7zYGCypGetk99BNl5RxBUU,Mallrat,4OSArit7O2Jaj4mgf3YN7A,In the Sky,7oH5TTCFxugLk2JZIUReR2,38,https://p.scdn.co/mp3-preview/5c037bf55fe00227f7c1bc85f0b8f221708492c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,What Do I Do?,00JPP5NHQdG92enZujK5Ha,Georgia Ku,5mYakBbBzPMQTfkVMIgiDM,What Do I Do?,1bUKv3t5KvdnrdCBZDM245,56,https://p.scdn.co/mp3-preview/478d00a3b82ae70fb8a94a8968f3b745afca3830?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,The Game,0c1Luu0yAEaKT4ZCa8N0fu,Milky Chance,1hzfo8twXdOegF3xireCYs,The Game,2PPAoP2PfrksSrs7GnNOeQ,60,https://p.scdn.co/mp3-preview/e0eb50588b5b016720950be4d2553630d95a656a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Torn,2GdxQw8NwoeH8tKySg6nym,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Torn,6a6Dy4LaFvh43Ed5lomDEd,80,https://p.scdn.co/mp3-preview/1ff3cfa3fc477d266958ba7a0dbbdd0e287f9b93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,He Don't Love Me,5RCrYjN8656mxa9rZ3HxSA,Winona Oak,3XC57xz74X3xUi1hv4mge1,He Don't Love Me,2kDPgjMUry2m5tlg2WhNnR,63,https://p.scdn.co/mp3-preview/bfa440f24669ac2b1a8c550fc182f82d7a781b73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Body Like Yours,3ImbQ1lqyxPkogap01ny6R,Call Me Loop,6NEekR0i3JC1r4BntSjskE,Drama,1CyESKy59r6q4tl5MBBm8r,33,not available
38,Glitter,23TPP1eeElFfvYVznskwCY,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,FIRE ON MARZZ,6pTMhQX8gt1xegiIwo3Ekb,70,not available
39,Terrified,0tCD4um9Mbqli92icIS3Jo,Terror Jr,5QatamYwvUTOmMHW6WA0AG,"Unfortunately, Terror Jr",6b2KfLOzzs3nOKKaPbi47J,57,https://p.scdn.co/mp3-preview/871c333209e85b74757335e035353d45c58518d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Flood,4C53QSWyP8MIpUx0vxzBvU,Vagabon,17mwzDXKn4ra9cuxXaptwp,Flood,4HtQ28bkKG4ajHDRsUQlCF,41,https://p.scdn.co/mp3-preview/c8bd132398bb82b1e8b5f897e36951aa70d54769?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Throwaway (with Clairo),3TTWpDAiJfyoJDd5v2F8C3,SG Lewis,0GG2cWaonE4JPrjcCCQ1EG,Throwaway (with Clairo),3VZK2BUptZDwTdOlogvFlk,41,not available
