Halloween Monster Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Psycho Killer - 2005 Remaster,1i6N76fftMZhijOzFQ5ZtL,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads '77 (Deluxe Version),5eqcF7pWzHgWpGdEmHgeSN,74,https://p.scdn.co/mp3-preview/38771ff6fac4da1cc99f3ffb6ecdbbf537e60f6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Somebody's Watching Me,7nqnMxJAtbgctaOtUpyHVK,Rockwell,3xs0LEzcPXtgNfMNcHzLIP,Motown 40 Forever,2pDkwIVnS6xnsXvHkdUw5a,7,not available
12,"My Family - from ""The Addams Family""",62rchuhJrm5JSlIfHz7cH3,Migos,6oMuImdp5ZcFhWP0ESe6mG,"My Family (feat. Migos) [from ""The Addams Family""]",6C9Wzv1cnhqbXytAzby4K2,70,https://p.scdn.co/mp3-preview/7219b0eb7268f722113bd41f5f4aecf2aab46833?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,7CdLU3GgPy1PH5FVsrPlyA,89,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,"The Whole ""Being Dead"" Thing",7BKbcBpIS7jMKsjbry09JF,Alex Brightman,7abCELr0U2E5K2nPjVtWkN,Beetlejuice (Original Broadway Cast Recording),3Nkueud4hqLWhSzOepKi7p,66,https://p.scdn.co/mp3-preview/807e253423275da600d7f6db9484d49d6d60a1ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Cry Wolf,4aPf0wQ6VBlRqWABaVjfRN,a-ha,2jzc5TC5TVFLXQlBNiIUzE,Scoundrel Days (Deluxe Edition),0Or3lqjBWQAfmyigntPSL6,46,https://p.scdn.co/mp3-preview/2b9fe828a38aefc7336c55d69729aed8eba37c2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,1999,3WGJSY8JaGliVIJyMig5aS,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Charli,386IqvSuljaZsMjwDGGdLj,68,https://p.scdn.co/mp3-preview/410080bc693a71172da5f42cc3b8ef7722c6cdea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,The Killing Moon,35E2eKIEXXnP5q9L51iOAk,Echo & the Bunnymen,0fgYKF9Avljex0L9Wt5b8Z,Ocean Rain (Expanded & Remastered),3V4j1tMdQqpq8nwW02UOiW,59,https://p.scdn.co/mp3-preview/c96580f92d451567f2e856c9cce6f33c4a2ccdbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,People Are Strange,1Jmqubf9kGkWeYQXQKImL5,The Doors,22WZ7M8sxp5THdruNY3gXt,Strange Days,6v5IVMmY1IvWtbfnQoiFSf,71,https://p.scdn.co/mp3-preview/f63e989a2e7d5c11558f02698882857a51b56a91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Killing Butterflies,3R8PKPTPgHApBhCt3NUJ0q,Lewis Blissett,5SrdmCdwa3qLV6EObwuEW7,Killing Butterflies,6avxfpUklBv0idzCXnGtt6,54,https://p.scdn.co/mp3-preview/d6b1749f2310c75d14c032e94bc402fc90f51be2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
