Led Zeppelin x Biffy Clyro,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1521,topsify
1,No Quarter - 2007 Remaster,55ZL7fjGAWfClmpnsK6Xon,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Mothership (Remastered),4wExFfncaUIqSgoxnqa3Eh,56,https://p.scdn.co/mp3-preview/d781b2bc6678b058d8517dffe5e155439df07037?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Kashmir - 2012 Remaster,6Vjk8MNXpQpi0F4BefdTyq,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Physical Graffiti (Deluxe Edition),26tH0kjUhkxBEd3ipGkx3Y,64,https://p.scdn.co/mp3-preview/f3ca68c9ceaa3435d5bd55c0199ba0b09b916cce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Thank You - 2012 Remaster,4pW4DF1119GLHiuWE7Jcb4,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin II (Remaster),58MQ0PLijVHePUonQlK76Y,48,https://p.scdn.co/mp3-preview/d031aefbb38a4dc2181b5e12540d85ad5d655ef7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Black Dog - 2012 Remaster,0D58ERdLBDRgT86BPnH8ps,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin IV (Remaster),5EyIDBAqhnlkAHqvPRwdbX,52,https://p.scdn.co/mp3-preview/9b76619fd9d563a48d38cc90ca00c3008327b52e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Going to California - 2012 Remaster,1YVc2NJBwOtAebQiSUbt5T,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin IV (Remaster),5EyIDBAqhnlkAHqvPRwdbX,57,https://p.scdn.co/mp3-preview/4bdae56c6a9f7a8ec42b753cb7bea2c77ec68f1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,In the Light - 2012 Remaster,343ctUuXfw3vnE2eN7cURN,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Physical Graffiti (Deluxe Edition),26tH0kjUhkxBEd3ipGkx3Y,43,https://p.scdn.co/mp3-preview/7015c0b0aed3e4fe361912fa6f6ae4f417b40a2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Immigrant Song - 2007 Remaster,2uuMXKKmdXrY2XxsqTsGp0,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Mothership (Remastered),4wExFfncaUIqSgoxnqa3Eh,55,https://p.scdn.co/mp3-preview/f918a8bd398dc578cc8413d3bfbef65726c69ee2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Moby Dick - 2012 Remaster,0IxtJOcnoS2DPmBfV2HDfW,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin II (Remaster),58MQ0PLijVHePUonQlK76Y,47,https://p.scdn.co/mp3-preview/06b34b06ab22bf108a3c281be4bb1a1e0fb11b95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
