New Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,2 Years,25JQrvOiR8btXdob00Ks01,Thomston,0VQKssIfRKfSd7IfW3JIP1,2 Years,3lW3bTcprkv4xtzTvieGco,49,https://p.scdn.co/mp3-preview/ecec9eda77d5d94f1138236e5c9f372a6947e76f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Mixed Emotions,60rpM4mSzjQcJr68a5dzOr,Emily Weisband,1am9EW2QubqpkCbg29vu5n,Mixed Emotions,3gX2LmrgyQStCMQdQ80U6n,49,https://p.scdn.co/mp3-preview/4f2630b77de25f464d1f50909e7b1077786deed6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Rumors (feat. ZAYN),6XjNLIoUiU2XKdbNp7PvHl,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Truth Is,4vfE56g4oK4p8VVx7pThrU,69,https://p.scdn.co/mp3-preview/c75161034667556dfb6c4868a6f312ec812578fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Lie,0mP5HOkHoaW9Q7qf7cJ7Gk,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lie,0KvCgEVqoBc6hynHl4cfwp,70,not available
24,Too Late,0jJh7G9WoDs08pVwyJOQpP,Conor Matthews,5iWU68xnsNiacwbt1fYEcq,Too Late,6RWh5ZExJBlcsyOM3iz5Md,51,https://p.scdn.co/mp3-preview/cdeeece1ef735a12dde8ab52732cd304978eb794?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Problems,75ylrnob5O80WTKi9ugZ1Z,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,ASYLUM,1qnAzDoa24ZYCZDzmP74sL,66,https://p.scdn.co/mp3-preview/b54e8d9c4b1762d2cca4dedf95b0aa5fdfe58122?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,This Is On You,2oeYjGXqPooFVy64aoqrJP,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,This Is On You,1BTAYKbh1kQaNRJ2TSC8I6,62,https://p.scdn.co/mp3-preview/d3c4aafc723b949c4e32409b2346ee7dbe144d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Never Let You Go,6H15f8zwZSiFE1iseSvkLT,Georgia,06knYh538h5SI7OAEF8ek3,Never Let You Go,29aFzMPjs687GKSJCPLfNI,59,https://p.scdn.co/mp3-preview/a5ecb0597a1cf56961cb52d69c0cebd986fbfa2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Bad,0RFRYdnudYzYGsnLaVpzd0,Blithe,604wNNLUmrAmNOSEU8GfK4,Bad,01jTmf0j7oqLfPDzSQfOxg,50,https://p.scdn.co/mp3-preview/b76e66c39d9a52993a0419767e60a5010c79d834?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,wildside,6nq7PXZg3mPTAr53yjoflq,Baby Ariel,3ggXjUaLzPuY775WFABpXe,wildside,5OuCmkL9rJOYUPWf8uThv4,49,https://p.scdn.co/mp3-preview/85feb2e6285bf9bb0e317ba3cc6e621f98b308ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Waste Your Time,5YwxSa50wbOB8bw5jIllgk,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Waste Your Time,0rKVn3UEXnBe4tEDlNvI8K,64,https://p.scdn.co/mp3-preview/8ec2b3b713daec0a1191db214ac23467ca1b21bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Charlie,6SPOM20nWbQSBvTwzgIzqg,Mallrat,4OSArit7O2Jaj4mgf3YN7A,Charlie,5p3g2nCVAeUIXzhBtTYWux,63,https://p.scdn.co/mp3-preview/5084c5cc78953d87c394a040aa745b6ed83ee03d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,75,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,What You Did (feat. Ella Mai),2B7UWqNqKgPVGQQ6FXn2PP,Mahalia,16rCzZOMQX7P8Kmn5YKexI,LOVE AND COMPROMISE,6tbaSZ6Q72kofaJtscUwFA,68,https://p.scdn.co/mp3-preview/66fd92a5d15e2ea822e7990639f4ada5ca9a0a25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Mother,6rVNnvyNeibts1uOqdSNIw,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Mother,5OrSjlgjIvI3GmTnTt6wnT,77,https://p.scdn.co/mp3-preview/5792f5b46d7747a02eae853dc1dda8393274df34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Killing Butterflies,3R8PKPTPgHApBhCt3NUJ0q,Lewis Blissett,5SrdmCdwa3qLV6EObwuEW7,Killing Butterflies,6avxfpUklBv0idzCXnGtt6,54,https://p.scdn.co/mp3-preview/d6b1749f2310c75d14c032e94bc402fc90f51be2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Higher,7E0UqLtjH5ipLhkX3bCCuK,Ally Brooke,6TXM1kV4L8DsDAkAfbOPYk,Higher,5peCrBl7RlaO4qDdxAaBON,68,https://p.scdn.co/mp3-preview/f2e8a878bc46b3c355781ee5d8fa1a89e4bfdc6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Strawberry Shortcake,57OBlxZRcRyHFdlXlsHP7G,Melanie Martinez,63yrD80RY3RNEM2YDpUpO8,K-12,1KerGJUScYGffP3Mjmjz8c,79,https://p.scdn.co/mp3-preview/7432f1febb01e556b019aa38b382fbd39b3114d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Bipolar,1agOL1akZePDXe21TBbBM2,Kiiara,4u5smJBskI6Adzv08PuiUP,Bipolar,2y5oeiOOk7synreCnFAy7A,62,https://p.scdn.co/mp3-preview/5cb90c9aa6367c51abaca61a6d662e5ac7e6ca8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Jesus In LA,5i2JGF65pHKSfMEjSMrBC3,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Jesus In LA,2aygqrnBUbPolcC6H1GUPS,82,https://p.scdn.co/mp3-preview/590ba446b10a2955c178b843e429dca8e8c06eae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Indigo,1sOr5OXjbukTzBDgmvd6Fa,88rising,1AhjOkOLkbHUfcHDSErXQs,Indigo,3Y3CwwjIi03RRyJohYzKXh,79,https://p.scdn.co/mp3-preview/92303f27f212f7cf4abaadd75a187576b5947869?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",60sI3iRfHfu7YpcTpZ29W1,92,https://p.scdn.co/mp3-preview/f516b7ef3c83e390a1c965c5b3730ebe4a6c667d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Closer To You,3r2TFFPynN97CgmzXKal5X,Clairo,3l0CmX0FuQjFxr8SK7Vqag,Immunity,4kkVGtCqE2NiAKosri9Rnd,63,not available
43,Glorious,7xPIlYAQvOubFllPkn8XSL,Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,Glorious,7ioa0F9HHBzTCV5VbFupal,65,https://p.scdn.co/mp3-preview/9a437d0c87ec989113bffb96acc7481efd4514c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Hallelujah,46dLlHs1faMwGvFZP4JMLd,Oh Wonder,5cIc3SBFuBLVxJz58W2tU9,Hallelujah,2DLjxNonCb36p93KPqVcZH,66,not available
