Summer Pop Party | 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,One Touch,5EKiBMhzRLALeGDPdoAKkQ,Jess Glynne,4ScCswdRlyA23odg9thgIO,One Touch,73JUDiyiu0OXCzzM2jjVkL,76,https://p.scdn.co/mp3-preview/ead38ad10d9ab85f99be5fd1e3eabee11c6633c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Not Over You,0gr7xzfKDED0mKuv7i5PI7,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Not Over You,4HNgQRfYsHbjnMn5HSpJJa,66,https://p.scdn.co/mp3-preview/0c8b4240deaeea3b757985af1fa16913e99e7985?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Mad Love,79JBjIq90BrQ8Ws0pUhlzD,Mabel,1MIVXf74SZHmTIp4V4paH4,Mad Love,6fwNMnwzVoclK4zOwl3ou0,85,not available
23,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),0xbuJLlb5afBcmCpdOaszR,88,https://p.scdn.co/mp3-preview/2c529a40d846a04151fed237da99736e1a372e1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,2002,2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,Speak Your Mind (Deluxe),7lPoGKpCGgdKFAxpudhAH5,85,https://p.scdn.co/mp3-preview/393689f63c149cefb1f1293494058b93a0e19891?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Daydreaming,5vrF5FyLxgfIUvl47a0Z8W,Milky Chance,1hzfo8twXdOegF3xireCYs,Daydreaming,4EBgGTrczTPhnWy85lngYd,63,https://p.scdn.co/mp3-preview/781e76c34a24b2e08f1226c03e0772cadf2a3438?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,83,https://p.scdn.co/mp3-preview/75a1b521de23958a2db9acf4fc8151999ee54bd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,I Was Lovin' You (feat. Dots Per Inch & Ayak),5fOJe6vJ3vJXMrN6v362WJ,James Hype,43BxCL6t4c73BQnIJtry5v,I Was Lovin' You (feat. Dots Per Inch & Ayak),4ezQbrx5XOoMMfx7Ux7TAC,66,https://p.scdn.co/mp3-preview/91d2ab4c9070c7fc3bcbd089cb0f51b90f24acaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Harder,2b1BwUGGyKq0CoJd8G1B6M,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,Snacks,1fYOToOfdZXY5hrOra8z2Z,63,https://p.scdn.co/mp3-preview/6dd83fa162c28316de57522c3747804a49db43f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Naked Alone,2C1V8JFnm2OqZVkHhNu4qe,L Devine,5dhyUSoGhz79WTzP39vKs4,Naked Alone,5YYlJXLIbOfWlwYBH7upuC,58,https://p.scdn.co/mp3-preview/b5ab3e70d57feb11259d9c41377bceb4d53c2d04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,I'm Not Alright,0sNY26ONhumtJKFJGdu7kr,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,I'm Not Alright,723pvKQEduRWov5oaFZwXT,70,https://p.scdn.co/mp3-preview/ddc7fe76b49fe8f400481beb3e1325746f5785fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Stay (Don't Go Away) [feat. Raye],581MrXg5n979mmvZaC6AOE,79,https://p.scdn.co/mp3-preview/e861389ed2b773dc0aa5f5b96aa2bc0eed9bd09d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,Taylor Swift,06HL4z0CvFAxyc27GXpf02,You Need To Calm Down,21dd5QyItuoqvPkViQXlKf,79,not available
33,Louder,2wacWRRZpQmDE9prT1uzJa,CVBZ,0pt7PX4Hftlg8mV1ySU84Q,Louder,3pCK0kIb9awbUEO6AZJ2PS,51,not available
34,Day Drinking,2y2VV7FtNCAsSHGH9pLbhY,Black Saint,7JMPwFdbHhPe46HDJXKhA5,Day Drinking,5BgFFzqkdKKopZWhaHK91p,54,https://p.scdn.co/mp3-preview/fe1e59fabb310ebc1583a2a07f69db43a544e249?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Solo (feat. Demi Lovato),1q7a5wZeti0neU2jDn8Dz3,82,https://p.scdn.co/mp3-preview/ccfd1b80223079c120eeec6e83c7771eb74ca27d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"Don't Forget About Me, Demos",1DNx0H5ZX1ax3yyRwtgT4S,89,https://p.scdn.co/mp3-preview/4541d9fdce0a1a70103690863356bee8ca05d02b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Hate How Much I Love You,2v00WuRHH1WdnXxlHnyURi,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Hate How Much I Love You,14XTLEelUegZgKjQ6XI5oA,71,https://p.scdn.co/mp3-preview/e3ea1416f684310c23fbc6547a01cf2548f75d64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Who's Got Your Love,47dABAPyBgKB3iQCrC4Vrv,Cheat Codes,7DMveApC7UnC2NPfPvlHSU,Who's Got Your Love,6d4dRmGQEOf0EAZepURdbY,72,https://p.scdn.co/mp3-preview/a0d49bcfcb0debd88241834d64775f9ec2269f10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,All I Am,6X6SdJzxyw7GzxwP2fr9WV,Jess Glynne,4ScCswdRlyA23odg9thgIO,All I Am,5OcUNJc5661j2QGSJkJC7L,69,https://p.scdn.co/mp3-preview/1ea310aa1002c5f8d483a60110f8d2f97d0c8a88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,good life,1PVMA7ECi36ffDxgKV64Pb,kwassa,7hu7hjmIPOtU1S3D8zfBlw,good life,6jQKpMslVWEesH9AzSPytO,37,not available
41,All This Love (feat. Harlœ),0nxYyX5PIHJqF4VSb4CIFV,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,All This Love (feat. Harlœ),3mMaKYr6aPtFSHYUr7acxJ,77,https://p.scdn.co/mp3-preview/98487242c73774728294bd1292f3435e40bf6034?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Orange Trees,5KgjRZKraoTkHAUONmVFo1,MARINA,6CwfuxIqcltXDGjfZsMd9A,Orange Trees,3I9uFZjQn6d4fux1wv4UzZ,53,https://p.scdn.co/mp3-preview/b68f93015414b111ba114d9277c0a10bd2c319f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,"thank u, next",4KBx9DSSbFaumwlEqjX4CP,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",6sUzNE1SPNLBXBCZs3PIAO,55,not available
44,Mirror Talk,50MKC57FUgCT39leWSA0a0,Griff,5RJFJWYgtgWktosLrUDzff,Mirror Talk,3PbpnYQH8lZCA8cw45ry4r,51,https://p.scdn.co/mp3-preview/73c21dbc7d7f812733f2cad5411e99b3e1c7b968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Giant (with Rag'n'Bone Man),4PwXTHenZZx7ebgsnTM65K,84,https://p.scdn.co/mp3-preview/0f2bfeddc5705a09caf868f7e5aebf7e9fd8b6bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Somebody Like You,0gm82JrJkAxKNM4pTibNYu,Gianni Blu,7xpdGx95yjp1d4c6dViRSx,Somebody Like You,7dDtbFqdLTfltAcGwdkYxI,48,https://p.scdn.co/mp3-preview/a50e36add2f5a8bd07b3a629ff7eaadbee52bf63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,I Like It,1fbwK39J7sfNu3b98Olcay,Cardi B,4kYSro6naA4h99UJvo89HB,Summer 2018,5To5cHFbB4C1UJ4M1C5TwB,20,not available
