Planet Earth II: The Making of the Soundtrack (BBC One),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1274,bbc_playlister
1,Jeux d'eau,2xxLVV91pU3WkvufI69N0O,Francois Jutras,0HikfRK9SgDG5EXaQ5R31a,O,7kPgn5jupGjfE6lEPe85hs,30,https://p.scdn.co/mp3-preview/4d129034d49e738cae45eb6b762bf5642c03d129?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Propeller Seeds,251yeR1MPowCFAa8zGBfGk,Imogen Heap,6Xb4ezwoAQC4516kI89nWz,Propeller Seeds,50qsXo0vSLVRbL0SV9vx8w,10,https://p.scdn.co/mp3-preview/bcfe6f0370d71f92f5f5f72599add98435ed5eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Burn the Witch,3dAxzv7hkxipbuWJaOMzAl,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Burn the Witch,2DCzgO12HyMeGxoQlbtvQV,46,https://p.scdn.co/mp3-preview/c5b0b198ee3f045960106e9957550e4610555d7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,"Mahler: Symphony No. 5 in C-Sharp Minor, Part. 3: IV. Adagietto (Sehr langsam)",6pQkFrSb6IzUMSowIAIPHp,Gustav Mahler,2ANtgfhQkKpsW6EYSDqldz,50 Best Berlin Philharmonker,1XOMB5hWJQKlMw5M8LzPu9,0,not available
5,Adagio (arr. for cello and piano),3eCwEVedB4vtFFaTgVq6de,Zoltán Kodály,7MjAFDEchgyC28I0asclTE,"Kodaly, Z.: 3 Chorale Preludes / Cello Sonata, Op. 4 / Cello Sonatine / Romance Lyrique / Adagio",2xDWTggQZ5wk4mCpw5rtDr,3,https://p.scdn.co/mp3-preview/aa6b00be414f7cc35c58eb6511dbd1f204c2f9ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,re:stacks,4dHEQ1W1jRmNjjB0S7vB8V,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,"For Emma, Forever Ago",2wBGb1zLSWrmiOdinWE831,9,not available
7,Með suð í eyrum,3iZVvUlvr2mlITqquWo04Z,Sigur Rós,6UUrUCIZtQeOf8tC0WuzRy,Með suð í eyrum við spilum endalaust,6gAPGWoCZTnIaqB5EMAllD,30,https://p.scdn.co/mp3-preview/d6d806f070171d897b3f8310642ea6f9fbd4a4a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Night,6Xs9eaQXZaKfPkEyETxNl6,Ludovico Einaudi,2uFUBdaVGtyMqckSeCl0Qj,Elements (Deluxe),5jzohQ50TA36qTumAG1rEA,57,not available
9,Petricor,4XWqS8UGO5x4ClB2yH0nbW,Ludovico Einaudi,2uFUBdaVGtyMqckSeCl0Qj,Elements (Deluxe),5jzohQ50TA36qTumAG1rEA,54,not available
