Toddla T Carnival Anthems,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,706,bbc_playlister
1,King Tubby Meets The Rockers Uptown,00Drwhan2rZCVDbcblXajF,Augustus Pablo,5WwEQwX3ruZofwDDqtOXwI,Classic Rockers,0J0eXX7eNesEiWWl2uQg9f,0,not available
2,Warrior Charge,7rk4aPbC6HbVvOdhcglXFb,Aswad,55LyOQNIa9J8wX6y6eJfc0,Universal Masters Collection,2ZZKrFhmXawjmYEgreRQMD,15,not available
3,"One Love / People Get Ready - Dub Version -1984 12"" Remix",6DvS3pgjlJgPja3VulZjeN,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,Legend (Deluxe Edition),4WfjtfjZC1pW1jlU9qpuFr,0,not available
4,Police And Thieves,34K4XBQYknnTFZsBO1Zaiv,Junior Murvin,17dXLKGh9AKpooAvGaVt34,"Music From The Motion Picture Lock, Stock And Two Smoking Barrels",2fdAkcqAzhesitKe2q91RL,18,not available
5,54-46 Was My Number,40KTypjh1VYHw8poxix0Rx,Toots & The Maytals,6ZFv3wQwwWPiVDWhv0mjQK,Pressure Drop: The Best Of Toots & The Maytals,4k2jeEYMTGI4aTlgou4Fgg,2,not available
6,"You Don't Love Me (No, No, No) - Extended Mix",0INtJm8gCJKtNaAYQNVlpZ,Dawn Penn,6mLXvSt7Xxy2r9uBba1O6Z,"No, No, No",7DLI0K5q6Gb1vgtlgKSgmU,64,https://p.scdn.co/mp3-preview/b05ba39f3d6ca90d29fa0e1ae8f4efa5ab1d6984?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Revolution,1nsEptcDye2MUjMJQ1N5Rh,Dennis Brown,0UmBaQJflaHddKtf1lrA6F,Reggae Anthology: Dennis Brown - Crown Prince of Reggae - Singles (1972-1985),1ZckZ1ISksO8vqrbQn3cic,54,https://p.scdn.co/mp3-preview/a0e27091fb81830dcf5652b7bba87bd78e13a7a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Under Me Sleng Teng,1YjBJlLZh4wwnfYZCr3jrE,Wayne Smith,7kwcin6f7eYIvo6hG3GEn4,Under Me Sleng Teng,43bIT6PuC4DKlvC4iKTWHA,51,https://p.scdn.co/mp3-preview/1ba138af7af0aff462c36f5af38ae0606b5f504f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,When I See You Smile,1bBrHWTSVZM963zzJQvUtD,Singing Sweet,1ABKdHci1opQWv1GLXH0Na,Strictly The Best Vol. 8,3MEKqrHNfcKZe3pjmyNXzU,27,https://p.scdn.co/mp3-preview/faebeb8a1ec6c417f29c4079c1760b0be28882c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ting-A-Ling,7hqAdo1Wig886zA2jPDupG,Shabba Ranks,3j7Sw80qzL2FJlryUhI3wG,X-Tra Naked,0pgUsfoBDv2x37BvdyG6wq,46,https://p.scdn.co/mp3-preview/63043a0cf5f613abda0f8b7588792b88c932a751?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Tight Up Skirt,1uNIWPKOnJw92GPDcvaJY9,Red Rat,4lthN9sVX4QW2lnXQEUbMh,Oh No It's Red Rat,7ET4yhpl6CoZQmHJmmfWZi,48,https://p.scdn.co/mp3-preview/bafe5e7f0e68308cb46d5186026f45265ed14a5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Bashment Party,5BXIxRmttPqhNtRCy8F1nA,Rayvon & Red Foxx,3l5UefEXdVYgYgIdTIED0S,Showtime Juggling,2gHRcAA8BqCOTNCn4cCuae,41,https://p.scdn.co/mp3-preview/f8109c1c0f3dc1e239f05c66555012fa9f86cba4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Romie,4KlnHq8kW2k1RisegiOg0I,Beenie Man,4L3GTE04bW5N7azA9QPhjA,From Kingston To King Of The Dancehall: A Collection Of Dancehall Favorites,3DFVychHEHSGoVtzuFP2cQ,51,not available
14,Benz and Bimma,7DbJ9IGf0PjOzV5lPK20rf,Bounty Killer,6UuT0BJZ9vF8Y1sxXnJl2s,Reggae Gold 2012,6ZETpi6qYuaLSvgs57jbVS,17,https://p.scdn.co/mp3-preview/b21a7e5f7e5ff8497ea60b1f033ca8f464e3a40f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Heads High,2t42wAZWVmtzX22lK6crPU,Mr. Vegas,1pmixngtBJleMrGUG5o8DE,Heads High,5gHtG5mxSNjyNKIHK4aGv7,58,https://p.scdn.co/mp3-preview/4d17eb66827e44271f012adb8fe3522ff212ce0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Dat Sexy Body,3MA9vuvFgT11GTazSK5FQ0,Sasha,1wgaVwZ7CMHJLePpz82m5w,Bookshelf Riddim,6webuRfDRjTUHH2S5bZ2Wc,43,https://p.scdn.co/mp3-preview/20475bf3d4d6e812948aeed94c2c1ecc80297546?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Gimme the Light,3SCVtAJq8li6HlKfM4M08u,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Dutty Rock,3nAwSh2fcp3M8voQKZS2as,59,https://p.scdn.co/mp3-preview/7ecd260b83dd1f3233762cf3724079910b179523?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Pon De River Pon De Bank,1Cj22FsDrgZmBvNizaVzWn,Elephant Man,6NOvBZrkd83MSD51xkq4on,Reggae Gold 2003,76Ln6U1PHLVU8Zc10xXAnF,27,https://p.scdn.co/mp3-preview/179294a88cc26510fda0dcdb4d04e73a8c1d63fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Bad Man Forward,1KW6PVabkLbthK4y0sPX5a,DING DONG,351x2S7CduShTNvtzgkMl7,"Bad Man Forward, Bad Man Pull Up",4pWeMGhrk1bvKE3Od3jePT,48,https://p.scdn.co/mp3-preview/788a7ae94bed811a6aa0cd8a24751633b0258004?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Dutty Wine - Raw,5KezcmKpZPp9jj2liJfjdo,Tony Matterhorn,6taesTUSevB9eK8bm5Y7b9,Dutty Wine,0hMGuG8gO1U1XZ0Z2NIRMm,45,https://p.scdn.co/mp3-preview/33dc0c19905721804aa01f22105743fde5c5fbf7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
