Northern Soul - Keep the Faith (BBC Two),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3187,bbc_playlister
1,You're Gonna Make Me Love You,1ZDlW4xKpQPUecWmHYIW66,Sandi Sheldon,5h7BKJSdnYnC7ciVgs3Mp0,The Northern Soul Story Vol.1: The Twisted Wheel,4m7PZF4kH6K7JKOp2vlf3d,24,https://p.scdn.co/mp3-preview/97c63a53dd969ce393c5a19ba5a55c48bbf35030?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Blowin' Up My Mind,19gsGCDFpQvBPgkxVZbZyU,The Exciters,2GF1B0GIaFrLFLdfH6ufRO,Tell Him - The Best Of,3AinbNqDcXs2fTBwl2J1CT,23,https://p.scdn.co/mp3-preview/4b16196aaf4e601bfa70a1fac5e1f59ee50a7a66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,If This Is Love (I'd Rather Be Lonely),0rWYFFJcHKv1cnl1OMKkPc,The Precisions,04wcvutO63WXxkQtmuQKkh,The Sound of Sidra,52bL2YLgLbp3uLxiVHDP78,17,not available
4,Uptight (Everything's Alright) - Single Version,3afRkFsUO8Tc1zu8P1VNtV,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Essential Stevie Wonder,5FsFNF0NIJhB7wqZylu9qL,0,not available
5,It's The Beat,3F5CJ4vNDq8TlKS2NwtpM0,Major Lance,7onp6ew3LGoQImTt1I78gt,The Very Best Of Major Lance,0fUT5dIJZ6LHw0QjtDHdmV,13,https://p.scdn.co/mp3-preview/927466cd837c08551faae388508ff8fa7fc4bb9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Baby Love - Single Version (Mono),1G8AHCpR1HFwK64bzGKHof,The Supremes,57bUPid8xztkieZfS7OlEV,Early Classics,1x4FZvKz9GExQ9tnUm6U6m,0,not available
7,I Got To Find Me Somebody,5Q6Q91lV4G5xtPi6SdeHGM,The Velvets,66FtM9Qn8TvajTDJNpkpyd,The Stars Of Northern Soul Volume 4,1drsrXF6SvW53sYW3oaW1u,0,not available
8,"Trick Me, Treat Me",48dOEodMyESHT1oFfbzksd,Cobblestone,7DHcN9BPYLwTdJ8YlVt5Yd,Wigan Casino 40th Anniversary Album,2sPZKGxvg2RZF4d2ioEYjz,14,not available
9,'Cause You're Mine,5kTm6mAV809O9jL3fIl80F,The Vibrations,3BLqcKdqgBI3oJvVg7Odz8,The Northern Soul Story Vol.1: The Twisted Wheel,4m7PZF4kH6K7JKOp2vlf3d,23,https://p.scdn.co/mp3-preview/1b534e77ec4e3b32499b9f06ccb4ef63b6cab51f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Out on the Floor,4HYpG1m9d5LVBHJZJ6NWMc,Dobie Gray,3mC1KCuZZSOlN8Z0M56VsV,The in Crowd,1WyzsWPpOkkH07F7Rvx5GI,41,https://p.scdn.co/mp3-preview/0b83a86b6aac7c9802fd980024eb31be4cbea192?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Good Life,5sJiLlgQKBL81QCTOkoLB5,Inner City,0vUJ3QLN3MlRfjOc2LjGWp,Paradise,2CwxbRPETEraKmAKDNrEcs,54,not available
12,It Really Hurts Me Girl,2Jaajjma1hAXdaxFhWvAMw,The Carstairs,1RSTlxBlVr8XeyoFFa8qo0,Northern Soul: 20 Original Classics,0WaJQ19J0GfyGfuVIE1SrK,1,not available
13,The Bottle,0lxDL4c5xQQJskltQigwl0,Gil Scott-Heron & Brian Jackson,2OELvPolUUefy9oQNgs8rj,Messages,35sAACXEXnzsnibV4KwJs5,47,https://p.scdn.co/mp3-preview/9311163e67b77d6c5ca218dbbea3ec74ab2946dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Long After Tonight Is All Over,5nE9ATO8gJnldD6dywFL4c,Jimmy Radcliffe,1fB5CtNImCJJzFumiCCEU1,"Where There's Smoke, There's Fire",5JrnRJTpNNF8OnoBnXuBQh,19,https://p.scdn.co/mp3-preview/587198ef4cce032d8f3898e7b192914eb5068a1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,That's Not Love,3vo4Bf7uFQbRJoYqCHDUNf,Holly St. James,7hkjnUpoFA3Wb5iteirmgy,The Complete Introduction To Northern Soul,4Sghq8ZcBdx8tLoliuaDdD,0,not available
16,Tainted Love,37Puev3mrej8EGVFkMoN4B,Martha Reeves,3Hut5CO4gDNYQfG63a7Wl4,Songs Before Other Acts Made Them Famous,6P4c77ngi32UDqKGBYi4Wb,2,not available
17,I'm Where It's At,58yo7vaCaPNhdXGKj0dCTW,The Jades,35ygC5lMRprqOIHZbcjsK0,The Golden Age of Northern Soul Vol. 4,2SOdKMWJPZu3iJi5eMSGL2,6,https://p.scdn.co/mp3-preview/31a5812db28d8afaff050025af551cf2b05c7886?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Time Will Pass You By,1B5xBr7FhEFIrqgyFBciWl,Tobi Legend,6eq5SerOImK3d0a6HNQPOC,The Best Of The Northern Soul Story,1e5GWj2QMByTH63cp8WOU4,30,https://p.scdn.co/mp3-preview/87bfdec135149b93ba248eee547764e11c1516f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Soul Self Satisfaction,0Q9EM0vQ8tUMexlt7zCB8T,Earl Jackson,6zmYJLz4S51QuAsI6Jr4Xd,The Complete Introduction To Northern Soul (4CD Set),5QK7gEoDVRo97MknwpvInB,0,not available
