EastEnders: The Queen Vic Jukebox (BBC One),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2765,bbc_playlister
1,MOVE,4VJNGwxW8r0lQntVi1F5xi,RAT BOY,2PmIyxmEFsNfQJjEifPDZC,MOVE,2flZIwiSbkFzVYnl3s6O9o,27,https://p.scdn.co/mp3-preview/6289184e70631ee85a3a709aff8af2bdcc052ea2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Best Fake Smile,3ZDqEhR3yfrcnOWi0g5YGD,James Bay,4EzkuveR9pLvDVFNx6foYD,Chaos And The Calm,3G2kixP0Pi8L0KgmSYohb2,58,not available
3,On Hold,4w2iAP3X4FkpPb5kjRdIDx,The xx,3iOvXCl6edW5Um0fXEBRXy,On Hold,0xhcc6Lp1uTV4mokv50GXf,9,not available
4,Re-arrange,3VAvS6hbvz0mjFT1TmLNdd,Biffy Clyro,1km0R7wy712AzLkA1WjKET,Ellipsis (Deluxe),4gSoMEnVL0sZlROP2bDVqd,55,https://p.scdn.co/mp3-preview/4e13a7b1a817005ca520077561fd97f3f235452f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,A Thousand Hallelujahs,2t1WKx8R6Bq7PTj7dWEEa1,The Shires,48hCuDf2HUMGTgMhqLfic3,My Universe,0zEPrwKUYR3CKGrQd85Gtq,0,not available
6,Bitter Salt,7h49qJC4I8Svl16KTtmlW8,Jake Bugg,4hf3caW9H8uFwwbv5pFjcg,Bitter Salt,54PjHvCdDiNd2Gzae5RyOC,0,not available
7,Birch Tree,5mOPeaSXywGZX3mDflbDsq,Foals,6FQqZYVfTNQ1pCqfkwVFEa,What Went Down,4uIDigk79DeZEYV6Z5Yf4s,62,https://p.scdn.co/mp3-preview/34b2e493b8f1b2ffe93edc37a556dc145aa7b5ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Lush Life,0r4SsYcwvd8URat6AS2m6f,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,Lush Life,6x3lObhgC3H0KpOfePojFG,23,not available
9,Snake Eyes,2XGsd6LoEqQwuwLilE3zkH,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,Snake Eyes,4WoYfiKkdsTgJy3kSx98g0,0,not available
10,Lego,2g3c1RJY02he7o50eqxwvQ,Milk Kan,5zfqoDmcjGb85SgSFPg9sk,Lego / Question This,4BJRsprx1xs2sU89c6gNEQ,0,not available
11,Happy Now,06uQdCqPg1CqwhvXYb6hSx,Jon Allen,5ajIkPBUamM5hTDLtrpTBa,Dead Man's Suit,6cKZwet5EPdeQnTTWDtJq5,16,https://p.scdn.co/mp3-preview/a4dcc16231f6ed6dec7f34dfa747dad66d685198?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Don't Let The Sun Go Down On Me,6YFbJW9ieQHClBf9nFnAd2,Elton John,3PhoLpVuITZKcymswpck5b,Caribou (Remastered),4wBEBXmZSMUnscian0hgCI,4,not available
13,Minimal,1uwpbDk4OoCEtdUQnWmPyD,Pet Shop Boys,2ycnb8Er79LoH2AsR5ldjh,Fundamental,0lr1YzjyHMdFD26Rs4GgmX,18,https://p.scdn.co/mp3-preview/b001965a3ecd1305abb4149adfe1e6e738cab7d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Tears Dry On Their Own,7MDfN1ldfTMtuXXdVz2Pzc,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black (Deluxe Edition),0E4xv5gPjykrwBgBZzI8XG,57,not available
15,Letter from America - Acoustic Version,6A7YAi6eMckgjo20NVwp2r,The Proclaimers,1A92IAcd7A6npCA33oGM5i,The Best Of The Proclaimers,4BermCHIXmHOM0GDPE6fYw,29,https://p.scdn.co/mp3-preview/1a0d687c66b79d280601ee446137bf3ced7f51f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,London Girls,31GT1EgmLYIlGux60o45o5,Chas & Dave,38unGip4o3KhMfqHdHWB7K,The Best Of Chas 'N' Dave,1kGDpcVUiWyd8HT3tlywL9,33,https://p.scdn.co/mp3-preview/6a9a65f4327ddf886053747bb67dde6f579d5088?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Copacabana - Remastered,3VgVhmZkA99quKw6O5NLNh,Barry Manilow,3alW3LYQS8K29z8C8NSLIX,The Complete Collection...And Then Some,3qKy1BQdCqyAfrhgtqCdqv,46,https://p.scdn.co/mp3-preview/b1867a4a120fb845cb0db36ca0f1e68ec2a47a8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,How Sweet It Is (To Be Loved By You),7JOzXSyZIviQ23N2QvLYYF,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,The Complete Collection,69CGCKWjvAGB85dq0bNR7w,0,not available
19,Summer Of '69,6oWpGuwokWJ4EcWgVQPdUt,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,The Best Of Me,4kbE34G5bxaxwuCqz0NEw4,22,not available
20,Send My Love (To Your New Lover),4JHIOQE4nAtUSfGuzDLjYa,Adele,4dpARuHxo51G3z768sgnrY,Send My Love (To Your New Lover),1vlKTObVibnwWkJXWXIcH3,54,https://p.scdn.co/mp3-preview/bd2259812eb53138a906ab6d746d8f36ca5b942f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Best Fake Smile,3ZDqEhR3yfrcnOWi0g5YGD,James Bay,4EzkuveR9pLvDVFNx6foYD,Chaos And The Calm,3G2kixP0Pi8L0KgmSYohb2,58,not available
22,Kicks,7amolw6J7RGQrg6mJXvuMA,Lauren Aquilina,22qLnGc8B1btqty6d0Qnlm,Kicks,4AakiUa8wDAnC2ehmtQxmM,0,not available
23,I Shot The Sheriff,5HDgYxzQVfI55ll5wGXrvY,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,Talkin' Blues,4GZuHvbgIV3vTpIWhBLfA0,0,not available
24,White Tiger - Single Version,64I0PKLFEKlcvc7fEVUGq0,Izzy Bizu,6b5YOgXIliAozdo49vUCJQ,White Tiger,3vFbnDJXtwP5SaLrFgn0GC,64,https://p.scdn.co/mp3-preview/066907b0de8c7370d916d7e34bf344be0e80a7c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Since I Saw You Last,1P9FQvemmakgqHlVmaHFLX,Gary Barlow,3ZcbVcd3fsf9qKK02UVzGB,Since I Saw You Last (Deluxe Edition),6C8L2bRQZQwy9dKHDcGeZe,33,not available
26,Liquid Spirit,7aRbP3dQN8zWTZf5d4GKzE,Gregory Porter,06nevPmNVfWUXyZkccahL8,Liquid Spirit (Deluxe Version),4HVY2UGhxlZseyDu3EqcQc,3,not available
27,A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Ghost Stories,2G4AUqfwxcV1UdQjm2ouYr,78,https://p.scdn.co/mp3-preview/dca7402083b8dbf0e2a5e91f49eb76bde94cd493?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,I Can't Stop Thinking About You,5rR1C059TESZuNiiYEzZBa,Sting,0Ty63ceoRnnJKVEYP0VQpk,I Can't Stop Thinking About You,6lHsrNDKksCOu6iXWmLtUr,0,not available
29,What Are You Doing New Year's Eve?,40YwlzeznPUTjJB7H1TO1N,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Christmas Rules,7a9xlXxD82eQGXaExYrChG,0,not available
30,Christmas Wrapping,3q6se0IpHJ3bJjRxOrGPCb,The Waitresses,57AKOY1SF1062tuVzgAPv8,Christmas Wonderland Collection,2RVKUUvRB8AVTlctBk2hb9,2,not available
31,Never Do a Tango with an Eskimo,1BH7G41u0fSCiVr13cP8W5,Alma Cogan,0oGo1uX2IixGBLb3fsiVnK,The Ultimate,3iPzdn8y8NCRKy5LxX2Fv8,15,https://p.scdn.co/mp3-preview/bbb1a7c0cc36cab9b9196b4cc4841f34309f00d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,A Time For Peace,0KkOaELUTox3mx2tlAoNoE,Roger Whittaker,6pgfx4K1p1kT0RewXjmLfk,The Roger Whittaker Christmas Album,2bGS8zzgbQnXnPAZPGQ1dK,5,https://p.scdn.co/mp3-preview/2cc0e6abe1314c066d01e1a010315111dd967502?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Feliz Navidad,0UORDNH9ZneYlamDQB7guH,José Feliciano,7K78lVZ8XzkjfRSI7570FF,Christmas Hits,6Mtye5lhYh1JtHenUkIsH6,6,not available
34,Little Saint Nick - 1991 Remix,5xlS0QkVrSH7ssEbBgBzbM,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,The Beach Boys' Christmas Album,67nqYhvjDyJXGD64937Lw3,53,not available
35,Merry Christmas Everyone - Extended,7rlsuDOGiU41i6nQngyWUN,Shakin' Stevens,0wi4yTYlGtEnbGo4ltZTib,Merry Christmas Everyone,6zsWMN6UjDf7i1simwfV6W,9,https://p.scdn.co/mp3-preview/b5f8ea5c307eba1abe0e541cf5444b7131ecd3ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Santa Baby,0cM5URUqqQTpJWonmdzF1J,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,A Kylie Christmas,0D0L0pzNy8gu9d1jXbridR,53,https://p.scdn.co/mp3-preview/e0a24a8e01686092efd1f98686178ff445d1d3cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,White Christmas (with Shania Twain),6EM7JApNrP4fftMlDsOAZG,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,Christmas (Deluxe Special Edition),7uVimUILdzSZG4KKKWToq0,54,https://p.scdn.co/mp3-preview/ec0c716e7c24d4da42f8487d4ff43b9c2d8dea91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Fairytale of New York (feat. Kirsty MacColl),3wV9G5BhrJ1ntlCQYko0if,The Pogues,2wzMOQwNT6ZvVB4amvhFAH,Fairytale Of New York,2MJV1Nr37QoEDeAo9cz6mr,50,https://p.scdn.co/mp3-preview/92dd72b44584eab763227ea7ed787bb93ef53bcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,The Boys Are Back In Town,4QEbXYWpDDWHzXNINdZlzW,Thin Lizzy,6biWAmrHyiMkX49LkycGqQ,Wild One - The Very Best Of Thin Lizzy (Remastered Version),01iw3ZO4AQKvvIjXq5wPEL,11,not available
40,Christmas Wish (aka My Christmas Wish for You) - Single Version,0ySyvE8Q9Dli5Num8yx3JR,Percy Sledge,3rRmDmzPcAFwcUDvG5gBqO,Christmas: The Collection (50 of the Greatest Original Xmas Hits),10ksWApLrJ7aDd2OXFIlid,0,not available
41,Blue Christmas,2trWYvBwj0DV2JF3e2Y0d1,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Christmas Hits,6Mtye5lhYh1JtHenUkIsH6,1,not available
