The Sound of 1989 (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Lord Can You Hear Me?,0595q6w92F4FfsleBxpluN,Spacemen 3,1ZOlVrZ2MtNSY9LcFYklDB,Late Night Tales: MGMT,0B5pcafMxo5Omahl9XvMCc,0,not available
27,Blue Moon Revisited (Song For Elvis),34vHFbkmUvwvPyzUvFbbex,Cowboy Junkies,3CYSRCHfilgR8DSbkCMp5j,Best Of Cowboy Junkies,6RwWWgyax82t3ErtxzNX5i,31,https://p.scdn.co/mp3-preview/961d6236557e3b377563940a4af44eff55cfdbd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,I'm Losing More Than I'll Ever Have,3jEJQGprFXpeICSRtPKGDc,Primal Scream,3wury2nd8idV4GecUg5xze,Primal Scream,1DBeC4IonGp4QNHVNk4omH,41,https://p.scdn.co/mp3-preview/c524802e22a78c7f4734adf2298a840117feb540?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Dirty Blvd.,4TDLfAmx45EpSiQYG6hCzT,Lou Reed,42TFhl7WlMRXiNqzSrnzPL,New York,7xGqf9DddW89cg7m6zX88t,51,https://p.scdn.co/mp3-preview/fc9a6337fa6911f124eb598299815ec4c3ca2c5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Everything Is Broken,65Ywa7EspM0tSZreKwOmnL,Bob Dylan,74ASZWbe4lXaubB36ztrGX,Oh Mercy,18ue4s9PsV3WBw7kkzD689,36,https://p.scdn.co/mp3-preview/9f5734b87d39752714a34bd87fe943ee69c794ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Mixed Emotions - Remastered,1Q2ssIBl53Jg2feUEXYfqF,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Steel Wheels (Remastered 2009),25mfHGJNQkluvIqedXHSx3,2,not available
32,Under the God - 1999 Remaster,6XwKC5y3OvbbFVOUS96VFW,Tin Machine,3Hdx4fgVxsfEJLFaYCB6ql,Tin Machine,0juQn8RD24F8sPnSWMZdls,28,https://p.scdn.co/mp3-preview/12b7e57f564a1647c8f0ce9bbf5b46d7d64a3c80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,I'll Be You - 2008 Remaster,4J5VFtuLhbgKhz6UKkABXR,The Replacements,4WPY0N74T3KUja57xMQTZ3,Don't Tell A Soul [Expanded Edition],31XXN8TRj92V1HB7Wq6LcL,41,https://p.scdn.co/mp3-preview/5fa7d60ac5cdb329094343d0f96a8db6b6fc756a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Too Much Kissing,3wegqLOFwNcZs3b5tIWhcR,Senseless Things,4bZPVDKzqdn3KLykXrj00P,The Singles,5FmRMNs7fKBEDDcfi9WVIO,15,https://p.scdn.co/mp3-preview/7f21248937cc1ce390d0386ebbeca3e773ddfd1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,"Don't Let Me Down, Gently",2RGd4Zb43Bong0SS0iNdwq,The Wonder Stuff,0Uo1d5A6BR1I155GlD9WYo,Hup (Remastered with additional tracks),4XzcwufKR6r3iDewT6eMz0,0,not available
36,Joe,447vW7DH1FLT6ZBslLpqNj,Inspiral Carpets,66GWpx9iLxrvvfhDsG9STP,The Singles,5XSGmEzWctIehV2TXd7Qd2,0,not available
37,Brassneck,0HSuzEiiKyYUte1hB2ziE0,The Wedding Present,4tyCvqG48h4LdcbFfWBjR9,Bizarro,3tp8pJWiuLPiwxZ1URt1OP,38,https://p.scdn.co/mp3-preview/9925e7fd9560e93b64e57c8fbccbfc6561af06f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Blues from a Gun,74fLpgpdOHDz14DUQGfzwR,The Jesus and Mary Chain,4rjlerN21ygkIhmUv55irs,Automatic (Expanded Version),3W4GA8mOLJpARbJCxWWqFm,35,https://p.scdn.co/mp3-preview/83d9efda462b59e2606d576685e2060c3ffac07b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,See A Little Light,7LdKMBKthcdBnAqlAIGqCB,Bob Mould,0fWvSXbvztkeHEnEuYvU2A,Workbook,3VhSB8ozURez6qOSptLb15,39,not available
40,The 3rd Time We Opened the Capsule,2kH2tFeqirIGaqDSE4TODr,Kitchens Of Distinction,2duIh1sS0qsKqvoPm0X2g4,Love Is Hell,5RRCNb2cWgPogRnKMBzcfU,0,not available
41,Just Like Heaven,0RqPaIaU3ET7UKKujThMTT,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,You're Living All Over Me (Remastered),10poazlaV5sml1l4ZgElsD,41,https://p.scdn.co/mp3-preview/2268f7df3b7048ce07b580c74d7eb53712a99ca7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
