The Listening Service,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,744,bbc_playlister
1,Goodbye Pork Pie Hat,3PJMsxg6rz9FOo6xNiASXz,Charles Mingus,1W8TbFzNS15VwsempfY12H,Ah Um,7pojWP7x9uEFSJgw765khA,61,https://p.scdn.co/mp3-preview/14a67d58b7674d1ee346abe3a40df155946e93ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Old Man's Back Again (Dedicated To The Neo-Stalinist Regime),6xiTvmeHvps9sahiuoW6Wj,Scott Walker,04tBaW21jyUfeP5iqiKBVq,Scott 4,4z5O2IeF5CUgy4i6HUElIg,5,not available
3,Main Title,6shaAIHehShLLbqnX7JFZg,John Williams,3dRfiJ2650SZu6GbydcHNb,Star Wars: A New Hope (Original Motion Picture Soundtrack),1HD2YLgCkCFOSeQRKWXifG,3,not available
4,Harmonium: Negative Love,1J9QCFvIQZjfekOUx4ZCZB,John Adams,35OhI7DSls022v9Bz9r0VZ,Harmonium/Choruses from The Death Of Klinghoffer,1DWsAMWb0rAEjVbF5PYsaY,8,https://p.scdn.co/mp3-preview/a2438c708f59a997d04abb0a708cdb88f3a89342?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,"Symphony No. 38 in D Major, K.504 'Prague': I. Adagio - Allegro",2WVv0901dheoIjA0h2j1Nj,Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,Mozart: Symphony Nos. 38 (Prague) & 39,2Y2vuXUl6cU0mBm1yeHEXL,15,https://p.scdn.co/mp3-preview/d87510e2db46d1f1d38b42f1e95d0c4f3815721b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,"Symphony No.2 in E flat, Op.63: 1. Allegro vivace e nobilmente",49SapbeIVPDjvN3L0dWqpX,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Symphony No.2,0fiTSQdwcMu8xbvdiTkvDW,4,not available
7,Symphony No. 10: I. Moderato,39OtMdVpvaEL3s4liiniUt,Dmitri Shostakovich,6s1pCNXcbdtQJlsnM1hRIA,Shostakovich: Symphony Nos 3 & 10,44PCNoVsEzeqLaOzgDKFCG,0,not available
8,"Symphonie fantastique, Op. 14: IV. Marche au supplice",1Org5XClvfulvp1mrLUQuT,Hector Berlioz,11T8SOX82xraocZzUXzkvM,Berlioz: Symphonie fantastique,09BlVtD1QJ93w1tjpOAlbW,0,not available
9,"Symphony No.3 In E Flat, Op.55 -""Eroica"": 1. Allegro con brio",7gyOX4XNKUftdBX6RoS4tG,Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,"Beethoven: Symphony No.3 ""Eroica""",1TpaZEBwqwIvs7mvAED7EL,0,not available
