Starred,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,Whispers,2ih2LXKPgOoSU0vSCqBLMb,Devonwho,2GqaakAnuhfpY4drbXrEmL,Brownswood Electric,69G2el9Wc83zSeNBGbUD38,0,not available
25,Oil Fields - Devonwho Remix,3RZ0rvSNalGSneoJDzN486,Mono/Poly,0rKc6ImQCM6pmYrQj5zcra,Producer#2,171RUQlWCPquSeVpabD4Fx,2,https://p.scdn.co/mp3-preview/fd15791130d0025d08e77389882dc9d6f7609b2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Computa Love,0q8itcARkgZmnuVcQ1sjAr,B. Bravo,7xc31aDpVtMW34JWjZvAG4,Brownswood Electric,69G2el9Wc83zSeNBGbUD38,0,not available
27,Can`t Sleep,0oUh8rxvHJE4Lvwjfigf17,Kryptic Minds Ft. Alys Be,3UJnwrvq5PTpJDx0doGVbP,Can`t Sleep,6GPSJYnI9W98HWNNEPCt26,0,not available
28,Pitfall - Phaeleh Remix,6NxWDEgzYMdsaW6ORbcexD,DJ Madd,2E3cV6nAEE1Q18ghyeD1zj,Lament (DJ Madd Remix) / Pitfall (Phaeleh Remix),4R9momuQ5YeviWg9yxjo2I,0,not available
29,Difference - J:Kenzo Remix,7912WAtHg7IS6naU5e8deJ,TMSV & DJ Madd,2mU8qUDfMhZX0eXRHLlHQG,Difference / Difference (J:Kenzo Remix),3iYLw9LkxwuHZrakXccxYG,0,not available
30,No Hay Nadie Como Tú,0Y5aFVwBrhIxljBtRXgCBN,Calle 13,0yNSzH5nZmHzeE2xn6Xshb,Los De Atrás Vienen Conmigo,1VNM2gtd2MHgzO8ED22lhT,54,https://p.scdn.co/mp3-preview/32e3436e3be9fba32c33d21c4e8aead838e287de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Wash. - Dan Huiting & Adam Rucinski Remix,6jdGu2HVKvHwIAPOpNumc0,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,Wash. [Dan Huiting & Adam Rucinski Remix],4w096JF8DuhHNAFr1tuR12,0,not available
32,Sidewalk Blues - 1992 Remastered - Take 3,4fd8zYqTU08cqoddxEqblj,Jelly Roll Morton & His Red Hot Peppers,5GHLXPkq5y7bu1BlLQ5hvO,"Birth Of The Hot - The Classic Chicago ""Red Hot Peppers"" Sessions 1926-27",4wV9J5Xj88BIjuPE6nMlki,0,not available
33,Burgundy Street Blues,1HefmO9bKjcyosIMCqumbj,Dr. Michael White,0kLwjA9HRcm5JpGjllF4f8,A Song For George Lewis,5x44LeK9Ye4K4ITP7Tr6iE,1,https://p.scdn.co/mp3-preview/333fc05851c8c57d45e9124cecbe392ecd66c7c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Red Nose,65rZ4oDVon6GMzTkSBzUnK,Sage The Gemini,6d47Z08T4snK50HgTEHo5Z,Gas Pedal,42geqX2TUPWb48jtAFDjhN,48,not available
35,Love Bug Blues (feat. Menahan Street Band),0IXEe6FXmpQsi7fxBL6SDY,Charles Bradley,462T0buQ5ScBUQCRpodDRf,Victim of Love,4eDPyEFzn5KScDI8f50POB,37,https://p.scdn.co/mp3-preview/10ebe15f4b6ffbc1d194f7d7594dfcd0092805f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Full Moon - Featuring Carlos Santana,34bwKDCVZtDW9PEtJSqSC3,Paolo Rustichelli,7wYQ8tcOhI6j5UxejVnOuD,Mystic Jazz,18coygYEbSDFD5c0xKH7ql,0,not available
37,Seasons (Waiting On You),41X9To0bQ4fpoSRri4NHiI,Future Islands,1WvvwcQx0tj6NdDhZZ2zZz,Singles,1dKh4z5Aayt8FFDWjO5FDh,64,https://p.scdn.co/mp3-preview/cce3a73b0a845e15ea97a7e23b12660fe62fd5a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
