"Cheers, Mom!",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,49,spotifyusa
1,Raise Your Glass,12lZTPlXwUtrQuhEty6098,P!nk,1KCSPY1glIKqW2TotWuXOR,Raise Your Glass,6Ozsat2gzIj9uXd6JMwYXz,35,not available
2,Champagne & Wine,6Ixz2RZCpuw78zVlAalffA,Etta James,0iOVhN3tnSvgDbcg25JoJb,Blues,0B2iKIbd5MI7ncoSdluIl5,26,not available
3,Wine After Whiskey,4WJX7VoM02pVK1fl3E4Z1u,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,Blown Away,7atJn49QvtOLiFxhQd2hp9,44,https://p.scdn.co/mp3-preview/6e7bd198af27829609e531d4af2ae93251713a99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Do What You Have to Do,39IGBhszdamLErnDoOlovS,Sarah McLachlan,4NgNsOXSwIzXlUIJcpnNUp,Surfacing,5qC5YqtLMlsm5Pyl6GtfpP,42,https://p.scdn.co/mp3-preview/a5badb0be45bfb4ad8068eba7e83e3fa7ffab1d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Red Wine,7z6S8E0LFGeG6mZIIujNFe,Kelly Rowland,3AuMNF8rQAKOzjYppFNAoB,Talk A Good Game (Deluxe Edition),059i5tLNW2ASf1qoVn6LSX,30,not available
6,Girls Just Want to Have Fun,4y1LsJpmMti1PfRQV9AWWe,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,She's So Unusual,1FvdZ1oizXwF9bxogujoF0,77,https://p.scdn.co/mp3-preview/7a91e696b3f362ff96b3c9dfc3c6d4a34127459b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Can't Stop Now,3XCAza3da4at0vyh4x02qx,Reba McEntire,02rd0anEWfMtF7iMku9uor,Whoever's In New England,2wy4nL2f1eoBni0YFTcetr,10,not available
8,She Works Hard For The Money,3FlOciKDqFlTMPeC7t92Qy,Donna Summer,2eogQKWWoohI3BSnoG7E2U,She Works Hard For The Money,0x3qYJCMrhJPgi7hTqxEl2,59,not available
9,You’re Good,1hIOK3NxVIT7GvdhCTOBDz,Michelle Branch,5rScKX1Sh1U67meeUyTGwk,Hopeless Romantic,0KQoc67ApuKSx5qBPtrXJt,28,not available
10,Drunk in Love,6jG2YzhxptolDzLHTGLt7S,Beyoncé,6vWDO969PvNqNYHIOW5v0m,BEYONCÉ [Platinum Edition],2UJwKSBUz6rtW4QLK74kQu,73,https://p.scdn.co/mp3-preview/7052c45ae9298c38fdbd1b45bec7fc5f554fafa0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,It's Not Right But It's Okay,7861kBrZ5aw7o4NfggcyYW,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,My Love Is Your Love,00NABajpGsPCObfcl4LJsM,66,https://p.scdn.co/mp3-preview/71354192824c7a25fa9e0903f40d0cee359e1c68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,That Would Be Enough,2MNUjJQ9rhoCqFtWYLT3ke,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,The Hamilton Mixtape,5AgsHUKFxr5DApRCmulIqJ,48,https://p.scdn.co/mp3-preview/20d5af8caeae3237b3d5200b5ebe327f7c254d75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,"Please, No More",7e78TgR4fFDMzc6rWbTBZp,Etta James,0iOVhN3tnSvgDbcg25JoJb,Let's Roll,58JJWoAHtiThhhF3F2ZM0Z,14,https://p.scdn.co/mp3-preview/4c66fd1d1bbb4495b4f5a2a295de68aac6717039?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,White Flag,4kbz7rHVbyjKasuuqelccQ,Dido,2mpeljBig2IXLXRAFO9AAs,Life For Rent,0X9QCwbxIRm4MWKWnIHNaA,62,https://p.scdn.co/mp3-preview/01baa04f0d65b7e37e255c4b9df567372016bb4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Fallin',0KQx6HOpJueiSkztcS0r7D,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,Songs In A Minor,5qUlPoDmNxCSzqVx81RDLJ,24,not available
16,Twinkle Twinkle Little Star,0ivAyYivB1WVeEIfJVL5Yv,Lisa Loeb,1TMMyiSsNzmRiZCAkVLVb2,Catch the Moon,3aXQM5E2TSSl9xh56ttwcp,37,https://p.scdn.co/mp3-preview/610455af0278d990cca9eae83ffb5223c3f2ab85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
