2016 25 Under 25,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,419,spotifyusa
1,Treat You Better,1rtDwblY1CJ9i490fMzJnc,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Illuminate (Deluxe),2AJaA0is5qbaqFy77tPl7B,15,not available
2,Side To Side,1pKeFVVUOPjFsOABub0OaV,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Dangerous Woman,3OZgEywV4krCZ814pTJWr7,81,not available
3,No Problem (feat. Lil Wayne & 2 Chainz),0v9Wz8o0BT8DU38R4ddjeH,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,Coloring Book,71QyofYesSsRMwFOTafnhB,74,https://p.scdn.co/mp3-preview/01adf736fae9dcac5dc1320daf12d8f58a273f4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Hold On & Believe (feat. The Federal Empire),0raCeGWafugoSGJAA33FAa,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Hold On & Believe (feat. The Federal Empire),2m9G0YAO1r7reTieBuRVmJ,51,https://p.scdn.co/mp3-preview/16ce868a71d336a2b7ea5d5b6ab07b6919ce26c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Sorry,09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,81,not available
6,Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,Know-It-All (Deluxe),3rDbA12I5duZnlwakqDdZa,74,not available
7,We Don't Talk Anymore,37FXw5QGFN7uwwsLy8uAc0,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,72,https://p.scdn.co/mp3-preview/9c497e095198c3f26f98c244de8219935a908b81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,All In My Head (Flex) (feat. Fetty Wap),7nD9nN3jord9wWcfW3Gkcm,Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,7/27 (Deluxe),0pF0oyuPNdOObniB1Ng0kW,68,https://p.scdn.co/mp3-preview/c3c593d81c48111296aa5c777d8191305914845e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Starving,4Ce37cRWvM1vIGGynKcs22,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,Starving,18pR217SWwBjODSRWFBw0I,80,not available
