Valentine's Day  - Sex Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1955,spotifyusa
1,Don't,3pXF1nA74528Edde4of9CC,Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,T R A P S O U L,6eZdwrhB97A3EYx9QppGfl,80,https://p.scdn.co/mp3-preview/1e41c4b05fa5ccbdc8fcb296cead7d7175a23ae5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Marvins Room,2z3htsNRuhDN923ITatc56,Drake,3TVXtAsR1Inumwj472S9r4,Take Care (Deluxe),63WdJvk8G9hxJn8u5rswNh,54,not available
3,The Morning,6u0dQik0aif7FQlrhycG1L,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Trilogy,5EbpxRwbbpCJUepbqVTZ1U,69,not available
4,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",7t2bFihaDvhIrd2gn2CWJO,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) [Remix Version]",3SHx7bBQFI4J8QRr6D5cOK,78,https://p.scdn.co/mp3-preview/70f126c139847335bc03c756c55b80c99892268e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Lotus Flower Bomb (feat. Miguel),3MAgQuClHcAV8E9CbeBS6f,Wale,67nwj3Y5sZQLl72VNUHEYE,Ambition,0jCVC8ndYYOooEY2YTO1l6,67,https://p.scdn.co/mp3-preview/575838aedb77beb7c9cfaf7620b1eff486117771?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,L$D,4S7YHmlWwfwArgd8LfSPud,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,AT.LONG.LAST.A$AP,3arNdjotCvtiiLFfjKngMc,75,https://p.scdn.co/mp3-preview/acc8c9d799cd91fcb1045ad7ba44663a4f574c80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Crew Love,0TiC3GtlMCskf2hIUIBcDV,Drake,3TVXtAsR1Inumwj472S9r4,Take Care (Deluxe),63WdJvk8G9hxJn8u5rswNh,50,not available
8,Sorry,6adehXz8vMUmXWJhEIdE6e,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,Black Market (Deluxe),5OQ46UiKltoHtHrGFXB1HI,54,not available
9,Swimming Pools (Drank),6REbwUNlppTfcnV4d4ZoZi,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Swimming Pools (Drank),2XPrwlaAHHXnJzP9tBcIzH,71,not available
10,Love Yourz,4gkl7QbQvBd3TM9PhlWFkI,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,2014 Forest Hills Drive,7viNUmZZ8ztn2UB4XB3jIL,70,https://p.scdn.co/mp3-preview/0a9da1e990e7ab3231aefcdf56666d18800665e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Drama (feat. Drake),0PXp9QxBfSKGGpWUNaws2X,Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Exis,2vnPwMLtMXZWGkKsoylsGt,71,https://p.scdn.co/mp3-preview/4df2165563a663c285e8cdcb5069913d3fe838a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Sober,6olUplztLFFfU7fMYmFXOP,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,Kauai,5GBcqixIFDPEom7AUNbFiM,12,not available
13,oui,0PJIbOdMs3bd5AT8liULMQ,Jeremih,3KV3p5EY4AvKxOlhGHORLg,Late Nights: The Album,7DMyQuDPe8xzjC0UDSDa96,75,not available
14,Moment 4 Life,39XNWKuuBZK0oaV5YmD2dF,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Pink Friday,2RfF6dGpYIN5u1mNkfG8Pb,2,not available
15,Drunk in Love,6jG2YzhxptolDzLHTGLt7S,Beyoncé,6vWDO969PvNqNYHIOW5v0m,BEYONCÉ [Platinum Edition],2UJwKSBUz6rtW4QLK74kQu,73,https://p.scdn.co/mp3-preview/7052c45ae9298c38fdbd1b45bec7fc5f554fafa0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA,Mac Miller,4LLpKhyESsyAXpc4laK94U,GO:OD AM,2Tyx5dLhHYkx6zeAdVaTzN,77,https://p.scdn.co/mp3-preview/ba630b579a7db8ffa5a57ce756841bf66b244209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Play No Games,3rsOs39rDAYxIOrDTHAgR9,Big Sean,0c173mlxpT3dSFRgMO8XPh,Dark Sky Paradise,1j2x7FJXTgUT0X5hZ8TDXE,59,not available
18,Cigarette Song - Live from Spotify NYC,6Ne7AsoaBZJg4UuA5u10nK,Raury,2PU4qFehXQF7WnlFsJpBiJ,Spotify Sessions,1OiBHU4cEvAVBQaEz2RCP1,17,https://p.scdn.co/mp3-preview/dd64a10d2a7598e18e32508876e8a63ab4bee3e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,OutKast,1G9G7WwrXka3Z1r7aIDjI7,Stankonia,2tm3Ht61kqqRZtIYsBjxEj,78,https://p.scdn.co/mp3-preview/36ade9974fa85079e996dd9aca93af62c4e88711?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,White Iverson,2N0NifjyXAdMOB4KBGvBJ6,Post Malone,246dkjvS1zLTtiykXe5h60,White Iverson,7ENlsUA8w1nfUSFtpACj1A,5,not available
