50 Years of Songs of the Summer,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Vision of Love,0gLQ6jhJsyYfl7PrD1RZ7X,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,5SwNGsGw1I8H361DKiYnnn,59,https://p.scdn.co/mp3-preview/56b04e8d581ac11089e4759784c8e5f358374ea9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,(Everything I Do) I Do It For You,6eBK3edMW7bEzecF1eCezc,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,Waking Up The Neighbours,061uAXmheZOILmf2rr3tTn,66,not available
25,Baby Got Back,4vvOv6MDFFPpEb1gwwb2ZD,Sir Mix-A-Lot,3TQ9JTBI2n2hfo7aRONEYV,Mack Daddy,0kY8aFxApiXIksV7quPoVF,5,not available
26,(I Can't Help) Falling In Love With You,7ojJ4XvqBhBcteM0zjMebT,UB40,69MEO1AADKg1IZrq2XLzo5,Promises And Lies,0B0RuH2PSWoEkIvi75xY5d,68,not available
27,I Swear,3V0PeMg2mhbYRtk9bioAwF,All-4-One,1B8ySGDAiXTCvnJNH4HSCG,Rhino Hi-Five: All-4-One,0OrEq5JeWVzislPoSg0fzZ,65,https://p.scdn.co/mp3-preview/4bbcac2464fbcb629b62186a9884e9caa402735f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Waterfalls,6qspW4YKycviDFjHBOaqUY,TLC,0TImkz4nPqjegtVSMZnMRq,Crazysexycool,5eg56dCpFn32neJak2vk0f,73,https://p.scdn.co/mp3-preview/0d6910587f1e6081f7016d8bc2ec7ab94cf5f0fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Macarena - Bayside Boys Remix,7obdw7ZGr6l1GqSBkFiY11,Los Del Rio,2JXn03fudjyRkQ1Ye9f5rk,Fiesta Macarena,6yPJmxBhq3zxj9gfTddfyU,54,https://p.scdn.co/mp3-preview/78a22e25f0896c6e72589c6bf4c1e88f319c8ba6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,I'll Be Missing You (feat. 112),3QHONiXGMGU3z68mQInncF,Diddy,59wfkuBoNyhDMQGCljbUbA,Bad Boy's 10th Anniversary- The Hits,46JQVqJpOg8opDLUl1qHT1,72,https://p.scdn.co/mp3-preview/3b37724224c064ea4af094c37b7a63aa3c6c86b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,The Boy Is Mine,6sHsXIJoEN5JpdkGMQDJxt,Brandy,05oH07COxkXKIMt6mIPRee,Never Say Never,1Co6e9ag1gRKcWdG7xKcCi,68,https://p.scdn.co/mp3-preview/2088d99205c4e8386d3de07cb6ce257caa430766?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Genie in a Bottle,6onLnWywmbSnXDFPVY1mM6,Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,0VtMlmn7rAcWwxS3QOJo2h,13,not available
33,Bent,6fA7akEuTUL3dW1V0GELaZ,Matchbox Twenty,3Ngh2zDBRPEriyxQDAMKd1,Mad Season,2HqQR5SkxWX7uUWaxlLksn,54,https://p.scdn.co/mp3-preview/025642b3351b17b634d2ded266c4fc66f85a919e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,U Remind Me,2QsZVnbWVSjKMXK6K3uRBL,Usher,23zg3TcAtWQy7J6upgbUnj,8701,6k16WXh4rKyusIoN00rmpi,74,https://p.scdn.co/mp3-preview/b94b8fba4179746fbb1f23dd124d1aa076f50131?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Hot In Herre,04KTF78FFg8sOHC1BADqbY,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Nellyville,4HUUHHXBXImwksfbSPqE7q,73,not available
36,Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Dangerously In Love,6oxVabMIqCMJRYN1GqR3Vf,76,https://p.scdn.co/mp3-preview/ce8ace0ec425840416be78db07cf50dd331eed4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Confessions Part II - Confessions Special Edition Version,7wBThXx7BGZHJJ3aN3OPvv,Usher,23zg3TcAtWQy7J6upgbUnj,Confessions (Expanded Edition),1RM6MGv6bcl6NrAG8PGoZk,68,https://p.scdn.co/mp3-preview/16b5e6467b3df41f26638e4ae42beb1bbbc64e57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,We Belong Together,3LmvfNUQtglbTrydsdIqFU,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,The Emancipation of Mimi,43iBTEWECK7hSnE0p6GgNo,71,not available
39,Promiscuous,3SwlakM6VX47IwG0Wll5ek,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,The Best of Nelly Furtado (Deluxe),0KuwW8qW9a0oKhuxydvMvk,62,not available
40,Umbrella,49FYlytm3dAAraYgpoJZux,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad: Reloaded,3JSWZWeTHF4HDGt5Eozdy7,81,not available
41,I Kissed A Girl,005lwxGU1tms6HGELIcUv9,Katy Perry,6jJ0s89eD6GaHleKKya26X,One Of The Boys,0r2BUyPTmpbfuz4rR39mLl,68,not available
42,I Gotta Feeling,4vp2J1l5RD4gMZwGFLfRAu,The Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,THE E.N.D. (THE ENERGY NEVER DIES),36fdxiOzdlmsrHgGcfvqUJ,70,not available
43,California Gurls,6tS3XVuOyu10897O3ae7bi,Katy Perry,6jJ0s89eD6GaHleKKya26X,Katy Perry - Teenage Dream: The Complete Confection,5BvgP623rtvlc0HDcpzquz,71,not available
44,Party Rock Anthem,0IkKz2J93C94Ei4BvDop7P,LMFAO,3sgFRtyBnxXD5ESfmbK4dl,Sorry For Party Rocking,1MbBSfcqLg2OjkeZ1RMSIq,66,not available
45,Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Kiss (Deluxe),29blfJv8AddJrjuG3DpE13,68,not available
46,Blurred Lines,0n4bITAu0Y0nigrz3MFJMb,Robin Thicke,0ZrpamOxcZybMHGg1AYtHP,Blurred Lines (Deluxe),1eHyfkrIOVLGVnt5E4MD2j,75,not available
47,Summer,6YUTL4dYpB9xZO5qExPf05,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Motion,48zisMeiXniWLzOQghbPqS,80,https://p.scdn.co/mp3-preview/7747e4abf05e790168b4aeb87de9c008095677a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Can't Feel My Face,22VdIZQfgXJea34mQxlt81,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Beauty Behind The Madness,0P3oVJBFOv3TDXlYRhGL7s,79,not available
49,One Dance,12VWzyPDBCc8fqeWCAfNwR,Drake,3TVXtAsR1Inumwj472S9r4,Views,0G1ffjfFuTUTVjDrVdLimH,68,not available
50,Despacito - Remix,6rPO02ozF3bM7NnOV4h6s2,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Despacito Feat. Justin Bieber (Remix),3Gq2Dme9nesdgoqNNlcN8O,77,not available
