Seattle - Belltown,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,12,spotifyusa
1,"Piano Sonata No. 4 in E-flat major, KV.282",144kkBZbHEnS9uoBJ1M9fw,Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,Piano Classics Volume. 3,6J7kAH5WkaA675eMplK645,0,not available
2,"Piano Sonata No. 1 in C major, KV.279",3NqTewSysKSEjnQMubTHfo,Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,Mozart Piano Sonatas,3khztYItcXO1VurMIyHXaY,0,not available
3,"Piano Sonata No. 6 in D major, KV.284",3xloTfXW9G2Tmdkqcgab6o,Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,Mozart Piano Sonatas,3khztYItcXO1VurMIyHXaY,0,not available
4,"Piano Sonata No. 11 in A major, KV.331",6UtdgRLfubTVv5S0E1m1iV,Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,Mozart Piano Sonatas,3khztYItcXO1VurMIyHXaY,0,not available
5,"Waltz No. 1 In E-Flat, Op. 18 - ""Grande valse brillante""",2UT8BXuFXApfRd3ir1HrPH,Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,Chopin: Waltzes,0TN8xiZVdavNba1o2inEuu,20,not available
6,"Piano Sonata No. 14 in C Minor, K. 457: I. Allegro",72TUgy39IiQqICfpB5dEZX,Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,"Mozart: Piano Sonatas Nos. 10, 14, 18 & Fantasia in C Minor, K. 475",09a5cZQJsOyYTmnOZgdmMd,6,https://p.scdn.co/mp3-preview/6d780e9e80e7f672ea808ed189b06d3133188ae3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,"Piano Sonata No. 18 in D major, KV.576",0IruzI7un8ZQrx8a4LWgDL,Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,Piano Classics Volume. 3,6J7kAH5WkaA675eMplK645,0,not available
8,"Piano Sonata No. 5 in G Major, K. 283: I. Allegro",4IgbTmv3HX25PJoSRBURjR,Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,The Mozart Album,0frnbBKctMDOscUIz5dAt4,37,https://p.scdn.co/mp3-preview/539bc78b964c98c1ca68681e6258c4aedf173d1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,"Piano Sonata No. 13 in B-Flat Major, K. 333: I. Allegro",0dTz3QlWNRMWLnFhusUImm,Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,Mozart: Complete Piano Sonatas (The),1oOpxTQAQ7YB8oqOwnnzq5,27,https://p.scdn.co/mp3-preview/d712a5ad9437ad93b23ad7f0a1c338590197058b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,"Piano Sonata No. 13 in B-Flat Major, K. 333: I. Allegro",0dTz3QlWNRMWLnFhusUImm,Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,Mozart: Complete Piano Sonatas (The),1oOpxTQAQ7YB8oqOwnnzq5,27,https://p.scdn.co/mp3-preview/d712a5ad9437ad93b23ad7f0a1c338590197058b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
