Best of the Pacific Northwest,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1131,subpoprecords
1,If Not You,5rHbFbjlXKv4AbqgMjf9Pd,Ings,3wJ2NeHF58Im2tojNX8ESR,If Not You,0A52QCxc2KIuUn84TX4Fuw,24,https://p.scdn.co/mp3-preview/6625c8785b290ff0ed5baec5ae0e70af6b6da5da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Moon's Lament,0G0puliSoUg0K6bDvhtc0U,Larsen Gardens,4ODFQwg2euQw4O7cAqEqnl,Birthday,4qmMl5MLtTT8BrKuaZpUF9,1,https://p.scdn.co/mp3-preview/5e3c4e4bcd6c86a85411c200363a656c76545539?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Fade out the World,7k5OR6bzXvDknp2PFWE1VX,Béret,3VO6xf4YrCEY9sqFAB70Ma,Fade out the World,5MFlPtD4TVX38XQwJinkiT,4,https://p.scdn.co/mp3-preview/320b961143291780288f9bfc1e21484fa1e5ecc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,The Great Ascension,2XKplvUuV5CFskrj2bqebu,Lomon,16hfiXb7szB3Julgo1f2nK,The Great Ascension,7kOId3mNhOC8rHVzDm20UY,2,https://p.scdn.co/mp3-preview/7af5219d8d4fbe4f86c7ee1fdf06f967fec0beb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Message,3m7ZeG647GbpjRJGZjNF2O,Cool Flowers,635hkZpM3Pckmh23AVvAjf,Cool Flowers,7LoXvAg6138EY3Bd2CzATd,3,https://p.scdn.co/mp3-preview/214d25ee56ab8492062dcd7764c19d0e5877512f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,A Message from the Past,4N4IV42gV8bLL9adfODF6v,New Age Healers,6HeyvgdEcmJW0dzoPJvtnC,A Message from the Past,7Gc7vmWutvG82bg4aOp5B5,3,https://p.scdn.co/mp3-preview/3f7ca1522fe3bb58bdca8b8aab5b31b9d4c4c7b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,At the Party,5h76FQyJXDsKsoPka02UME,Black Belt Eagle Scout,1CUUXdvZE6UzwQyBUm5YVD,At the Party,0Ir1UwNOTSfqafIjkb5Z5I,8,not available
8,Revolution Lover,3qBg6BeHJlGgwl5aCa09EC,Left at London,3xPCFC8f7U3raEXOXQ3MrE,"Transgender Street Legend, Vol. 1",3d6LObGaY1hWjNP4LsrYqk,45,https://p.scdn.co/mp3-preview/223fef67dd9cb67ab1869dbcaf1af88f12eeab8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,When You Look at Me,6JqhL3exrcDztZKhO5lNQ7,Lizzie Weber,4ccrRYqGDvMVvKhI4TKim7,When You Look at Me,63j5fT04fRmcgkJfjJtzna,4,https://p.scdn.co/mp3-preview/705f1f310bdadfeadfd14a3af39fed113b7a2829?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Spider Jar,3nxy8MrPRqTFnea2GX3qcE,Helms Alee,11O8jS9NNmewQkpiGXu0eb,Noctiluca,0hqgU6C8MRpj88oJzazVyI,21,https://p.scdn.co/mp3-preview/0b621538a1020ddcfbe2aa073ca95516eb90ee17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Untamed,1TDKNDMFsFCWJneWAmjLRm,Eddie Berman,7FfxvcUIbQ1VxrApeoq8ql,Before the Bridge,3ZETz7pyrQ5MrbC8lM1Yek,59,https://p.scdn.co/mp3-preview/5bab0852c69e512b1e535b24d0f054aa798639fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Complicated,6kDcCH2akHMVuMbCx82FQ9,Heavens To Betsy,0nMGtVCtOB828z1CYKDzGZ,Calculated,2fCi2KZKE4KzOiRGWdDcl1,14,not available
13,I'd Rather Eat Glass,7G5Yy0gkgdRksPEgQh27KQ,Excuse 17,0yiYHDCQjggaHJfpD9MZOR,Such Friends Are Dangerous,2Q2iwtCjXXCvYkCLY5OxdJ,1,not available
14,Frumpies Forever,1IfOoG3NYPtcXOlPqS6bQH,Frumpies,2L60Gs87FBwy77eOckXuIw,Turbo's Tunes,5kAFSGtjMr0GI2665oTUel,0,not available
15,Take on Me - Live,5r3uGaPKS0YVlEAQ8oVxPQ,Team Dresch,1i0UobirqiiWT0AbrkZKrs,Voices from the Siren Nation Vol. 2 - Live at the Wonder Ballroom,09grEKI88x9MNAF69xUs6N,5,https://p.scdn.co/mp3-preview/c2cfa124f69b85843fc9762eaaa8055390884522?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,First Screening,25EpDESgq5RbzKDiaLAn1T,Mocket,3SPRKuovzRrpWnvlr1KQrU,Fanfare,2X07Vhl0SHb5HtGAaigAYq,3,https://p.scdn.co/mp3-preview/15706baf39533f6f88692cda6dd075fae9cba309?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,She's Real - Version,0n5cCTQArVF91DafQweNrr,Kicking Giant,5ohiwnBBOk9opqVr85Yb0U,Alien I.D.,5ciAfHYVPOAsuFRxXhrenp,5,https://p.scdn.co/mp3-preview/8ea35e4963296b3c15fc883aa018f459181d008e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Sleepers - Original Mix,5NcZPj3oNUXS35rOanUf22,Gossip,3sFTupo9UGgrujjN21BjwR,Real Damage,5sGkUwL68Z30uypO4SUemr,6,https://p.scdn.co/mp3-preview/2b064f32341bd46e04b1ebf6c6b28ac98fd62b37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
