Before They Were Sub Pop Losers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,217,subpoprecords
1,Pork & Leek,1Htij4OWGjOxEHZBaBQLmP,Cartel Madras,3nwKi37CnuKq5BcPr267h3,Trapistan,1J4SLgHx1f867NCdKeYfwF,1,not available
2,Recording 15,1vNfYCzcCJz0FY7MVVA9lM,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,Living Water,3UirGXBKa2VVuip8JPlBpd,64,https://p.scdn.co/mp3-preview/3990bdd69531e6bbda0a79e90ed4a1b797015b82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,River Days,2g0ficVO34l4u3nS5VYeyc,Minor Poet,4FRMMswMXEkpMZNMacFjEW,And How!,2CDGwOfsmdbE2ycNYBiamb,2,not available
4,Halloween,0bDi52pc7auecKxi8SHWNo,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,"New Orleans Preservation, Vol. 1",7z3Dd0P3mcGlbzTXDtfznd,24,https://p.scdn.co/mp3-preview/051ec72a6967726c59b802f311b8ee5f38e27a31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Grapefruit,128Mqrtw03Mo3eR9bOwJsx,Yuno,36BjLtXEXIifbRrfc1Rtqa,Grapefruit - Single,7JWvl53t1wjgGTQNB45oVb,4,not available
6,Slop,1KfoPHH8DuAMDqJJpdpMR8,Forth Wanderers,5UjbehtgZGbNmmanbVW9Bs,Slop,3OY3mhUjA8Y9JNnnyHLXOX,10,not available
7,"No, Joy (I'm Not Real, Girl)",1lcy5chN0GZbpxkZtO0fz2,Jo Passed,1ONiIDqrHLLeDjVan9RRns,Out,2GWMX1TPLt82So5lWJSiGX,5,https://p.scdn.co/mp3-preview/b0c176fa62c92198516cc1cca20846db51585b44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,I Hate the Kids,1iiZttjsvlaImorCwMS9Tl,Hot Snakes,5hEP2P4E1FjoFYdhhxe7vi,Suicide Invoice,6oxS0tlfY71MPV3pozMexQ,24,https://p.scdn.co/mp3-preview/0a4d0471cb617a4e213d643f70931ba52d21b14e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Outside with the Cuties,6L5ks2ivQVCLnI4JmIr9NT,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Next Thing,7mTf6AXzDt1q7Iy4Vig1U5,54,https://p.scdn.co/mp3-preview/10ae07174fc79f03f7c56ad5065a3d644263afaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Animal Fear,2aWbVo5B7Y6rrRUqKERTOG,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,We Slept at Last,7bGKJT7GMChX7lM3txM9Iz,29,https://p.scdn.co/mp3-preview/454bdeb84230e460f96f086c4bb91c462fe1d963?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Monstro,3sqq9wOsr3PMoDTbkDovFm,Downtown Boys,7l8uFATeRemkWEA8Gn15YC,Full Communism,2uOinTd9KHYUdQR5r3sDKv,12,not available
12,Clean Slate,5XNbwbfICgy9Dxidobd2Vj,Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,Talk Tight,1u9j9V9XyYWgASQuuOM93E,0,not available
13,The Closing Door,6Zk7UPVQoQ1RgoqL8LU1wX,LVL UP,5vgsJ5wyLQ7tw36OGRzJFv,Three Songs,4IAc4JgeZGUE2KJ8Q3sUYh,12,https://p.scdn.co/mp3-preview/080a223e18962227a0d39cb9c8c93ef38510b81d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Ny's Alright,5dbVYguMCD5Emvc99drkPg,The Gotobeds,35pSDVTz3ZgYynZwMOFEQ1,Poor People Are Revolting,3JKd3EfrrnVcB0T5MCuz3q,6,https://p.scdn.co/mp3-preview/f32aa7531b94c2b402ea783b3dc278c97f3197d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Just Like Honey,4E6YM4V7Kz6zpbiNsliwEl,The Jesus and Mary Chain,4rjlerN21ygkIhmUv55irs,Psychocandy,2YUNV2XbvydCwHLTpBV5A0,44,https://p.scdn.co/mp3-preview/51ae7e0882036a828805b94665c245c5393c7eaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Barbarian Kings,3y7wAKCg8LWlIKXbjzpEyN,Morgan Delt,29ITaP4nYGDlz54m7pLJL1,Morgan Delt,1hHkCDRUkJflI4U6RXJtgn,36,https://p.scdn.co/mp3-preview/30010a402cda19347cee22c4cc72bef1eaffd5cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Sunrise,463eL9tWXYoGpDPLtOQmeq,Doldrums,1YAv2yohpdjlPVbtqZCGLY,Lesser Evil,1uYt4PsWULrcBYMQ9u0oDs,3,https://p.scdn.co/mp3-preview/30a41ee4b0fbb24a556debd7de057c466db0041b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,(This Is) The Dream Of Evan And Chan - Remastered,3fhxjSp2AHFPnTvr1rase2,Dntel,1jf3CssdtSksxNa3uIpPzS,Life Is Full Of Possibilities (Deluxe),2RxcUcneYSl9nXsz0HrI32,0,not available
19,Feel It All Around,0BJTbkmrB2Y4E9M8qVzbYZ,Washed Out,5juOkIIy18sFw9L30syt1Z,Life Of Leisure,2dctdID2E6GikiwyXvvtQL,6,not available
20,Rooks,3wS568uaBrv1ULtMmh9bbN,Shearwater,0CoiIc6ZLBvF9Cjmb1Cj49,Rook,3eM6iFsshHr3QnFn0jYCCQ,31,https://p.scdn.co/mp3-preview/6db60690f4163ecb98c7973e3b13a677e71241f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,One Cross Apiece,28KP75jvLfaQdTSZ6JSWZP,Obits,7nr5WIJhnF5hR77kS98avs,"7""",4jVhmidVRvnVGtYQaFu12s,6,https://p.scdn.co/mp3-preview/8bd9c61ef67cd22cadeb6b403276d4347473177a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Sun Medallion,2avVVXPzzk3aRD63rMr5SG,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,Was Dead,45Kf7LOIGIZoWAhmCi8bE7,19,not available
23,We Just Won't Be Defeated,0rCzFqKvF36XexyCToFeKP,The Go! Team,6veTV9sF06FBf2KN0xAdvo,"Thunder, Lightning, Strike",0FXp1sGMZnK5NyR1du3vkw,0,not available
24,Reba,0G7qBNM2pTRa4spxADUArP,Lee Bains III & The Glory Fires,1oTNCl6SRphYGb9NQ0toVE,There is a Bomb in Gilead,2pfnanksYvldaMlK5hUYpu,0,not available
25,A Young Girl's World,6poDfswn4VBMdqWZaYxnHo,Daughn Gibson,2Pm0VNnBPhl9Ew0f6JKcFh,All Hell,01pKh9HnyZQKwhJDMEBmvn,0,not available
26,Pick Up the Phone,3nJWcZEsKzBUg7m6Jd8Y0Y,The Notwist,1o4xLcugkCtDDOw7POAMha,Neon Golden,0RzoubyYuHNAHqkiDMtQEl,0,not available
27,Let It bleed,3469su35YFapBIWHZqaCB2,Goat,6jP9Z7o6WlbYvKUOeO5SbP,Let It Bleed,2Uhd3iQxo0vu1eXWvElRiP,8,https://p.scdn.co/mp3-preview/807740aed2dd5dbbf8ac01492762f972ddbe32fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,32 Leaves…,4Cr6w0ZePtCqZRO2eZZTQg,Shabazz Palaces,6C403AR4y6PjN0xNNGh42m,Shabazz Palaces,4tr3FhD328wDwhkpVTsPkU,18,https://p.scdn.co/mp3-preview/ed00cb6553013c63a31e6a87a8d7646922bb438b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,The Road,1Ty19QHXTWVOOYGAJbmRAa,Mirel Wagner,599W9qxs3LzkiiEmkoK6Kx,Mirel Wagner,33jmg7nlISoNdjKXhC0IpR,0,not available
30,Murder Of Birds (Undressed),5rggz8t4kgOGOatg35CGjA,Jesca Hoop,0fqE57gXXTTqxXlFYVNG2u,Undress,0YffM37TRBjyNY1XUW342m,35,https://p.scdn.co/mp3-preview/c8627cad6a9cc3dd241843e77482f5fba37a05b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Oh,59582OTWf9tFRPOBPMxziT,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,One Beat,08HUJ7vavOWIA0AXzDDmws,0,not available
