Club Beats,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,Raveille,1dvSYgjmkHhxX9pLh8k0xG,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,Raveille,5kxdtsx6uV8vu7DcztljyR,58,https://p.scdn.co/mp3-preview/f47ccff1fbe84006c0269c223e13807209aac2db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Eins Zwei,0SfCG1utWyG5qWZE0feV6S,Ummet Ozcan,7e1BNCygl2Gf7CX8LrByPv,Eins Zwei,4kDACRZ2N75z5MTHjlRMs4,59,https://p.scdn.co/mp3-preview/8b1e65b00fa04e7c1b0dbeaf9e793c20d9d2cd3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Survivor - Extended Mix,0VsKpY0QFN9ifwmYPDgWMm,Jack Back,4bXUaTjc7TQTvLqqCAlfYt,Survivor / Put Your Phone Down (Low) [Extended Mixes],0NKVc1uxZkpv5RoW2UHT80,48,https://p.scdn.co/mp3-preview/52054bad6d9252e2554b44bf0ba4a7baf01b93bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,House Music,3ocZqgu4jExP3HJetO1I8f,HUGEL,5PlfkPxwCpRRWQJBxCa0By,House Music,70Qru9lPVAQtZlkiyt0k6r,53,https://p.scdn.co/mp3-preview/6739b83acbdb3b3438ef101e506fa851f279cee5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Who Got The Keys,2UFPNhmmeE53DpxX7Sdma7,SKIY,39JhQRThBhrHgjXtIK3dGZ,Who Got The Keys,6n0ngJ7VgaQNlkJ3xwAvab,49,https://p.scdn.co/mp3-preview/8b61443adc87bb009b56d72a12303b871da69693?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Adiu,3vIyKaa3JD0W3SVuVe9mCj,Comah,2kS3I9R5ErMSxhhKGQ0Pj1,Adiu,7jB1Bk0SLJKweBpFaqktcS,44,https://p.scdn.co/mp3-preview/d84215df72c7e4b206e7487835cfad7ed5f5a27c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Faded Love,6VSLyeg2PW82nz9sQZm6Qh,Nathan Thomson,4c9CqUuPbYlLvArQS7Y2kv,Faded Love,7dbQ4dNGDgzLiclrSq5Bbt,43,https://p.scdn.co/mp3-preview/37bec206bd00436af192a71810e4dd47768b5af1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Fireflies - Mark 'Oh's Back on the Pitch Remix Cut,2lPxLeaerqpSltcJFA4aPp,Wilhelmsson,5X5Bft6gjnV0mtrsGvjjhF,Fireflies,20BWvCTJscQh83MGlHIXTu,48,https://p.scdn.co/mp3-preview/2998ef8f92019a9c177c9ea5df12e9b4c4a35035?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Front 2 Back,6zXKqzLVtelUovqyCtM5eL,MOTi,1vo8zHmO1KzkuU9Xxh6J7W,Front 2 Back,0VoYYxnT3xEkWgc1Nwy3ZS,51,https://p.scdn.co/mp3-preview/4762c7f7007f18f22846f0340bc1dbe6b49e5278?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Waves of 84,4EJbzh663RrFkRepNyU2iX,The Swing Bot,4oQFVFnnGSF6iFstCV0b7b,Vintage Audio Signal,3RGWQorboLnvqaAFgRwj4R,48,https://p.scdn.co/mp3-preview/4068092db036569cef9c98da0b9eadd8d1a8f7d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Want U,6SnAoscSjLN1c2lhHLhbo8,Stadiumx,0DRf6JJDQnRnz0Yp209CmH,Want U,2BsrfrakhOuG1Eijbw02Lw,46,https://p.scdn.co/mp3-preview/b9c0833f9b7520970c9082ba820718ceff7efaa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Divergent,4eYQc6r4jxqnkHcVjLX95u,Noah Carter,0RqFc8y4o3DQznWATStEt1,Divergent EP,3z5OOwi1bOUli8gYrSokhk,46,https://p.scdn.co/mp3-preview/3d3b676907ba1ea11d1b3a95de2713c256e25fe9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,When Music Matters - Extended Mix,7tb8s0rcUysS7vXeSRVZhj,Friends Of Mayday,6jFnctxr5gcgwA1wYKHxWK,When Music Matters,1sgmUoFePnuEia9rg3huxF,46,https://p.scdn.co/mp3-preview/8d2b339a7243d96bdfb16ef51f71315e0e61015d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Hey Hey,57Be0BK8Or5yiOpVMRCqsd,MOTi,1vo8zHmO1KzkuU9Xxh6J7W,Hey Hey,0fARGNLDO2RLHtvKoiKr2T,49,https://p.scdn.co/mp3-preview/a19cb413a32c74d12d9fcdad48a88bd682024100?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Last Fight - Kage Remix,4UU2V6rGA6jrQlWqDyZkHx,Justin Levai,5M0IZLpsZiaw5Brc6gHJIy,Last Fight (Remixes),5ocMmPxryff7xxNxock4US,11,https://p.scdn.co/mp3-preview/16cf723f9beba8ed1bdce33418623d5ae282af6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Millenials,3y0Wd0ETjXyRACYNbhLJHS,ARIUS,7wgs0d144iA6OnyYE629qE,Millenials,2XtG2zidzBtsgHK0yhocC5,46,https://p.scdn.co/mp3-preview/bb17472f0dfeaa3e93b521a04748d64e92feb05c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Party Starter,0sJ2TnHlej7YZfqMnYj9QW,Laidback Luke,53cQZtWDwDJwVCNZlfJ6Qk,Party Starter,7jSNvVIJkXi1wFQBbqzIXc,53,https://p.scdn.co/mp3-preview/044c78123f5f56a87f2784c4d0ec6f6091df7fc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Surrender,1lGpbCtlYFP0DmbdUNZ5Qy,Purple Haze,35ClM9mD81Evb2EIuYq5en,Surrender,30DJXsDirgaYpEK2dpKDuf,49,https://p.scdn.co/mp3-preview/a47173a634edf0c755a3db23e2af158f32f99343?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Smoke,0t5eevrq8rZOIvXDkVwN2i,Toby Green,7IVgVM49Z4ztdmOqOIxhvP,Smoke,6xhL3KwY8ixfsbFllavurT,58,https://p.scdn.co/mp3-preview/e6d80c95ad5b7f130a081a8cfd909c7580e9379b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Kickers,43JTSkdMnBnM4GEPWtj2tN,GODAMN,1d0vEmkXUarbPdO4CDqUPB,Kickers,2R7X6BBhuPhK5CFAbqkLHn,44,https://p.scdn.co/mp3-preview/bbc02ae672eeecf94b5cba003e28449ac5c7d49d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Bass Down,5lNLzIu7eGodMcTWVwd5Eq,MITTONE,5PrqXwfIbdHQz4h8PVsBn5,Bass Down,3Dli7s9rT2YMu6wYRVMwc3,47,https://p.scdn.co/mp3-preview/498e1a023cd726e05007175735facb994c857269?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Smoke Machine,6nvQDmDbuwksD90nXvyX5m,Dave Winnel,1K80Wcuuo13i28cVd68mxm,Smoke Machine,79xY2Gqarex5bznpiKh9Hj,45,https://p.scdn.co/mp3-preview/16586ae21df9eb05279728928f57a6c91df3e06e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,This Ain't Techno,26VQvcUzPMLc1Jd8oDEbfl,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,This Ain't Techno,2L6gha8Ndmi1DrWpTKJn7Z,58,https://p.scdn.co/mp3-preview/6e252136c64365ab55263ac71431472ed9c95b17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Dance to My Beat,2XKOz5BxWWUowf59BBgXNk,Andy Latoggo,4TnxEefhfXMxTKiwWraYjm,Dance to the Beat,5PuYfRbnTxRxB7MX2aMWAP,45,https://p.scdn.co/mp3-preview/466aa3abb5d6061d05d653b0ee9a6586ea4789c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Ox,7ANnnmkj7NgmfZbO2hbPAB,SWACQ,45UHclgIcRavRoRa2MET5i,Ox,2VbBxGjpQFK5wx2LTrdZUa,43,https://p.scdn.co/mp3-preview/0663b2c3a6e5d75b1ef09a402e34d4cfb094f194?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,You Little Beauty,1gRQxbfL4ULWyTosgXSbWT,FISHER,1VJ0briNOlXRtJUAzoUJdt,You Little Beauty,1voOnpa4pILlDPVsrIFl8b,75,not available
40,Body Funk - Dom Dolla Remix,1FflGndCt6ZaMZ9LBAh6Rn,Purple Disco Machine,2WBJQGf1bT1kxuoqziH5g4,Body Funk (Dom Dolla Remix),7357BMVkzWElMBCZXe6eKg,44,https://p.scdn.co/mp3-preview/d318a3c00d172d159ed75b515c05f4beed25da44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Quiggin,0ddjswcE5XK2lbUMIIb7Mk,SKIY,39JhQRThBhrHgjXtIK3dGZ,Quiggin,2uq26heYhHY7LQkbhAF86N,37,https://p.scdn.co/mp3-preview/ba77b65b2b8e8155954e90096f4eac6e6a84d536?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Stay,5bZJ1pbxDnjaXr45jTYTNd,EDX,7GMot9WvBYqhhJz92vhBp6,Stay,5avdjDHOsdovgECS6ygqLj,51,https://p.scdn.co/mp3-preview/91cf5eafec518512ac900c275693cf7e793df91c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Chinatown,4oBG4xkF9oZv4LZ76KArWW,Liu,3DnNQH13SfSOjZDsVEa0ht,Chinatown,2PbTjCuBClBQHWnqkS7HIS,45,https://p.scdn.co/mp3-preview/1d1efdb017d6a6ccb7d9c49b3c720b7fd09c24b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Inferno,0TFqXXQIeBdXOV9Ebro9Wt,Desren,1v21stz51eeOrovaAeUtb5,Inferno,2oeRp7e1WAZ7as9dFFEbgw,38,https://p.scdn.co/mp3-preview/997a1e784650b2b619bff99a2f9188cf20d3fce9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Say My Name - Sidney Samson Remix,0aVgtoMX4a2Av4l4WL56ll,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Say My Name (feat. Bebe Rexha & J Balvin) [Sidney Samson Remix],6RW3GhAS2Tsjt8IeDpsszu,58,https://p.scdn.co/mp3-preview/9a2c5685749f4d57ccc22d3df4bae095aaf024b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Forbidden Ways,20UL6ibZQ8VtjFSJc18xUt,DEKOVA,5tU9gtm0RyNA5uhyiHVer1,Forbidden Ways,6NehMigFa5SKqaUhOoPahT,35,https://p.scdn.co/mp3-preview/6c225d76e9e1446d76a8978c35fea02182fe420c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Drippin Acid,24odibft9fUGOUdRqka2cm,Khrebto,0fLTK12xF2IMaNmKMSue6g,Drippin Acid,6tOY6STevFZ2R5v3pzeTjz,40,https://p.scdn.co/mp3-preview/1c06c16d830b7253b071c80af2c5635c73f7940b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Inside The Groove - 2019 Edit,7MYo1KxHpYOfpO48E4ORq2,Botnek,56coS2IZSVdhIlHyzR75mK,World Famous Miami 2019,79ykVuA62ptwlLqRXjQH0e,47,https://p.scdn.co/mp3-preview/3a6588ff3e65e0a7c36348dd82a11a531bee1051?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Lost Within,1GVgayD7ODww3eVieGrczS,Tyce,49yqUrKBgygnVd0IeRCZVA,Lost Within,0aQqvmguxgV7cn8nWOPzal,39,https://p.scdn.co/mp3-preview/e79b5d8abf7b2a21266b2cf00e9d4facf952b5b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Focus (feat. Lena Leon),4MI0JYGmzUPORAfZMm0nOC,Deorro,6VD4UEUPvtsemqD3mmTqCR,Focus (feat. Lena Leon),2m7xclDHsTy8CCFRBqSxk6,54,https://p.scdn.co/mp3-preview/23bb059dadcda3ee8a5beec881ac8dfa0e6ee4d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Better Not,3FQf8yS2iAxjA5myNguy90,Carta,3MTk6MUbUmV5X0N04N56JF,Better Not,7B5l0BRF8D8ZXzGakE8muy,38,https://p.scdn.co/mp3-preview/bf5b969ecf7584cb913e9d8ff1c56e489c88b81c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Keine Party - Single Edit,2AdrJCuXvi9YYpAC7T0D2s,Deichkind,49eo9xE4yGzJLWkOndiODs,Keine Party,6jVmvHcCU4RpUI8Gsfhw7X,58,not available
53,The Answer,24ob5sfH5z9bSLAb9TxCtb,Florian Picasso,4GWqzTTt2uA9Ms6HfUhWUn,The Answer,0rqtOmIuLbzvHrr0dxNqUr,1,not available
54,In The House,3pCEQTkQKcELmzuWIeuoJ1,Silkeepers,4oKyRAamQrZJHSqPI1z3JF,In The House,533jMmRVcJ6TQTweSDivAo,37,https://p.scdn.co/mp3-preview/796830b11ca0dcd67d097e4c4c4d5bb7746dbf5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Throw It Down,3EiJST0HDZojGaJOtrCvGy,Roger Horton,3c4ZwfXOb4VBK7L7qWIBBB,Throw It Down,6BfO96cFJQCjb8PthHhSdY,29,https://p.scdn.co/mp3-preview/b2b2045d04d05b3c55dce1bf04b29b87ba2ef1dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Remember,0ICSJKAcCQ9dhKXrJ1kRnv,Magnificence,5zfDGV6C2Xwns1g773GF3N,II,2L9MGYbIuYXlYd76XAUt9m,54,https://p.scdn.co/mp3-preview/e3b75b99b6d473e54077265df6ece25cfac6ac43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Soldier,0zA7wGtCvfQTbHmRFluOqs,Sidney Samson,3XonXgjEAAXVl0WKLF1Z4g,Soldier,5nLEEUiaM3XIM9ztfeHQG7,2,not available
58,We Are Lost,4oNa3Uip5NhC1n2hXqlSAV,Sagan,5JHw3zW4kgwIZlh33geR1K,We Are Lost,08g5aEUh4kefzFITVyrXKF,41,https://p.scdn.co/mp3-preview/b7074bd3ad5b0f384898eb67feee1d708392b979?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Nineteen81,3QCYGGHncqwMTTfu4jScEy,Jay Robinson,1Jputnig8fuCuihen6n28Z,Nineteen81,62mTfD2xpdpPrtf7e9euC2,40,https://p.scdn.co/mp3-preview/5c4f3b0b5fd738c2b9ab6eea346c562d184a0703?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Feel the Bass,6eykrZRYVJ1q6ojz3Safr2,Julius Beat,7DSdX5vguJkOm69A6HZw29,Feel the Bass,3UEhbzCiJdNhC2R9f1BoCf,40,https://p.scdn.co/mp3-preview/d5018218813e3f5d04e7be0d9607a69296078e83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
