All New Rock,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,The Well,6PPKEOG6TwpExLXDnj1QKH,Marcus King,0FeWKiZSwBRdGzqeCdlH1a,The Well,3rADwGRxW5AF7lya4QMFgA,34,not available
22,I Want It Real,1FtDrgSaObTqJGQbEPF9P6,The Almost,5X09SRt3qx77eh0XRreLjr,I Want It Real,5wEPlgaKtVRNv8BIJsMCw6,33,not available
23,Heaven,5g4ENWdp43q5ZLH5Pre7s0,Bayside,51J0q8S7W3kIEYHQi3EPqk,Interrobang,1GYrUGqVBmMSA5W1WiAqLX,49,https://p.scdn.co/mp3-preview/e0f5a5948f719382ed5b052649b82782ac968ce1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Messed Up,3YNZIwInuT5ueBAsDJwBui,Shorelines,0dhKIZOcVIhpS5IcsUATkH,Messed Up,2aV5d9XAD0UlXpz3Mub9tR,25,https://p.scdn.co/mp3-preview/70e6a00670c4708856df4da4109c5f0f96090222?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Sink,16TTfN0fVXOaoaSFTN3Xkr,Authentic Pines,4PzxIDMBGmwfzdh4YKj0By,Mother Naysayer,6gPx8kYbUydSYlly5vGTkP,18,https://p.scdn.co/mp3-preview/53e444766663329b42a89b5c5b4c49a6f58dbffa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Molly Malone,1dx0FhR7lkWj6njCXUvpYF,Louis Berry,7xn0Wut7w2BtP54HBd6hzf,Molly Malone,2nBAC1uqX0hL1dbMgG4QER,35,https://p.scdn.co/mp3-preview/faf4179fcec3c10a87986dfc3db521d21f333ef1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Want It All,4tnmjplQQsrjhwtgp81X8J,JAXSON GAMBLE,4fClmcYOLFAp5rrKUqLHAI,Want It All,5jDvlXXPfXovaMIlHEzWet,43,https://p.scdn.co/mp3-preview/34e0bf0075e14c21d9907bd121bdeabee66a506c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Is This Thing on?,1dHeMsz9nqqiR4OqJ7prVd,Pulled Apart By Horses,0AUkXuvc92Zd0E9qKbkfsy,Is This Thing on?,4F7kaZwhLYr9kYtZjLH3f3,15,not available
29,Never Know,3DB6nZjOLxpjdv4k63RUlM,Bandit Bandit,0A1HmlpMHsKQXyXkwoS26h,Bandit Bandit,4FiQJEK61UyEDxyjMzwNgU,25,https://p.scdn.co/mp3-preview/cd41d486a29a4ea0073071881c449019e9b5b294?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Shaking Hands with the Devil,5uYcjuDjOR9BJl67WokLm7,Nikki's Wives,4fbZhquFmlr7L61au7sHTu,Shaking Hands with the Devil,1V7GKHR3wqsvKC9eiWvrRY,22,https://p.scdn.co/mp3-preview/130a2d219948ebe1556741fae4a7926467cf0dab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,All The Way (Stay),7qVnkPY1UPmSeWULwXSW7a,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,All The Way (Stay),1nCmHK3wd62FLPSh1F4TfN,60,https://p.scdn.co/mp3-preview/c9b3bda41a88cf1a9c647cb72a6b734ad3c97ea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Human,34w4nfFECAsahWTcHkpsr7,Anavae,0JseT2AZzVMKsBlrAywFcO,Human,01dS4SYs46x4cBS9H80eb2,16,https://p.scdn.co/mp3-preview/38e08323b262294604442faaec6c19bf7882d48c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Hard to Breathe,5FSflvUaIY9F108oIFNg1e,Hawthorne Heights,126FigDBtqwS2YsOYMTPQe,Hard to Breathe,0CeoYDY9Pw0mGIePXZXQrA,22,https://p.scdn.co/mp3-preview/0cc599a76562409eacf7dbb4263123edcb4ee5a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Shakin' Off The Rust,0Aergaee1PD3zbWcjxcUJl,The Blue Stones,5VPCIIfZPK8KPsgz4jmOEC,Shakin' Off The Rust,1QJSy2Unc4j50ibbiO2DXQ,43,https://p.scdn.co/mp3-preview/7a9e4465136fd5f5bf6186dd39612807d6c6761a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Mundungus,3URJetfBGp2F6YanI0RTCL,Psychedelic Porn Crumpets,7GRrLcUxwtQLvOpO7OHO80,Mundungus,30GP0tWgFPYXHtre8RwA3u,38,https://p.scdn.co/mp3-preview/1a7282e75c3e3cf3debcd1ff337e1b183db04267?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,the end,5j7BSPFNuDiiszA2SZllTc,MisterWives,5ivCbtrcD5N4rD337xIb2z,whywhywhy…the end,3pATkUpixuB83NrGhnKVRg,53,https://p.scdn.co/mp3-preview/7bb81377e7b1b05201200a3ab6bb82ae6269fed6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Live 'Til I Die,4FkJ1EacaC0LMDvan6dw2T,The Darkness,5r1bdqzhgRoHC3YcCV6N5a,Easter is Cancelled,7afp0SMBXsQvOXJCxY5VTV,30,https://p.scdn.co/mp3-preview/eb0b5f1ef10f7d244f1909fda0803b4308e63194?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Go Out With You,1ETajdK6h5qub64KFsU8e4,BLOXX,4wYzzR0lpEub1gUU8bbBTw,Go Out With You,33VOTiFZa62yttu5roeQVa,50,https://p.scdn.co/mp3-preview/d070b8ef580cb9e9a02deda87da3e7e44cecb228?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Christian Nationalist,65CdHKGQBBkktAKgciMcCX,Anti-Flag,30sqtiTKIb1oDve0SdYayT,Christian Nationalist,4EJugzlTJTESS9pHJnFGdj,51,not available
