Deutschpop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Alles,6K49ChClJkHor8EU5BPahJ,Jellina,6r4jLBpc0K1xycZAa9hwPV,Alles,15TPQyZtksU4aa8g2FEyyC,62,https://p.scdn.co/mp3-preview/3f2068098e4fea529f052232d23a8cfc4eb92685?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Nicht allein sein (feat. Vincent Gross),1tI3hAhn8eB7C6fiEhPS8S,Stereoact,6dXL3SnQlCGX9LCUAyin6a,Nicht allein sein (feat. Vincent Gross),1YzmNSTwLZWtDchqfo1r7q,57,https://p.scdn.co/mp3-preview/f5630999efa5aeeefe4333430ec766999d0f2faf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,die kalten Jungs,5uzWnZR9tVcBZBKfC0o4pv,Revelle,02EVANzKGRlR3TTTiaGAoA,über dich (piano sessions),5pWynThScpYQZt97K3YBhy,49,https://p.scdn.co/mp3-preview/2bb1c3e8d5fac5d3e24ecd4b8a9b175949f6e983?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Die Reise,40OQcr6i91BMljs7EQpcm9,Max Giesinger,224CDJhbm230iSo9ZomTWe,Die Reise,5fsTX1BxohDrDuAkK4AdWF,49,https://p.scdn.co/mp3-preview/964463f88ac8450cb485a69d8996a3c22e7d2e05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Hör auf deinen Bauch,5V1ieqgERLi1vsowP7dqta,Sarah Connor,7e52Ytzjj1q71DUj2cSlch,Hör auf deinen Bauch,0kFKD8Iio93jbJEr3n8urD,50,not available
28,Panama,4RoYAuwOpbklSyeVP1TV5G,Lupid,6MyDQj8ZCDSwJmA5P653Sr,Panama,77IDRaYy711ew1C93rkF74,35,https://p.scdn.co/mp3-preview/324f5901ba89b15d246e29676fe34f3cf23cede4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Sophie,66va3gYX5Tlpl0lJ10l5CM,Anstandslos & Durchgeknallt,5R8zS6ofKclznKk3ffudoO,Sophie,422rVNnZAOkqRV5KLZiqec,56,https://p.scdn.co/mp3-preview/9543a7801485b9eb700978ed6af368be192a59f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Blinde Passagiere,48wbCJ5Fp2GyEFDjfzBr7E,Johannes Oerding,4I7D65YMlr6ZxVEGPb7q2K,Blinde Passagiere,6LLlxzuJgB6JDXKYmbzDJX,50,https://p.scdn.co/mp3-preview/3a38ab9e5b6abcf04d072a8f31398936105d8274?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Meine Liebe,15vtqlvHAnWjaiQdf87zRr,Wilhelmine,4f5pBvQZzdOGpFF0pwtUZG,Meine Liebe,5Sm78Vs7XZ2TGEm4Sr6lbV,38,https://p.scdn.co/mp3-preview/a655a6d28943b70c761cf735a2a46a818d462b3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Millionär,3cEDd0O2jE1LiiSZ9kesJP,Julian le Play,5xW9faV2hqlLG0rp7CTBof,Millionär,5w5cczbUXhjmgAE96nxhn2,54,https://p.scdn.co/mp3-preview/fb9297313315637348e89d5f8c5cc45f2c9f5cf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Fahrrad,0uc1O8BfCudfUbIVuwZwLm,Juli,7g13nmmxq4XN0hd64Jzkol,Fahrrad,2msJz5MlMzxlZogoM8CRCG,57,not available
34,Du bist - Single Mix,0Osg6LLL0dveIkLfLgnYqm,Glasperlenspiel,2UFKXTZgKtOTHSqMSyAcLO,Licht & Schatten,1oodVuqpCLrAj5onczjGK0,59,not available
35,Gute Zeiten (feat. MoTrip),5xVFxECn1b49rP3VmYG42b,Xavier Naidoo,47RPLpnGhBRTjQrRBOev9s,Hin Und Weg,7hZNhSNxc6NzxqrFbxyMAS,63,https://p.scdn.co/mp3-preview/590fe511adf277a26379d26f365f9c372a5bddae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Beste Version,5EOGqUg3jjj6pVGrFQMmIY,Vanessa Mai,3WUe8ADT5d65WeByR3ubl7,Beste Version,0b573XxL9UGND3lhyLMp4u,51,https://p.scdn.co/mp3-preview/ba62a70b46af84ac2f77d8a0399bd587586cabd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Jung & Naiv,144yhHQOd3MlFTOaKLVxKU,Noah Levi,0XuWJAWSbqjnBobY4XeHfS,Jung & Naiv,4C7dXM402SADPPjxBSAXE6,51,https://p.scdn.co/mp3-preview/3a808450a805e70bfda2aeeb221803ff642846ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Zu jung,6XLabYWkHGcNpPCCkbhqAD,LOTTE,3gqabzO7zvHVzAIT0Nxqa3,Zu jung,5B5TNBfGbzYtG6DRXixUeV,50,https://p.scdn.co/mp3-preview/600303040b8bb14e8bd9862911fe993be5c65874?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Alles was wir brauchen,2xA0xhieQea29W5ZjYtAEQ,Voyce,4VD7b3DaDHGO9vE6VXfasd,Alles was wir brauchen,6v34iSB5pb5Lz3y6TPkHhK,46,https://p.scdn.co/mp3-preview/16ed259e32c9e3c6393696bf62af2481a8b6abf1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Hurricane,6Y3VjUAwbGbn4h2HIFNE1b,Julian le Play,5xW9faV2hqlLG0rp7CTBof,Hurricane,7B8WZuVqOo0LfKTm0bnSMd,44,https://p.scdn.co/mp3-preview/a6eb55ebf407ffee60b8da67449013a099375ff7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Immer du,2aA8nfNvvdODBzvQ1UH48v,Julia Beautx,6j90FihrvT1wUrJlDRxZdk,Immer du,5xuDqHIHlaP3W5u399kbZv,55,https://p.scdn.co/mp3-preview/4b0cdaf53f76f46e9c3e39e9aced0c0c5dd0309a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Drama,1n9q4wlNXmXi9693EnTc5D,KAYEF,4hXT6A14n901v8DU5Of337,Drama,4ez5uflU2hNdLui7AAqtbY,53,https://p.scdn.co/mp3-preview/ff87c2a4222fa88fbdf861862db0c24e2cd5b4d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Kein Mittelmaß,2nQ2yfVx5W3Wnl2AGZoXUJ,HILLA,2XPKrrCwMa3wB1ML1g5Ywg,Kein Mittelmaß,7IuVrSr01oP8JeSziVKCgk,45,https://p.scdn.co/mp3-preview/9193d3efbe9d5409bed72a2e967ab0b8a171babf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Phantasiewelt,26v4eJEE17kSDY0Q4s71va,Miwata,5RwRoCyyMD8TpyPaRAa0yr,Eukalyptus,5MgR6QaqehDNv35W9Uu6xX,53,not available
45,Berlin,6YehU76v7KNVg9BGQV2Zpl,Alina,6hPlslLYRFnaIswJ5pn0rw,Berlin,2pOqVAb4Rnhp6774fs4ucE,41,not available
46,Sonne oder Regen,1NwMLZdfmdx4OhSM9fmPxd,Noah Levi,0XuWJAWSbqjnBobY4XeHfS,Sonne oder Regen,2wCSJQnBUE19u3QqA9giJC,48,https://p.scdn.co/mp3-preview/43f449f2c01270a591fb38ff77ba4a2319a20e53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Tag ein Tag aus,3r0V6TPxdwcXP5CGQM4FbQ,MAJAN,60pVmLS5zlt31OWk340O3U,Tag ein Tag aus,1OnQew9YjthSIp6XrKEMxy,63,https://p.scdn.co/mp3-preview/a46e8f72ead632a1d79518263b9191b9409e7634?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Alles und mehr,63WUuhJ2XtjcsDjS08T2oF,VIVIEN,0hd75hsGbkZE03RAXWWYhn,Alles und mehr,6pklriJ85SNxt1ZD7fB9di,44,https://p.scdn.co/mp3-preview/79eab8bd05aced03af2182da4ce8a83d64a872d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Alte Bilder,4PULyjzYYBStSbCqaXCoBZ,Philipp Poisel,7HkIxdAV13bOrkOhh6H3Dg,Freunde,4gpPUBY3kcbIkwXaeOC6HS,57,https://p.scdn.co/mp3-preview/d91cad880247301014fcd22f1dbc18243719f518?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Was du nicht sagst (feat. toksi),02C95ZarsBIjMqQ9Heam13,Fabian Römer,1AzY6fJYpYIOxfckbx2iRn,Was du nicht sagst (feat. toksi),7DBGNNd1Qjg84czPHkQOQx,50,https://p.scdn.co/mp3-preview/491e353f5d8ee23db7dadb9d14b3d964efeb3367?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Portofino,0eQnRxB0jS7uG3sLNpYoMB,Leon Machère,4NMbgO5NL6aXzSmQzAAYPP,Portofino,6T6GY50L1ltioK9I646Y4J,69,https://p.scdn.co/mp3-preview/075722a23f26913d25e92aeccfe6e8bdae4be9fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Tu m'appelles (feat. PEACHY),3zKNhkIp4vIzIv1vGPdBLu,Adel Tawil,3rZBkgoRHG8M9jQL0QPNMi,Tu m'appelles (feat. PEACHY),4KpyVEb2B5BA53HhTVmmGy,36,not available
53,Haribo,3o8Kh0CpiwxhUTmpM8C1uf,Mathea,3r5Kc95Oz8lDc8BL9ChO7n,M1,4c3Tq187OaBo09SAE2pZxJ,53,https://p.scdn.co/mp3-preview/e1b3d49500aa118e4e993911bc7e04064ed6ae4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Alles oder nichts,7iAj5RT146IHV5njomllqB,Nie und Nimmer,5sF5Etprqoh9ufF3ap2eZY,Laute Stille,4GAcNc5edTy00pC0rA8NZp,46,https://p.scdn.co/mp3-preview/7e2d0d91fe812f7f7d93ac548a7a8dbeb121b1e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Happy End,6pRZfSo8bedWs0hnMuoTzU,Lupid,6MyDQj8ZCDSwJmA5P653Sr,Happy End,0ssI7aEJyLF56JDNgDLAFv,45,https://p.scdn.co/mp3-preview/422232c9a76902d5cf6e82f7073992fdeb65b6e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Bordsteinkantenleben,4gtYQVl82cr247Ly2zrjTW,Philipp Poisel,7HkIxdAV13bOrkOhh6H3Dg,Bordsteinkantenleben,7KsyvcAYBOVtEPcrKAAsFC,31,https://p.scdn.co/mp3-preview/161a0ce81dc128613c7ac26c6edc17d35a0e1e9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Was bleibt,5pMn20d5ItxXRdQOEYJiLj,Madeline Juno,6u8KyY2rfBGDtDejRJ9JaQ,Was bleibt,2rGZM3cxpmyrRYP4LvPv1z,49,https://p.scdn.co/mp3-preview/0a00e9efab4b723683b4a12b9b4f5981b068f2eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Macarena,25IrLROBpSpXCAD89NR1Wq,Pietro Lombardi,387fj6TuPJ3y2H8ViAm6r0,Macarena,7lBqC1wRM76s30XOsvkeis,70,not available
59,Wenn die Welt untergeht,62UZ6WIrUnUwgJOcObgiNl,Emilio,1HFnM3rs2ZJWVL9q273DYF,Wenn die Welt untergeht,2M1IKwIAdDXC7PLaDmurBr,53,https://p.scdn.co/mp3-preview/5fc4a0d6299089f892133f0f9f1a16c2cff1c60f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Gang of One,2GquAs6RSWrqomHl9jBRpc,Naima,4Xy92GspQZsoTZi2ZgmE32,Funken,2w29HNSX5pFh6ZD5guLwjC,32,https://p.scdn.co/mp3-preview/5120bd8e1fd202f15785b524f2bb33fa99611863?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Es ist vorbei,1blzyp58sQneJMt1RdrEip,Thilo,5aBXS5itYuX8tJPtEwH2up,Es ist vorbei,0vS1Mmb052jZLCHucU5AcT,44,https://p.scdn.co/mp3-preview/ede3e21b6e4753af5565517d490debfbd7f72ac7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Ich Bin Da,6uBGzLJ20SKBEANWnBjghx,Vincent Malin,05gLAfcZRjyxxr96ebcqbG,Ich Bin Da,2UXi5l7ONw7baVD6BJGynt,46,not available
63,Hundejahre,2XgefbE9TlTSMZLl1iTXCj,Haller,62U6nJKR1V8QOspXUzWle3,Hundejahre,6EhNfTHl17hlIcIPJtIVl8,41,https://p.scdn.co/mp3-preview/94c4e67d4697a4c904747d810ba6d27fe1495df0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Das Wenigste - Biztram Version,6Q9LAvjtaEjre2qwvJlsGm,Max Herre,7IpWQKu80qQvyer3LO6SW3,Das Wenigste,7eE9npByPbKU2gzaADDBMd,41,not available
65,Glas,5DLWpiBqxBGftszZVqatEY,Mijo,1UFe8wvqGgbzvRGq3yya1X,Glas,4SYN6Nx6X3Yyw1DU2N0BoR,44,https://p.scdn.co/mp3-preview/d5618304adba68e2bc9d48ce154a2430944e8ba2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Astronaut,0Itr4oK5M6XBOn3R4crXlC,toksi,5vek8wrRCD5UxnUlctYXgx,Astronaut,1dTieB3YaIJccJ3u8KHRE7,44,https://p.scdn.co/mp3-preview/99287bd8076baa46a9b83c667881c68b5127df03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
