Feelgood Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,180310,spotify_germany
1,Hoch,4SWu9u2dLzmYa8dMieyayQ,Tim Bendzko,3xDVmZmDpaF1uuez2N7mKl,Hoch,3zB1yfRc2e0vMayXMi48dS,77,https://p.scdn.co/mp3-preview/ee56a859c14ab29aa75e5bb5ae0efff2e0826a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Back to the Start,2i2JtDSr6GbkRpTToH15SN,Michael Schulte,21aa4pj9BvbFB2iT8kRpnq,Back to the Start,4Dz14V0sYmFgjB8qb1a00r,71,https://p.scdn.co/mp3-preview/8e3f45afee33a94c4c6ff406b042908a7887118c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Small Steps,306e44d25ZdX7nIlu6wy4D,Tom Gregory,6Rmg5JiRphFMlhkwGNl9Fu,Small Steps,437Z6zQZRubtLwGxczf3ce,66,https://p.scdn.co/mp3-preview/4ac5a66f1d890177b270d3ebb51883d6eb439494?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Kaum Erwarten,6UR0WjQTWLgyVWxAaXfrH5,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Irgendwie anders,5tNgkRtA8Bx1cAYLLmxomw,63,not available
5,Change Your Mind,4kOlyvj9WiPrI4zpmzKAeA,ELI,63gbXCha1jpkrJJ9K5gGpR,Change Your Mind,60PSfBhVSZFJj302rOs4DY,63,https://p.scdn.co/mp3-preview/924b2708dc291b8a6e4a2d8c0a6dfc33e3d5d1c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Wild Stare,2SClPoLfPJmwrr3EyfgRTS,Giant Rooks,5wD0owYApRtYmjPWavWKvb,Wild Stare,1dNicYsMG4Beogrx8blBYZ,68,not available
7,Say Love,1csB4kgdyglOQdH0EyFIqy,James TW,0B3N0ZINFWvizfa8bKiz4v,Say Love,3P7kKngBRwE0ZZ6lQDXi7a,24,not available
8,Loca,6hkr3LNGKUn1492Cr6YSAi,Alvaro Soler,2urF8dgLVfDjunO0pcHUEe,Mar De Colores (Versión Extendida),66IXFg1AukADK41CP0xANr,65,not available
9,Brot & Wasser,42bDVv9iUVzvEfWxgCALD1,Xavi,0ZCbxUPZReHqmDsGmiRvL1,Brot & Wasser,36H9k6NhxD2BLoIfh02wuY,52,https://p.scdn.co/mp3-preview/198fbc53e1cef70e3166b0b3d283952c2e0c6ab7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
