Deep Listening,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Broken Clouds,7q0OGG60Em2wwPNDpBFPGy,Gaussian Curve,2rxgmguaQSynTMnBKZL73G,Clouds,4FC9qI04vobItNEKVeRh8Q,41,https://p.scdn.co/mp3-preview/da05f52b176ce6e39388ec5ca1ce00470a867902?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Arrival,0kAIEMckzx7krVzOP0xIZZ,Danny Mulhern,4tc9PdoWcfLTI5ZcNIhWuU,Safe House,31cCUJWMaRWwexarEm86Y1,39,not available
25,Asia,6kg3oZmQjDU1nMLOWU3gVP,Kuniyuki Takahashi,53JsFUDYcN2jw6v1nF7Z82,Early Tape Works 1986 - 1993 Vol. 2,4h1Yp6ITa0R2ZAB9YTsuyL,39,https://p.scdn.co/mp3-preview/11e985bb69c7e359e63868f4fde343e6c53296da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Timeless,2N2SrDqaD0Kf4k2ITxieMQ,John Abercrombie,1OCdpTg8d7Ehpj8B9j4iqa,Timeless,3zrFls5MpfT6VOquQmuXaW,14,not available
27,Waende,0jIymbEdH6q5ZgFVwGJehs,Ceeys,6K8BBZapSLE6XGXF4htbIT,Waende,3w9bvWO480nCjEQuxzwrkc,42,https://p.scdn.co/mp3-preview/13dacb7a0078260d5d64b70c6d7d386f10177fcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Crystal Silence,5F8rPLt2c52p0SK7kiH26b,Chick Corea,5olDKSsFhhmwh8UCWwKtpq,Return To Forever,6M0IAJHwQ6dFNtTkFsXCJc,59,not available
29,solari,56TYvI2rgYT3tdH77D44jZ,Ryuichi Sakamoto,1tcgfoMTT1szjUeaikxRjA,async,55BwNuGPkSSKOCBkTSCQWA,36,https://p.scdn.co/mp3-preview/32677ec6c4fa45397059b8672873879ee494f66f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Sekoilu Seestyy - The Madness Subsides,2O5tzTGzB0StE81ogR3rko,Pekka Pohjola,19ijg5n90fExbOKQd3E0p6,"Café Mambo, Music for Dreams: The Sunset Sessions, Vol. 1",2dApocl3L27Wa7y6ZKdyDZ,52,https://p.scdn.co/mp3-preview/10a5272a6c42db8f4e87547e94c0e1df1d1f1cfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Die Dinge des Lebens,031TQHn8ICGcAKkOwWvMNG,To Rococo Rot,0DRlmNJq133uYhzXxJfF3a,The Amateur View,5zXCkTQBeSfeSxEG82DRRM,38,https://p.scdn.co/mp3-preview/19b7d54887a59e3922d78dba88123edec9e2aecc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Impossible Island,312f1c2NbtQKam65h7Mq39,Gaussian Curve,2rxgmguaQSynTMnBKZL73G,Clouds,4FC9qI04vobItNEKVeRh8Q,45,https://p.scdn.co/mp3-preview/ff760b21f76e2eaa7d32ac279090dc46ec4e1080?cid=fa83a2fec7c440b7a2795d600d6b2c7e
