Rock Rotation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,217454,spotify_germany
1,Darkside,6GGpso9iwdxajUMNRlPAm5,blink-182,6FBDaR13swtiWwGhX1WQsP,Darkside,4ZkVdtYgr99rWfRs0fNO4D,58,not available
2,Summer Is a Curse,0cSNN4fgW1RFDQV58eVRKK,The Faim,6VsU92soWFLtVsSP65rkrN,Summer Is a Curse,1yQQOHHAxZAc1sI5K4sHrJ,68,https://p.scdn.co/mp3-preview/9362178f7985e3430aecab91583fd5f853243ddc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Sober,0cqXXyYVBPinGEDkTN1CFx,Bad Wolves,0eI3X5rAzHRZVe5FPk4MN1,Sober,0NIv1Jyc6rRo0QoAINeT3v,61,https://p.scdn.co/mp3-preview/2804ad27e114036f949d9b0c43c30cc6d70eacdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Take What You Want (feat. Ozzy Osbourne & Travis Scott),4Yq3XUNfWrAPWuB94qkC09,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,81,not available
5,The One,17vJFIoTkN4MUYrLq90OyL,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,01020225,3pJAJC1AMqlobRSO1PYNFy,57,https://p.scdn.co/mp3-preview/47ec93ceaaa3eee9b1767f57153272c7a6108875?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Want It All,4tnmjplQQsrjhwtgp81X8J,JAXSON GAMBLE,4fClmcYOLFAp5rrKUqLHAI,Want It All,5jDvlXXPfXovaMIlHEzWet,43,https://p.scdn.co/mp3-preview/34e0bf0075e14c21d9907bd121bdeabee66a506c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,History of Violence,1aML2CdNXjkJJvIhzqN6Ka,Theory of a Deadman,74eX4C98E4FCrAMl39qRsJ,History of Violence,3Pe76n9u3N2DlLHgiEA13G,61,https://p.scdn.co/mp3-preview/c06fcafb8701ac8aaae8e6c9cda7317dfc9de0fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,The Runner,0Ea3bjl9YBHWoHeAntyqnZ,Foals,6FQqZYVfTNQ1pCqfkwVFEa,The Runner,6Z8MYRn1XEqvHCuVxV5Kji,29,https://p.scdn.co/mp3-preview/8d58b0fb4d1862caa129878944979410b0e81a2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,All The Way (Stay),7qVnkPY1UPmSeWULwXSW7a,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,All The Way (Stay),1nCmHK3wd62FLPSh1F4TfN,60,https://p.scdn.co/mp3-preview/c9b3bda41a88cf1a9c647cb72a6b734ad3c97ea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Oh No!!!,5iN7u2S31T8Mu5LC5JaCxO,grandson,4ZgQDCtRqZlhLswVS6MHN4,Oh No!!! / Rock Bottom,5o45LGmkLHsW07jhD3GCz9,57,not available
11,Fade Away,5gOFtUfBf6eI27zJWSXF23,OX,2K1IjZhKu1nIeXRKmJvWGT,Fade Away,3tm6BuVZKpxOuShgnnVM7X,36,https://p.scdn.co/mp3-preview/26f67f34cac28ff768ed980900868c245a085af3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,When I'm Gone,3VZjogSj2XePaVubGgFOUo,Dirty Honey,0XBRd3N11rCbh0s8qHf41m,Dirty Honey,5P1eT6Xpd9DNeSHJkJAzNo,30,not available
13,I Was A Fool,0yLT3sSQU6TkLdlbq0mHm4,The Cold Stares,0hLLs7dOw0Z1XBFFrLSDln,I Was A Fool,3NvKMJA950Tz5xx1CwOoRH,46,https://p.scdn.co/mp3-preview/63a7b18d496338c35c73dd86fe496b826000a0be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Sex Party,0kP4jYOuH9le6avYm2JnvZ,Left Boy,2gIGkRqCo4NK2PUCI8u4aQ,Sex Party,4NgAfTr86rkILEFBkhHZky,63,https://p.scdn.co/mp3-preview/a4deff5e6236a9f7ab8446f841c5f524a32fcc52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,I Can’t Lie,7lijOLYEQmjoHcbddBCdtk,BRKN LOVE,2Hkg1gn2Hpar1sVP8adtNp,I Can’t Lie,2xY1VBtn8UAhNluNy3W31b,40,not available
16,Heart Explodes,0BEQ4VZ9kZHHD8hw65aX7j,The Darkness,5r1bdqzhgRoHC3YcCV6N5a,Heart Explodes,6vQx39J1PfuqImoQjHfE4q,49,https://p.scdn.co/mp3-preview/7cfd713b564c82acdf5774a434319db93fc52faa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Rolling Off My Tongue,7qzXjNuwpSgqydOt5lv3PJ,Goodbye June,1l9I7G8J8AnMScWQwlNJ4M,Rolling Off My Tongue,51VR4e9Pbf2J6NADaSwEMO,44,https://p.scdn.co/mp3-preview/88765d0503815fbfe84c7acf0c39b5d1902ae1f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,The Borders,4oZxIJoCv6UVuseYGoy0h3,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,The Borders,5x4JCQ9nQE7qQoKyWY7D6f,66,not available
19,Shockwave,2UnqgtIfVMfZOvCDGZuUMI,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Shockwave,7hK48vJsNdxAT9hLwpWsAd,63,https://p.scdn.co/mp3-preview/2cae3e9f01697236625d55683c89f6c16bd93f29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Degenerates,77Ht6FFAeyHgKl6X87mnTk,A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,Degenerates,3G3EHIjrfZAcy6w5zIOggZ,69,https://p.scdn.co/mp3-preview/6c137edb6ebe31af1fe00d053cc7b4588bc6178a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Steh auf,1GDl9OOKwfxVDV8jh6zce9,Lindemann,65A714FqhSPjoFZeffQbTv,Steh auf,231la1R3Z2UWS0rjRTIm9U,67,not available
