Start Here: Eric Bachmann ▶️,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,183,mergerecordsofficial
1,"Jaded Lover, Shady Drifter",2zytqP3sbH6zeFR8SjqGxh,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,No Recover,2CQ4KWNpfSiF3myeBxh2AG,13,https://p.scdn.co/mp3-preview/6f0862d1cc5b4567f2706e517796a52e2196c2f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Daylight,13ROuKq2zrkH1jSg7tSbW1,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,No Recover,2CQ4KWNpfSiF3myeBxh2AG,14,https://p.scdn.co/mp3-preview/40cb4be00a75c02213128a3954891fa456cd83d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Murmuration Song,68lnzbuS3fYAeoTtHq5RSP,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,No Recover,2CQ4KWNpfSiF3myeBxh2AG,9,https://p.scdn.co/mp3-preview/2f864334068eb94d90ae49f878f6ee1bb375e480?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Boom and Shake,7BIm2oDTisDCPOfcfMhrsp,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,No Recover,2CQ4KWNpfSiF3myeBxh2AG,7,https://p.scdn.co/mp3-preview/4273f18bd4a59f9367a77a03c63457273faec31a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Yonah,1ulGvtCfIFwvdLICaKmKdf,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,No Recover,2CQ4KWNpfSiF3myeBxh2AG,7,https://p.scdn.co/mp3-preview/1622527b92f9063eaab87b1cb3ba23246cd2d363?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,No Recover,7n3s9uDmOZVfCIa1h6beIL,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,No Recover,2CQ4KWNpfSiF3myeBxh2AG,9,https://p.scdn.co/mp3-preview/31c27c9afcc97be491a6b3232883b759c49a725f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Waylaid,7KmHocSjV6crXwMyluS8yy,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,No Recover,2CQ4KWNpfSiF3myeBxh2AG,7,https://p.scdn.co/mp3-preview/8b48a3b700f52b1f465f43e074a7861d91db9431?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Wild Azalea,1gKDkz4XPoJtpEuOkigoZF,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,No Recover,2CQ4KWNpfSiF3myeBxh2AG,7,https://p.scdn.co/mp3-preview/f5f686b49bff3ef9b46e42163f00c692ffed16f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Dead and Gone,4IchQr7h8b9lQWKECIri5d,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,No Recover,2CQ4KWNpfSiF3myeBxh2AG,7,https://p.scdn.co/mp3-preview/340bbaed81966ddb5d51a9260bba18b32c87d04b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Web in Front,3NvlurGsg6RgPlgY2VVfl9,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Icky Mettle (Deluxe Reissue),49BM6MWu4LbkGtCqLYEy6N,44,https://p.scdn.co/mp3-preview/7df378ac91ec265e1489b638b4f0421e4c8e4af3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Crowned in Chrome,78gv7ayWo3sjdnrKntKfx6,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Crooked Fingers (Deluxe Edition),1yiOYN9K3XULLBTJVFUD9b,8,https://p.scdn.co/mp3-preview/0b9ea8a01ef15de3ed1a187bb0ea070e2f85b09c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Harnessed in Slums,2M9Sl3mxm6KsryO9hAKzkd,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Vee Vee (Deluxe Remaster),3lq3NzWj52QmGM9k6hvCTS,21,https://p.scdn.co/mp3-preview/e46520c304a7b50beb2f2a9fc042c6c29d2d570f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Sleep All Summer,3ImYc5hhlFtS7GCwo6R1R4,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Dignity and Shame,300X9iphkJZZ8ZZwIDGFSK,32,https://p.scdn.co/mp3-preview/843bcdae3c9d6365208d85aa4d608912a10fd31b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Mercy,32Wqig5TwLDMhpJEuGVqNs,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Eric Bachmann,6WKrYrckgyk7AaRfQJc1kj,14,https://p.scdn.co/mp3-preview/a49e0ba1992425992b0c043c76eee7fd18bf045a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Dead Red Eyes,533UCfqzBd4noPSCjX1Oyy,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,White Trash Heroes (Deluxe Remaster),5yerx64vm4bGsX0S8qSPzV,15,https://p.scdn.co/mp3-preview/ba036fecd0be96d75cdc2292c69b0bcda26759f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,The Counterfeiter,3bfKN2Pb6eo2BiRIgnkqui,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Breaks in the Armor,6tlAJGxBtGYFS7PXRqJA5n,8,https://p.scdn.co/mp3-preview/fbbcb6de0f3e7233c2f1b5b4a636b7bccab01bf9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Strangled by the Stereo Wire,0ynFY0PXIamAYEyLGcwcHj,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,All the Nations Airports (Deluxe Remaster),4VEYyNc1AjoB7McU95CFrU,12,https://p.scdn.co/mp3-preview/e83a4dc1d726766c1debd0cf74ae27503011783e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Carrion Doves,7eH88Sab3ZO3KGiuiInnsC,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Red Devil Dawn,40jWxmDHFZxJlFbjhb1pr1,4,https://p.scdn.co/mp3-preview/a530022d90557e9196f033aa005f24086d9e38f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Man O' War,0CsyQdN07bwRDptbphJKwg,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,To The Races,0zeFnr71p2fXKC2IcCd0oJ,15,https://p.scdn.co/mp3-preview/d53afd799f19abc79007c761cfe2dc8cb2dbd4ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Greatest of All Time,446QscbknuEc5rsvjN6qh5,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Vee Vee (Remastered),1biYXRE2kLhnT4XJa9Ko1P,15,https://p.scdn.co/mp3-preview/616032a029d4accb769575d4e21a24606a16ef4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Might,69i5ALBG4KwivrpEGX9oCF,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Icky Mettle (Deluxe Reissue),49BM6MWu4LbkGtCqLYEy6N,25,https://p.scdn.co/mp3-preview/855bb6b5a5ae1038d348322950e23ccc8e776063?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Under Sad Stars,4XHXjtt26uwoqcKIlq2yWi,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Crooked Fingers (Deluxe Edition),1yiOYN9K3XULLBTJVFUD9b,5,https://p.scdn.co/mp3-preview/11ad82ac2fe0b4b48935f78b00e56860292f7387?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Modern Drugs,0MQM5Z5T2wzT6tFPit9iOA,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Eric Bachmann,6WKrYrckgyk7AaRfQJc1kj,8,https://p.scdn.co/mp3-preview/308c6361e5a93f9182ab364cfd0937fb1bd7dff4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Fashion Bleeds,38gMRJVLZFluX2b5J7aRzQ,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,White Trash Heroes (Deluxe Remaster),5yerx64vm4bGsX0S8qSPzV,16,https://p.scdn.co/mp3-preview/0792c080b7506f5469e8f6797b35f65eda6a0fe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Rotting Strip,0rFNQ0dfcxuW1IvkERrTrF,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Bring On the Snakes (Deluxe Edition),5B1FPXn7puloyvXWcaCmx9,10,https://p.scdn.co/mp3-preview/194d5c726e2745ffedfd7739598dccfc54cd7831?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Plumb Line,7bkhSRgLC950I22rntsMe6,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Icky Mettle (Deluxe Reissue),49BM6MWu4LbkGtCqLYEy6N,24,https://p.scdn.co/mp3-preview/71cbac8460547da83bd7eb2cb12dde1992b07d82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Liars And Thieves,2UrI9jDTm6BxP3JDl9FNYh,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,To The Races,0zeFnr71p2fXKC2IcCd0oJ,5,https://p.scdn.co/mp3-preview/9447d0681f45b6dfbbba2d0bdb9d1f9679d897fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Your Control,3TYDVmBhfjFKckGKy7iAMB,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Forfeit / Fortune,693wUzgN811riAEBsWJkKd,10,https://p.scdn.co/mp3-preview/985a6071db2a56a1801aa2579541ed3e9aaa42e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,1985,1W2OLGFrDEnLZ7Bf9kNpwx,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Vee Vee (Deluxe Remaster),3lq3NzWj52QmGM9k6hvCTS,6,https://p.scdn.co/mp3-preview/4bb6712521cb49a72154a38eb9c3b1dae4fc06c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
