The Magnetic Fields - 2-Minute Classics (Artist Playlist),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,29,mergerecordsofficial
1,You Don't Have to Be a Baby to Cry,7cEQwA94F1D14O6Vz3Xk51,The Caravelles,7uZF0rHNG0DlPOd1gd7Tiv,Complete Caravelles 1963 - 1968,2fQIN6IyFTqzgvPbt4ySyQ,0,not available
2,The Crusher,11EFfHxSwG0zAuA9HdIdFP,The Novas,6TOybZZvFgVCTPsTAghY6I,'50s & '60s Lost & Found Records Vol. 1,2KfDnIo1GrOj79ZyuYcrxS,0,not available
3,The Lady Came From Baltimore,2VSUs03Dyw4Nyp3m3fmWm6,Scott Walker,04tBaW21jyUfeP5iqiKBVq,Scott,7iE7ZG0P5vPifZJr37B2bD,0,not available
4,The Unidentified Flying Object,2XuTIP3uT9E48YJ1cnvDj9,Perrey and Kingsley,3daZ54uJ2NvlclfdEkfa4R,The Essential,6H7STixLrUX4uIosbcYCV2,2,not available
5,Buzzsaw,416YhOc8f0U33ukDt0W0sM,The Turtles,2VIoWte1HPDbZ2WqHd2La7,The Turtles Present The Battle of the Bands,155OAoTAYR4Uu0LpSMvy5W,32,https://p.scdn.co/mp3-preview/3dfc057847d6f9b0a43d92e506e608c29e60504a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,When I Needed You,5GwMXNfstkqZCZaecNHmSx,ChainReaction,5mWYC9oDh1Hn6kUYlD9gaL,Pandora's Box,4HxV2LEGimmJoD65yllfSL,20,https://p.scdn.co/mp3-preview/965cd61cb09e4b798d257181e6f413de254f43b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Sweet Young Thing - 2006 Remaster Original Stereo Version,0BQOQg32KHdWJro82n4EDX,The Monkees,320EPCSEezHt1rtbfwH6Ck,The Monkees (Deluxe Edition),1q1LuLo92N5cl5e0GKRq7h,27,https://p.scdn.co/mp3-preview/ff4131362715d3b178fc3c8da6fa0d23647ad83e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Love's Made a Fool of You,7u3QX68uk2LBCG1UUrDFw2,The Bobby Fuller Four,5XoM6cP8fQykllfuK5V5TR,Rhino Hi-Five: The Bobby Fuller Four,7MWScLSKa2rBSMg2AQ93yE,15,https://p.scdn.co/mp3-preview/0f54c17be3fd83481c596060bb502c4bb06dadc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Golden Hair*,5pQLvCMIqcSd8B4LIO6raT,Daniel Lars,0L154wZHpfOhOF92zF7zda,Long Gone - Beyond Time,3HmPeJbOrXmmi16LjNhvXD,0,not available
