New AF!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1391,hot97.1
1,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,89,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Dior,79s5XnCN4TJKTVMSmOx8Ep,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,Meet The Woo,6d1vGZsr6Uy3h9IigBpPAf,68,not available
3,Fendi (feat. Nicki Minaj & Murda Beatz),4kF9ebsLYzO3MMZI6gYbyz,PnB Rock,21WS9wngs9AqFckK7yYJPM,Fendi (feat. Nicki Minaj & Murda Beatz),5ukHOb7uhXyvruk2YaAbt5,61,https://p.scdn.co/mp3-preview/52285cfca2779519c8ab259e2e7db834e21dbfc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Panini,71BrrQxz8mZAneNSDE9Lov,85,https://p.scdn.co/mp3-preview/d7592fb6ede98cad8fc13bd08d01a2cafcae5a2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Behind Barz - Bonus,5r7WvQtyPfy1xch5zMgGRp,Drake,3TVXtAsR1Inumwj472S9r4,Top Boy (A Selection of Music Inspired by the Series),334X6XoNKUzpAQbm5FPsMh,83,https://p.scdn.co/mp3-preview/73e9e47faa119ff50413dc7068362cbc1aef6c65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,89,https://p.scdn.co/mp3-preview/ae942ea0edeae519e31555386d89b49e5242a62d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,YES,49npsHkkRrF42IxwU10Egt,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,YES,0E74lJz7EpijEP2YDHGDYh,73,https://p.scdn.co/mp3-preview/b2bbf9072aed9b255c6176f96b1ed7ed7625303f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Safe Inside,4Qvi3NcJsSdK2DyrcdNkMz,Arael,3Qx4fiY080cY8vyPA0q1zX,Safe Inside,5T5BlNcyi2uyL5vsAI0qmi,6,https://p.scdn.co/mp3-preview/5c7549dfeb3295d6b6ed0c64cfc040b9e56a9886?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Bed Tyme,62OGEbbDil1e4F2IIlnPJA,Loaded Lux,6zRVoQ1aCEUA2aXkbJQiAe,Talk Dirty 2 (DaLux Edition),0sDBBQYI0OJ7JtjtSKOYmz,20,https://p.scdn.co/mp3-preview/042b7777099f67bc5a14dab071c07986a1d2e8ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,iPHONE (with Nicki Minaj),3GX2hFAekmSduZzcS52OnR,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,77,not available
11,No Hard Feelings,4dHLTRnNrrs3pDXeQxj1g5,Melii,4udfTw7V8jI4AHi7PEfJfj,No Hard Feelings,3JO4jf0x5q2Wa5XlhyPqys,57,not available
12,On The Road (feat. Meek Mill & Lil Baby),0hGH0S74Eoyv6mXZcOKtdQ,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,82,not available
13,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Won't Be Late (feat. Drake),4v0FSMsulZqfi28KIdwDfb,83,not available
14,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,87,https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,87,https://p.scdn.co/mp3-preview/909f15e56869916ec4a0b8bc846c6282fab32a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,BIG,2qSpOQdHmHpOcVXzV9WU5w,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,BIG,15Hb036I0nq54xg0ZRGZLr,76,https://p.scdn.co/mp3-preview/b48bc6b0ead1967e78fc348fc2192732fff9cabc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Ballin' (feat. Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Perfect Ten,2WrNHOba5u6P9S9xEboaUy,83,not available
18,Did It Again,01Qb6dN5suQNu87VJ1mIpf,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Did It Again,1NQuFYzzL0WbNOTjsXzXYf,79,not available
19,F.N,0UPBidRYcgJ2mjZlk08V8x,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,F.N,6Wsv1spcNRL8SMOWie5cdA,87,https://p.scdn.co/mp3-preview/10fc336ccb595bbc474f2427d8aedff4b57d7bcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Dumebi,1sBX7EfLOgP3u6gHJBSqQg,Rema,46pWGuE3dSwY3bMMXGBvVS,Rema,2S0vU69yNYqOkHA62JSjT8,61,not available
21,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Perfect Ten,2WrNHOba5u6P9S9xEboaUy,87,not available
22,We Gon Make It (feat. Meek Mill),7Eha3JBkA7xsMUEXng7lUP,YBN Cordae,0huGjMyP507tBCARyzSkrv,The Lost Boy,6Pb7PMZtW0fuEM1lCGvCDu,63,https://p.scdn.co/mp3-preview/958942ecd5c72739367312c144281965863eb6f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Big Drip,6SKdkXUDJjxiCjKYLsg19y,Fivio Foreign,14CHVeJGrR5xgUGQFV5BVM,Pain and Love,34Hpi7I6d4Jz0gHOV110DX,49,https://p.scdn.co/mp3-preview/335267b10509a8f6d5c2a652d3360a4218c960a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Ain't Enough,7N2RoXqO3Xm5k4R2aW6N3h,Swave Hmg,4d4Vi0XaigAPlT0jtupdkU,Forever Me,657y8Z0D4eXmCbhMO6oPIp,13,https://p.scdn.co/mp3-preview/d621758eb3872c4b45720b0713c64d3526880cf7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,VIBEZ,0fySG6A6qLE8IvDpayb5bM,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,84,not available
26,RAW SHIT (feat. Migos),1CCDIow4pPYyJYzhtTUYz2,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,80,not available
27,My Hitta,10LK20KTYWu072MC8yvXnV,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,53,https://p.scdn.co/mp3-preview/ecd626628c9afaf0636c159178b42d3e18ffc430?cid=fa83a2fec7c440b7a2795d600d6b2c7e
