Poolside Disco,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,93678,spotify_uk_
1,Emotion,2CiOFdudXTfZfsd1lZqrhR,Purple Disco Machine,2WBJQGf1bT1kxuoqziH5g4,Emotion EP,1o9O7AGvoCSG8w2Ana24YA,56,not available
2,So Sweet,0UXqqOq4p6ycJXBBrOLjJ9,Thomaz Krauze,2vYp24qYifgpdEUR2ebhDE,So Sweet,4fVj0O6kjlCv6eW3j6q4WG,40,https://p.scdn.co/mp3-preview/8d3f811ced8905199b746aaa9138d8affd3a8d46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Alpha Bravo,5RKWEhfFeV1Ly33ZFtIst0,Cody Currie,0ymdoOsfzRbCoAMfJPpsEx,Alpha Bravo EP,5f1qreeTVIMa6DQ7npOEa4,38,https://p.scdn.co/mp3-preview/3dd78c05b8c0544c8504c8c078aa49984874692a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Hey Mister,2LqAEimH89IoYqTkDc1Fo3,Detroit Swindle,6hJtgCB3L5cnJSND7sp6GU,Hey Mister,2JA8L3SLUvDR2WjWNEc85W,53,https://p.scdn.co/mp3-preview/0bc0bca6305054471535f276e7f0bb196b584b0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Walking Away,5vhNn6ZfEXbFMw0qR6Grpn,Loods,1uF7AFfGahplhiaHEy9NNl,Walking Away,2WJYEyGr2q6xUt0jyDuJq1,49,https://p.scdn.co/mp3-preview/2c9576c339d58173dcc0f2b8e63a9e195c8557ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Movin',2u00CbgIyWfkiLrYgW8IK6,Tender Games,0ZkJ54ZnjZt0ZuoQpXbR8U,Movin',36EiK2K8W4koaWgEa3jhEU,38,https://p.scdn.co/mp3-preview/947859a2e85414a8d589bf15ed38680a8846760e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Hot Summer Love,5dVoFQZwySXrBDd3AszUIe,Jordan Astra,0nTUhCTsVt89nR1U5Ysub7,Hot Summer Love,0SNFUiPfcs9jo8A5a6zs07,40,https://p.scdn.co/mp3-preview/f18b8f1ba4a79f1660fb3663fee87cc3e8355452?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Can't Explain - Edit,4xO71bjbkDvOUtIcE169oX,Alex Virgo,2Gfe6n0twVYYNqUzWfhMlt,Can't Explain,0N0hdhMW2NWPkLUbFoF0aj,40,https://p.scdn.co/mp3-preview/316b6d81cfade6ce019ab49da9f4b51fc1681059?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,One (For Mom),1jAmIJHFuBsTIoUqtUHU27,Nachtbraker,4mS8v6OGLE0fegaoJL1IVw,Leonardo Ceviche,1RP1T9yMUR1sJg5jFucI4N,35,https://p.scdn.co/mp3-preview/3cf559f0dfa3d4e2a1dcc1d92e1bec4845aa5779?cid=fa83a2fec7c440b7a2795d600d6b2c7e
