The Indie List,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Human Contact,0PVrR8a2hPIBmL8S3oxRf5,The Howl & The Hum,3EQ310YOzcS1pJqiaoDs32,Human Contact,5l7XGLre7EqG9o0BKZmOEL,43,https://p.scdn.co/mp3-preview/725cfb0ee0b92c75cc1a0499459f9c02f059319f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,I Still Believe In You,3vMFfT931r2kTipkSmgryC,Flyte,3ZKyADicHqelBDeADLutiu,I Still Believe In You,5MuJ9bgW41kvUGvmPlhBPk,43,not available
25,Dog Walking,4aLsgVtEcLz76xFkGgpjXV,FEET,7HeBQpJ3UmyybgEvqfdRAE,Dog Walking,7KCkwjUfeuHEwzBgDx2KDj,32,https://p.scdn.co/mp3-preview/21bd213cb4c9310c37c4c66d70a7fb45b744b60b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,The Runner,0Ea3bjl9YBHWoHeAntyqnZ,Foals,6FQqZYVfTNQ1pCqfkwVFEa,The Runner,6Z8MYRn1XEqvHCuVxV5Kji,30,https://p.scdn.co/mp3-preview/8d58b0fb4d1862caa129878944979410b0e81a2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Heavy Jacket,3TWUzf9n2TQdQCKYU4LiGX,Courteeners,1NfJU4hy56Z4UM4iyIa1B2,Heavy Jacket,1VIZVtdQpHj3496MqE9f9r,54,https://p.scdn.co/mp3-preview/75676b714933834735e44627e6085b6a0babcc3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,10/10,0tByDZgQzoNfFFmpgleB0s,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,10/10,1dIQCUmv1flCLWByivrbxQ,76,https://p.scdn.co/mp3-preview/c4c347185ae8a5646fb7ab3f8b17a9f34a18d248?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,One of Us,7CMxksycvvl7dg12SJXVaO,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,One of Us,0MhkVEeQASqX4Vg0AUOitn,65,https://p.scdn.co/mp3-preview/7294d4a9c09f7f901f22b9c0e288a168dbfee845?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,come undone,6NKvF1ZPMTWYCXv1ODU0pr,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,1MyAYzrDvFNjNY689PtpWF,42,not available
31,Not Enough Love,3WRc0IGP5oLXEfMcYPxSOm,Larkins,6cCfC12LHtD5XIc1rLsm8Y,Not Enough Love,4ck3W8tScR9fYaQKRusKs6,48,https://p.scdn.co/mp3-preview/d0d82f609dc5070482d0687142cec8eafc87a34a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Something More,3T9isJMvarrqOH4irsXArJ,Circa Waves,6hl5k4gLl1p3sjhHcb57t2,What’s That Left Over There?,0Zlm5gRd3W3q5YlcSenI02,46,https://p.scdn.co/mp3-preview/a24b1d3335a48c7a677e45ecc4a208513fe0fee5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
