Monday Motivation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Build Me Up Buttercup,3XcuLPQb1LG13ZJEEa6wUI,The Foundations,4GITZM5LCR2KcdlgEOrNLD,Build Me Up Buttercup,0AFXSZYiYyggIkcYW5GK0x,67,https://p.scdn.co/mp3-preview/909f4de04447160b7e70745b872f953ff531e957?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Strangers - Jonas Blue Remix,5ELnUAB8NAYoGF6bQ8Z84g,Sigrid,4TrraAsitQKl821DQY42cZ,Strangers (Jonas Blue Remix),2MMgXrYCLrXbnCtl2sKwgj,4,not available
27,Motivation,0rIAC4PXANcKmitJfoqmVm,Normani,2cWZOOzeOm4WmBJRnD5R7I,Motivation,2r6BEK0wzXbL8JHyCkeJkG,90,https://p.scdn.co/mp3-preview/f6877dfe11a1c9ea4731947219a956cd18c6a7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Your Song,6lrm01OVZZVmarH2XLSAXZ,74,https://p.scdn.co/mp3-preview/91a31303c4101d8cdd1a7a3894644cc236c6e776?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Found What I've Been Looking For,47XydooZAZp5IoUNimBeo1,Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,Lighting Matches,71OGF1wv6y2vsWQWgxZN1u,4,not available
30,Bear Claws,5B892it94GTN2sM3hFLD6M,The Academic,3VLf4DlBTN2ZRwygS3TNti,Bear Claws,493cTHWf4X2ciRnNPnttvD,3,not available
31,Elvis Ain't Dead,0Vkp84E4KHl53MtEz1ZkIK,Scouting For Girls,2wpJOPmf1TIOzrB9mzHifd,Everybody Wants To Be On TV,2KM0DLkTJv8Smpn7mxZIrZ,35,https://p.scdn.co/mp3-preview/715c3673c9d786b825806d8cbf821189b9917159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,MEDUZA,0xRXCcSX89eobfrshSVdyu,Piece Of Your Heart,0agqVZjOqVtqHkq3pTFPXb,41,not available
33,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Giant (with Rag'n'Bone Man),4PwXTHenZZx7ebgsnTM65K,84,https://p.scdn.co/mp3-preview/0f2bfeddc5705a09caf868f7e5aebf7e9fd8b6bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,I Miss You (feat. Julia Michaels),2xmrfQpmS2iJExTlklLoAL,Clean Bandit,6MDME20pz9RveH9rEXvrOM,I Miss You (feat. Julia Michaels),78zct4Yn5hwMqrlh5uQedB,26,not available
35,Don't Kill My Vibe,2IOViM71uj8xksoqLb8TCm,Sigrid,4TrraAsitQKl821DQY42cZ,Don't Kill My Vibe - EP,0oNBsmqlY0PBPGhJiRwUQY,53,not available
36,Keep On Movin',0mrU1w2UMIZnR2I6oguwGz,Five,6rEzedK7cKWjeQWdAYvWVG,Invincible,72qAXkZ8keSUHe55hhEVQG,59,https://p.scdn.co/mp3-preview/8e510e90ee75c68cbc2db6b532dd6dd0a8462aa1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Waves (One Bit Remix) - Edit,1i0HlWmHrKFv8bIIuqwvIW,Jeremy Loops,0Dct2Gu0qEbgGRjfaxew8g,Waves (One Bit Remix),0wrB09KcBne6IC82KK1HPW,5,not available
38,Dance with Me Tonight,1FSWSs9CL01RCYxXtm08Rf,Olly Murs,3whuHq0yGx60atvA2RCVRW,In Case You Didn't Know,2OvZ8JCShhvxNkptwoGjve,67,https://p.scdn.co/mp3-preview/882a4b1505b9bedf8fe156080cebb23193b3540b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Not Yours Never Was,0yBUmh8qLAsYAiR9ODXIb2,Hannah Jane Lewis,62ih54WQXcbwFrvhffPxcq,Hannah Jane Lewis,3qCY2WiIGsyoPTBR0Qkblo,49,https://p.scdn.co/mp3-preview/ebd12bbd62bbaedce19714a51b5d666f3afe300d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,83,https://p.scdn.co/mp3-preview/d8a0e05a79451d12c6cb5425c50c8d2ff00d4705?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Capital Letters,0m6TrXRLlNFLkOGiW38kDf,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,Fifty Shades Freed (Original Motion Picture Soundtrack),3hXz1dCjtLebg2PabyUKJZ,12,not available
42,Emotions,2jPylaimdnpQ8vT3NBdqSO,T2,4Q5MS10mWfrDyiXVeAAzVd,Emotions,7IrWGC18xlF30ijAGqpG78,48,not available
43,9 To 5,5UWYJWoVXRpaLuzzXmHqg8,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Dolly Parton Slipcase,4QrOzl1g2R19A8b2mjGHGx,20,not available
44,Reach,26ncGZfPWquaQ4PfTCcsID,S Club 7,1kM5rgJvkiDMOoKX56H6pX,Best: The Greatest Hits Of S Club 7,3WMCqcQhRtuJAJPRZtxS1U,58,not available
45,She Moves In Her Own Way,5xoUgPXbMNUmoHU0Enwtwq,The Kooks,1GLtl8uqKmnyCWxHmw9tL4,Inside In / Inside Out,03JPFQvZRnHHysSZrSFmKY,71,not available
46,(Your Love Keeps Lifting Me) Higher & Higher,5qyq1H5OPMlfuvZQ1wQNo7,Jackie Wilson,4VnomLtKTm9Ahe1tZfmZju,Higher And Higher,4OgYmImCWz3VK7At9GTWHN,67,https://p.scdn.co/mp3-preview/6c11178b8aab778d455e09f9f33754ffc55c0de2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,You've Got The Love,4eH8TpawYJMjcDvC0LDHYv,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Between Two Lungs,3cVNp1AXxdzoKIs9r6keWU,15,not available
48,Talk - Single Edit,3QNuzLtjHZ18EcNMbt6M91,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Talk,0po4dvervmBYcVIX0nMBo0,56,https://p.scdn.co/mp3-preview/b45a1a1994144fe64cedec63d685e2756feb0275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Sun Comes Up (feat. James Arthur),6SUocL0caib4mLHe8ZrZzi,Rudimental,4WN5naL3ofxrVBgFpguzKo,Sun Comes Up (feat. James Arthur),5UGyzp6HT8oy0eTkBfxtQ8,66,https://p.scdn.co/mp3-preview/f41d62f292e4bd7cc6b0f63ee119b4585a66f3f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,She's On My Mind,2nuveZFpiOildSCxXuL44C,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,She's On My Mind,1Fk65av5KWeuAYGKLOoru9,7,not available
51,365,2XWjPtKdi5sucFYtVav07d,Zedd,2qxJFvFYMEDqd7ui6kSAcq,365,7DMS5dzWQu7R3D59CKw4TA,79,not available
52,Love Machine,4G2CzdlKW7Ntk42eyN7hBe,Girls Aloud,12EtLdLfJ41vUOoVzPZIUy,What Will The Neighbours Say?,6aUJ1VCdUVIMkzcs1kd16o,7,not available
53,Riptide,7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,10exVja0key0uqUkk6LJRT,Dream Your Life Away,6rIbiUMmZJfqJRnXhVxFvg,78,https://p.scdn.co/mp3-preview/0dd45171d094ca8d374219054879662fe7982462?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Little Of Your Love,0dHM31MLd2F5jzNPDMHOpN,HAIM,4Ui2kfOqGujY81UcPrb5KE,Something To Tell You,3EFSOzgqaOQqJCMAMMn4Cl,55,not available
55,Love It If We Made It,6WmIyn2fx1PKQ0XDpYj4VR,The 1975,3mIj9lX2MWuHmhNCA7LSCW,A Brief Inquiry Into Online Relationships,6PWXKiakqhI17mTYM4y6oY,74,not available
56,All Day And Night - Jax Jones & Martin Solveig Present Europa,33CfD8UkDEcSdAP9j4QpUY,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,All Day And Night,1VQjtx21AAQnQe442bJssW,76,not available
57,Don't Be so Hard on Yourself,0sUyqewVzwv0e5tK3hS6vJ,Jess Glynne,4ScCswdRlyA23odg9thgIO,I Cry When I Laugh,2xVeccmEU0zklK4XSKiDCW,62,https://p.scdn.co/mp3-preview/508e071166fb8c564b90a1dc6c37f41e6544f077?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Cut To The Feeling,11dFghVXANMlKmJXsNCbNl,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Cut To The Feeling,0tGPJ0bkWOUmH7MEOR77qc,7,not available
59,Rain,2QWP8NYYplOqEFBYGCcq0S,The Script,3AQRLZ9PuTAozP28Skbq8V,Freedom Child,3W9NClLDhTHyRmy8ZLfoJf,63,https://p.scdn.co/mp3-preview/34111894a88a8df3e5e2a610f49f6fc12f475b7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Anywhere,7EI6Iki24tBHAMxtb4xQN2,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Anywhere,3syh4e0H2YnXmzGzP5Rd3G,75,https://p.scdn.co/mp3-preview/ec024df926734cd185ae9fde8d081cc4d451c4d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Fill My Little World - Edit,05ylwB7GLI1gxjUW6WCymy,The Feeling,4AksvCnkZaQoTu1nJr62Db,Fill My Little World,49s3f6CMY4BzcSLX19YEBN,52,not available
62,Gone,4UQeq4HUvC5uPEA9pWTgPW,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Gone,1Z4Y3sPwR7D7PzPhnjpnbX,72,https://p.scdn.co/mp3-preview/d24b760a09b2ebac420a7248788549e54d112d5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,There She Goes,4c6vZqYHFur11FbWATIJ9P,The La's,47Z8LEl3LnQkcpva0xSthT,The La's,1djwiQ802xeU8Q45jv1b0x,68,not available
64,Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,The Time Of Our Lives (International Version),0IuHVgAvbNDJnJepuSZ8Oz,79,not available
65,Suddenly I See,0UACObCoT1QlNDYroo7EJC,KT Tunstall,5zzrJD2jXrE9dZ1AklRFcL,Eye To The Telescope,1JeXaWReXIrN1lADO8uoYx,63,not available
66,Dog Days Are Over,15ya59dZ8yGeIfZARiYDjd,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs (International Version),2Zm1iyTqpaIKqCCisX28Uk,20,not available
67,Every Little Step,21AgsZepQEXFstNVcF1fux,Garreth Maher,7JwCpwLeeAXbvUNIzifhjv,Every Little Step,7v5ozINFGHgvjzv7SrkONm,2,not available
68,Euphoric Dreams,1YzEaZWQHeEGAQADZFA1of,Krystal Klear,0jqr8aeeHSn5pMEVD4aTrI,Euphoric Dreams / Miyoki,7MuNH6SoTT5d8JWf5uJWB4,55,https://p.scdn.co/mp3-preview/7103020118273bbce14939d2b6a9ad166c764f47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)",3ggBBGRhkDVAu7pQRXRPXO,82,not available
70,Good Grief,6IGA5YrFiEr5ANrMqKkR6H,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,Wild World,5NfeW0DqFVT3Su3kHBgTf4,65,not available
