The Pop List,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
17,Go Somewhere,71rHHK9L22rVdmofJTjuSd,KREAM,0DdDnziut7wOo6cAYWVZC5,Go Somewhere,3VjndwWZzzLROe05SLqG5I,65,https://p.scdn.co/mp3-preview/673b3e64f3e5f9f263d02512f19e343e7cdcad8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,God Is A Dancer (with Mabel),6fenHIxXuuzKB55wY4WCHP,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,God Is A Dancer (with Mabel),2T0NPRcdhIt71ifDWm328R,80,not available
19,Shameless,3UYiU57SMiAS5LqolhHJw1,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Shameless,2h1p1JzjT9rLJFAFrIkyrm,87,https://p.scdn.co/mp3-preview/ecbe1041a69343d4ec849876b8f3b2aa71b332a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,SHAED,3KwmxIhSe9UTSEF37kwngR,Trampoline (with ZAYN),5QqqBZmdQmY1MvlnpBkagB,80,not available
21,Outnumbered,6UjZ2Yx2g2a52XxiA8ONxZ,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Outnumbered,4BQVnx1yJrDa1tcky9D9N6,85,not available
22,Younger,4D7ERaKgv8NAeck8RzUtRz,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Younger,26IuzA897QHyOQVYBWXtTD,77,not available
23,Freaking Me Out,7uYIX9O9DY6l1D3HiwHR1J,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Freaking Me Out,6C9mRkY2IYqnebz1dk40Qs,77,https://p.scdn.co/mp3-preview/c10db3945fab5325811a77d77497dd2c286bc12d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Without You,1SUbExhoNkAI1SnLNIhh8M,John Newman,34v5MVKeQnIo0CWYMbbrPf,Without You,6pUAHkIrX7eacyG83ZlVxU,66,not available
25,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Good Thing (with Kehlani),3wpdeV1FZfiEnelZSfAFp4,80,not available
26,Papercuts,4WrGjqeop80xC3GJG9vgmF,Measure For Measure,4pKeCzDi1AxufHFq8KD3uI,PaperCuts,17jatxKSWmSe1eirFloE2I,48,https://p.scdn.co/mp3-preview/644fe55038146c920f7a3db410bdf98dd8d8c6bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Bloodstream,1UgUpku6JtGVBerwDVurHr,Conor Byrne,0hEeBhTVYUKs2B4PY2IdMB,Bloodstream,25F5v8WWVCCSL7II7HXZJu,55,https://p.scdn.co/mp3-preview/39cfa464d834f4e61c4e506faf10b906391281fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Stack It Up (feat. A Boogie Wit da Hoodie),1xU2QZ40MY4Ex2pfczZa9U,Liam Payne,5pUo3fmmHT8bhCyHE52hA6,Stack It Up,3R4bm24vpp2UiKr567EtAD,78,not available
29,This Is On You,2oeYjGXqPooFVy64aoqrJP,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,This Is On You,1BTAYKbh1kQaNRJ2TSC8I6,61,https://p.scdn.co/mp3-preview/d3c4aafc723b949c4e32409b2346ee7dbe144d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,The Last Time,1maoY6K6fsTEv9fhXhBL14,The Script,3AQRLZ9PuTAozP28Skbq8V,The Last Time,7hKlP3f3yyQjizcUIKWvZk,73,https://p.scdn.co/mp3-preview/a01724234b85486ecd51a9033b18b6ba8b08e8d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,boyfriend,3zVB99XMdbP9HTVNg0GJwV,94,not available
32,Lie,27NaNvlmvOHqTF0VPjuRSD,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lie,1qZDkipk2XWaJ6aoEvJwAm,70,https://p.scdn.co/mp3-preview/218700f7fb105c733f712c66367aaf2649f10dce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Wanted,6hLkeOMrhZ2CMLBp2of576,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Wanted,19xtr8RaBkQNaDaNmXnVDj,83,not available
34,Too Hot,29QrzCnJ8r5aPamLBADZLx,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Too Hot,3vdeikwL4bI0Zg80tBN6EM,71,https://p.scdn.co/mp3-preview/70fd5fd69c6e012b32da52a7a0834cdfba607072?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Mama,6BE3AlZoAVj6vmCxYANCtt,Ella Eyre,66TrUkUZ3RM29dqeDQRgyA,Mama,3Fsq7nbDz6DR3D6O4hV0C3,45,not available
36,Never Seen the Rain,3t400hrRKe49dQYJpdM41k,Tones and I,2NjfBq1NflQcKSeiDooVjY,Never Seen the Rain,6IY4QZClu7lNx2aWMLZwZZ,52,not available
37,London Boy,1LLXZFeAHK9R4xUramtUKw,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,1NAmidJlEaVgA3MpcPFYGq,83,not available
38,Wild West,3UqQUExRt3YlS4PNo5Thtq,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Wild West,3rOY8x33we7f3fUaFXmJig,67,https://p.scdn.co/mp3-preview/c88a633bda8832072188b9043f02d655e68e141c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Don't Leave Me Lonely (feat. YEBBA),68e673a92s9HYTeZQD3sBX,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Late Night Feelings,6vdLdzihSWxV8FgWU2GSvA,61,https://p.scdn.co/mp3-preview/7493df16c5a41731ab01505466d0bcfd15c1740d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Warm (feat. HAIM),6iW5pbOAevzr1h2JfdJYpn,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Warm (feat. HAIM),508n1on6AP7aJADtdndtpW,66,https://p.scdn.co/mp3-preview/09e6d9d504e151668e42a3b8251677550dab8d3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Keeping It In The Dark - From 13 Reasons Why - Season 3 Soundtrack,2XtL4VAqehOQulLpf1sFVF,Daya,6Dd3NScHWwnW6obMFbl1BH,Keeping It In The Dark (From 13 Reasons Why - Season 3 Soundtrack),34kdsqSo8eVjo29lNLBCRl,70,not available
42,Seven Seas,6vmXmaxmMv69vNskxdWFJx,Curtis Walsh,1skYjCzZNmy9Zjk7mdFgeS,Seven Seas,7EEBJaDByFeEmiEfFrALwC,53,https://p.scdn.co/mp3-preview/8b45ecb0a067312168d4b1754592d8440b005888?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Ooh Girl (feat. A Boogie Wit da Hoodie),1mKNyZCNDueEASgBgZuLdA,Kris Kross Amsterdam,4LcUpNlXFEleaLlelmkv2R,Ooh Girl (feat. A Boogie Wit da Hoodie),3wXCIYqdw64MOR8pJtKvPQ,72,https://p.scdn.co/mp3-preview/f8ee78c14d60018786ffc64ce86b4272bcb9802c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Mother,6rVNnvyNeibts1uOqdSNIw,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Mother,5OrSjlgjIvI3GmTnTt6wnT,77,https://p.scdn.co/mp3-preview/5792f5b46d7747a02eae853dc1dda8393274df34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Bad as the Boys,3e20HtdIlujFpeaM20nAmN,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Bad As The Boys (feat. ALMA),00oyXQOmH0MJIVcvDDx70m,69,not available
46,Glorious,7xPIlYAQvOubFllPkn8XSL,Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,Glorious,7ioa0F9HHBzTCV5VbFupal,64,https://p.scdn.co/mp3-preview/9a437d0c87ec989113bffb96acc7481efd4514c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,My Town,4byXfN1jpa3c0Zsf6caGUa,Emily Burns,6Gi8ZaXGx8MK79HwzXpuVZ,My Town,0L89zjByU70tf0cxK7rv20,53,not available
48,Not Over You,0gr7xzfKDED0mKuv7i5PI7,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Not Over You,4HNgQRfYsHbjnMn5HSpJJa,66,https://p.scdn.co/mp3-preview/0c8b4240deaeea3b757985af1fa16913e99e7985?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,74,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,What Am I,1HimGOB6BjOaCQYMIF1xtU,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,What Am I,6IEEEv0mmFYPjhATWKYZRE,81,https://p.scdn.co/mp3-preview/07c61d627e0537fa0d7f11bbab0c763bd9165d1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,What Do I Do?,00JPP5NHQdG92enZujK5Ha,Georgia Ku,5mYakBbBzPMQTfkVMIgiDM,What Do I Do?,1bUKv3t5KvdnrdCBZDM245,57,https://p.scdn.co/mp3-preview/478d00a3b82ae70fb8a94a8968f3b745afca3830?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Finally Feel Good,1QyxXnQXlGqG28syVg3LyP,James Arthur,4IWBUUAFIplrNtaOHcJPRM,Finally Feel Good,6avkPAfv7cjDlQL4Cotd5S,71,https://p.scdn.co/mp3-preview/95494fbdc79e3b91870d31e26ee7a85cce1e064b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,86,not available
54,Honest,5iAq9NbsIkCsu5Ip1ctjVn,DAY_S,1JvxXVFAnvaTUBDgX82vHS,Honest,1TWwHhbhs6jTSqpqYfxOJv,46,https://p.scdn.co/mp3-preview/c8bc655d05829bcb9ee0bcbe2814636e8ec9a12a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Break Me,5izpahNLsRnjqxaOVyYgf3,Aimée,6kiGJNxa3SvcQWfCrqL1sb,Break Me,53sS2XJIEIOBDKz9zwJ7lX,47,not available
56,Bruises - Steve Void Remix,4raMIjIjMc8JohHth7l9lG,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Bruises EP,3bAq5agU2IUDfDuO4w50aR,66,not available
57,Doing To Me,1ioqD1XvFGDomjXkKNCBQB,Astrid S,3AVfmawzu83sp94QW7CEGm,Trust Issues,0p9VYdjKX7XgC7M3wm5R3E,70,not available
58,I Don’t Think I Can Do This Again (with Clairo),3udJxehBCZ27wRO9gSum4B,Mura Masa,5Q81rlcTFh3k6DQJXPdsot,I Don’t Think I Can Do This Again,2PMTYwJd3ui0erw8OJMvC4,68,not available
59,Rooting For You,1spZPzBLYeVTvd0iDWXgC2,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,Rooting For You,4yp0nH151NPmcakfthQDc9,75,not available
60,Nothing On You,6kZ3abguPUHM0TVrtlO2Kr,Lily Moore,1SQeTDXO492WB6aFvrntSS,Nothing On You,6pbaswdUATL0b4sU3DyK0o,57,not available
61,Pick Up Your Phone,4hIppgm5PYoVIoGtCCSJnh,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Pick Up Your Phone,0R4xeAX58W4xrgIQ9OIJ6q,55,https://p.scdn.co/mp3-preview/a612ea34285bc778bcc78d53df16fce7f38c1feb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Hotel Walls,0IZoBFaTUG79KBfKlv8zmG,Smith & Thell,1ZrBGJWLL8NiAjgNifCy90,Hotel Walls,3vo7F1U983bPR68ojP5aSj,72,https://p.scdn.co/mp3-preview/959fc46061174159c497979e7948495513ccbbd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Stayaway,0RnjTd8PiMottZuSKNtzOn,MUNA,6xdRb2GypJ7DqnWAI2mHGn,Stayaway,0kRNeGUDS6Vqr9JcU6sz3J,55,https://p.scdn.co/mp3-preview/bc7018084721c15b04b7925b3a6d670a3c72aaa5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Butterflies,1RMvWA6XFFN8cciB2GHYFy,Soulé,1XRCocF9w2bZKho10CbDOP,Butterflies,4u3b4Pc923P1iz846Lz1Pj,54,https://p.scdn.co/mp3-preview/3eadac539c15457df4b82d6dcc42b11fc9d77ecb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Love Me Or Leave Me Alone,5UH7c5giPG9RLL1ks5hEJD,Beachwood,58Lr19C9n9aRD7q4OHrEdb,Love Me Or Leave Me Alone,32kBOtJKNAk1pVxMtZYJP1,51,https://p.scdn.co/mp3-preview/081dba58e0a6fedfb4a67d9006cc286ca6f4199e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Phone Numbers,3f9Mzvd3URfbbIJBX4pz9Z,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,Phone Numbers,6RhSCF1Z3g95Q1rZWqpUdT,76,https://p.scdn.co/mp3-preview/4f1e787faeb3b0410d1aeff0bb19e2af9dd95629?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Hello My Loneliness,7s1pVBcyE3WAjIKDTu4q92,Delaney Jane,3fuxStOqQv8TiytHeuGiE8,Hello My Loneliness,4Es2JrBlX5GYELe2bdoCWt,61,https://p.scdn.co/mp3-preview/885c69b3657571691c1e1ecf3708c075bf30d842?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Take It Back,7f5sor2VbL5WGATCbhJ0qN,Aidan Black,449d1bLlnLBedmSJiOc47g,Take It Back,1EB1PrHVsoIxjh3PtA2Kpj,44,https://p.scdn.co/mp3-preview/308cb626cc5a4dc1af4d639839b7a8fd275d76a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Hell N Back,3NRql0A1Ef4RCvT473iqgD,Bakar,3K2Srho6NCF3o9MswGR76H,Hell N Back,3aEdbaJGWXbBxn79DgjamF,64,https://p.scdn.co/mp3-preview/6e4104d14a5ff037a436002f8204bde266b9db27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Indigo,1sOr5OXjbukTzBDgmvd6Fa,88rising,1AhjOkOLkbHUfcHDSErXQs,Indigo,3Y3CwwjIi03RRyJohYzKXh,79,https://p.scdn.co/mp3-preview/92303f27f212f7cf4abaadd75a187576b5947869?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Lean On (with Emiway Bantai),61eDLrQvquaTtZRnGFz9Kh,Celina Sharma,42daDEQTdYaqtHG5sH5HMD,Lean On (with Emiway Bantai),6h53Qu0rJsJuOrVnEXpxW7,52,not available
72,No Way!,0yYwS7CXKIPC4kWPvZQfsT,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Soul Searching,4ZKdRW0AH9sxV09NmWsTkW,79,https://p.scdn.co/mp3-preview/c90e7fbd5867542de087dd5965090cdbc74c63cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,OKAY OKAY,1Wds4TjXgP26AW9H8LALtQ,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,OKAY OKAY,6kQdXSgxiz2zB105BSX6SA,67,not available
74,Summer Fade (feat. Anna of the North),3UIGE2FXaUUcYWA31Og0XO,Snakehips,2FwJwEswyIUAljqgjNSHgP,Summer Fade (feat. Anna of the North),5bB44dDIsNlLs2vRUMsrWd,68,https://p.scdn.co/mp3-preview/aa73365beb97f4c0bfe456834ec4cedc2788975e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Prophet,4vFTpKeY2F3ckwhULrtS0z,King Princess,6beUvFUlKliUYJdLOXNj9C,Prophet,2FllxPNjQEjdKtjVCfoqUd,67,https://p.scdn.co/mp3-preview/761ee62bfa09e8b199abbec0941e2ea200efcaa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Here,1WzraTfKIHWyqAm8oZEpb3,shiv,5rxxzsO9zojzg0FfWVmIv7,Here,2tydMAXYpOTCltfSPaIKvn,41,https://p.scdn.co/mp3-preview/9ce46e8635d8f802adfb19fbbcbab75abb63c976?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Bop.,1QBZ93QHvoQBBGimAEpOgC,Modernlove.,2u17Ej1u0JHyRsstmofsrh,Bop.,6vg5xGCzCZJfgxfBXAD73g,41,https://p.scdn.co/mp3-preview/2e53fc050ccdeee27b00191f2df2d0d33e6b4785?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,OMG (with Carly Rae Jepsen),2j9YmQRxtjuVwb4XN95oT8,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,OMG (with Carly Rae Jepsen),4JkXuSuTgVNPh7hBOhPXjz,72,not available
79,The Kids Are Coming,76bvw5EDyhm1b3dfsOToYG,Tones and I,2NjfBq1NflQcKSeiDooVjY,The Kids Are Coming,2pJXQvY0YeDvVJ9gMU9G7j,70,https://p.scdn.co/mp3-preview/18475287dc3f2725732ea4058d312efdbce30c2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Dislocated,2lcvJOZGtYQY7VxhtViPVJ,Áine,3pTb88yNTcIsydqTaUE0fE,Dislocated,4g1OJln0s4UpP6RjRGTbPr,43,https://p.scdn.co/mp3-preview/868ccf2e215c92333f073601e53177d9548d111b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
