#ThrowbackThursday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,779424,spotify_uk_
1,Think,0jkBzn7J5jc889TYxwvXy6,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Soul Queen,3nIxtIMxYqCiD7ZDE0payb,61,https://p.scdn.co/mp3-preview/c8b0e078e18f5941edbd71ab0308b27aa73edf21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,I Heard It Through The Grapevine,27m1soUndRthrAA1ediOXn,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,I Heard It Through The Grapevine / In The Groove (Stereo),1jcnZvZWvAGzNyQ7GNVy8X,26,not available
3,Reach Out I'll Be There - Single Version / Mono,6tYIQpc9rX2wTBtb9Rh37K,Four Tops,7fIvjotigTGWqjIz6EP1i4,Motown Legends: Bernadette,3XjEIrHExP51C8Iyircdzt,64,not available
4,Son Of A Preacher Man,6ek9SiEj5a65WIs2EV7qiM,Dusty Springfield,5zaXYwewAXedKNCff45U5l,Dusty In Memphis,5FRB5oQaHxlDNe6gMGuzu2,71,not available
5,Sir Duke,4RQgqR09VmHn345vRhKQ6T,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Songs In The Key Of Life,2HVx2tiZnLX8xeaUthed1e,25,not available
6,(Your Love Keeps Lifting Me) Higher & Higher,5qyq1H5OPMlfuvZQ1wQNo7,Jackie Wilson,4VnomLtKTm9Ahe1tZfmZju,Higher And Higher,4OgYmImCWz3VK7At9GTWHN,67,https://p.scdn.co/mp3-preview/6c11178b8aab778d455e09f9f33754ffc55c0de2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Rescue Me,1UE2mIj6uy9Tip2cvQx5xu,Fontella Bass,6k3YMXJ1MJLgUEAlSPC6hA,The New Look,31ULkwBgiCeaQZhuWh1htZ,21,not available
8,Soul Man,4eGHlplaq1ME8oetnTuFFf,Sam & Dave,2BVYdY4PyfCF9z4NrkhEB2,Soul Men,1DThdjKvkvxYaqlDUnQGzK,65,https://p.scdn.co/mp3-preview/2afe192d65a0878c54bcddcbda619e939ef570af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,You Can't Hurry Love,5bQduNI1lNfkNbDCKhBNX6,The Supremes,57bUPid8xztkieZfS7OlEV,The Supremes A' Go-Go (Expanded Edition),34xRDpvXJxS6oU7MTKlDtR,20,not available
10,Move on Up - Extended Version,01gDLZsi0j5fWC28FLPNO8,Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,Curtis (Expanded Edition),3tgJmEz0R0ZsRSrpwafp4R,65,https://p.scdn.co/mp3-preview/070c80b7f6d20ada50ea676d9400a7b0de85a34e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I'll Take You There,4j0M3v7GPijfIrzjN8QcuK,The Staple Singers,7xGGqA85UIWX1GoTVM4itC,The Very Best Of The Staple Singers,1jkwBngCquhmnteY7cXjm9,21,not available
12,You To Me Are Everything,0klZpFX0a84jdkqzPNrLQs,The Real Thing,1NUD5By34MFynmuUynCfSj,Children of the Ghetto: The Pye Anthology,4YMGASMu3PZaKwq6vJoVTc,65,https://p.scdn.co/mp3-preview/7041bef963736ee69e1ed5bc7d31b5ee061c9819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Green Onions,4fQMGlCawbTkH9yPPZ49kP,Booker T. & the M.G.'s,2vDV0T8sxx2ENnKXds75e5,Green Onions,2aGFVLz0oQPa3uxCfq9lcU,66,https://p.scdn.co/mp3-preview/6afcf8c2efdb3c33264e8aa5836927df8b65b78c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Get Down On It,4yKZACkuudvfd600H2dQie,Kool & The Gang,3VNITwohbvU5Wuy5PC6dsI,The Very Best Of Kool & The Gang (Reissue),1rDjSDjjzVfpnsb3GgREFf,70,not available
15,Ain't Nobody,53Za5vyGc1x7GxgJVRjRKc,Rufus,3MCjwjfIor5FkK3h639qkW,Stompin' At The Savoy,3j0kxKahatiR5d0sPPtTjP,62,https://p.scdn.co/mp3-preview/a947ed0964b7570d66ba6a22d66483c87dc50f31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,September,06rPFgQsKS607RhYIqCmGq,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,"Now, Then & Forever",1mzir7lA3b0Zsig6wYCQKN,66,https://p.scdn.co/mp3-preview/e30ddd1d5f3bf2286dd9a3883f31760aa860e153?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Everyday People - Single Version,1mpkkT23fchUeQcFDFD8g3,Sly & The Family Stone,5m8H6zSadhu1j9Yi04VLqD,Sly & The Family Stone: The Woodstock Experience,1JpAgkaxCerzzrvJN9hvsr,22,https://p.scdn.co/mp3-preview/9aecd68c3d3c9c7794fe2d408ffebf107abf5e7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,River Deep - Mountain High,19jo0UT2vqD4pNVfIqTy4R,Ike & Tina Turner,1ZikppG9dPedbIgMfnfx8k,Tina!,6FkWiSUX7YAdxOlHPrIzMj,61,https://p.scdn.co/mp3-preview/5028ec14e91b3557c1f33e36c4e4b038387eaa79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Express Yourself,4pW3aTX3kAmOaPJfc9UM12,Charles Wright & The Watts 103rd Street Rhythm Band,2t0kaaDtGZtmpczIAMaVTQ,Express Yourself,2aUItMxwVnUJg4btjcUxC5,62,https://p.scdn.co/mp3-preview/da1fa2969fcbca674d75264ee63a3026a5595c52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Theme From Shaft,1VLLADzAWGr1IoeMPDLNDL,Isaac Hayes,3IKV7o6WPphDB7cCWXaG3E,It's All In The Game,5ZMT0oGy8gXbBIxMY9q4ZW,18,not available
21,Do I Love You (Indeed I Do),6odtLnmsVGjWYePpuU1TAN,Frank Wilson,7Emrl5SyjpneJuRdHqBKRN,"The Complete Motown Singles, Volume 5: 1965",2KCZeZkFeasjUWc8CylCpb,10,not available
22,Give Me Just A Little More Time,6qbtTps7ZebLrWtqtu1joj,Chairmen Of The Board,69g2TelswPN1IiFDKvaoSL,Soul Agenda,3bsK8mvliXMvVPPiMgeIYq,50,https://p.scdn.co/mp3-preview/18326bb19fb45c13b70e1376b8c7f08c9d45157b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Lean on Me,3M8FzayQWtkvOhqMn2V4T2,Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,Still Bill,0sFuW4rH5mFZUjNKnckO3v,70,https://p.scdn.co/mp3-preview/88034b6356a11c9bea4cca28d56a80efcc655ac4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Strawberry Letter 23,4W8IEREeLldaSQyGXcZQ2I,Shuggie Otis,4YHtIE7FI8ITfekzzN5Jpl,Freedom Flight,7suTZDEkiDpzkouw300noM,60,https://p.scdn.co/mp3-preview/0ce85c2dd01d32facee4f582f8ca8a2dfcd613cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Across 110th Street,2zyTP97uGsIc1C4KNNEkyn,Bobby Womack,0vqkz1b2qBkoYrGMj2CUWq,Midnight Mover: The Bobby Womack Story,7eVKCG0KD8FCvIlx8E1pBG,61,not available
26,California Soul,0lNvrXhFOCbHXmxNLGIC7q,Marlena Shaw,0hirZ8kPPdM9pzXpoagB4w,The Spice Of Life (LPR),3RUdAHsBOskqStLs3juHm2,13,not available
27,The Night,2RWjugJQW9FQbQeun7CXav,Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,Wigan Casino 40th Anniversary Album,2sPZKGxvg2RZF4d2ioEYjz,47,not available
28,I'm Every Woman,1oFiPGBafH9Woo9AMwgBSl,Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,Chaka,2lvaLIoEg3hwL2dybu6zTC,66,https://p.scdn.co/mp3-preview/4e7ba67fbaac1b593bf5a70fffd57f0bd1673fa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,In the Midnight Hour,4NRQwaks9r58tTDvr4iEyv,Wilson Pickett,0N5PyKJzS3M1XNlaCL7bbE,In the Midnight Hour,1L6fHKTQAogglo3coyo8yU,63,https://p.scdn.co/mp3-preview/8c46bc43aaa34f8a0a62740de7d312521ae37d6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Dancing In The Street,3UoUMTLrAmjlHSmuC8aEKq,Martha Reeves & The Vandellas,1Pe5hlKMCTULjosqZ6KanP,Dance Party,5AckP5jdfjCNnjj5JbM1uH,19,not available
31,Le Freak - Edit,6Lphpr9Z6H282Sguw0dUWa,CHIC,0Xf8oDAJYd2D0k3NLI19OV,Les Plus Grands Success De Chic - Chic's Greatest Hits,0VpPfXytCLshrjZFHKQHyc,53,https://p.scdn.co/mp3-preview/8dc61ff9b917f8a52ab01ec8bf02f54470664321?cid=fa83a2fec7c440b7a2795d600d6b2c7e
