A Perfect Day,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,Sunday Morning,0CxVnKu6PG6tYTGVtSD8UU,Hamzaa,3TXjnAw0sg1VVdnR9fGdBs,Phases EP,67yZd1xUTES5qFQT9XNwZG,58,https://p.scdn.co/mp3-preview/61c6c4ea9d74ef14fa559cb8c1e081684e9e92d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,"Signed, Sealed, Delivered (I'm Yours)",3M5eeHXgG4VplKNcsBC8Dj,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Signed Sealed And Delivered,4QxPK644Vy4FQrtMF90CMe,27,not available
26,Now You're Gone (feat. Zara Larsson) - Radio Edit,1rfNR4mPFYtLKtoZqEo7Am,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Now You're Gone (feat. Zara Larsson) [Radio Edit],2OFJ8hcVF2R2IjKSgdNJe9,66,https://p.scdn.co/mp3-preview/ea56078ee98b7872fb4230816dc560ef3ba9c0e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,74,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Back to You,3ze7uczQclw3zSimdMIGeC,Hudson Taylor,4DX2G1URzfEiRg2wBfv4ub,Back to You,07sjP3ibgZQRMCzqRFquMv,50,https://p.scdn.co/mp3-preview/2132a1fd2f129d3fac06f37c3daae43c8c25ec9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,The Way We Say Goodbye,7J4inwHlV4Bf0qhe9xGGpS,Circa Waves,6hl5k4gLl1p3sjhHcb57t2,What’s It Like Over There?,75HYUZI2d0FDMlsIEfp6Kj,58,https://p.scdn.co/mp3-preview/dcac40bd7329a94d9f508e1504987e069e8cc815?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Starz In Their Eyes - Radio Edit,52t33nLHGNyVaCceOLFGfV,Just Jack,2KT0mSAPvd9PreXYCiVfVO,Starz In Their Eyes (Esingle),3Dm1HTjTlgwe25jaQQqacx,59,not available
31,Kick It,0FzU84iyiqzdpEd9aK8PZQ,Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,ROLL WITH ME,7tqwemzcVZhrS9y01ObKwb,49,https://p.scdn.co/mp3-preview/424d4431e6cfbac63e082698f13e0f93ae2e8bab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Good As Hell,6uAm7pG66O1XesXS9bpHSF,Lizzo,56oDRnqbIiwx4mymNEv7dS,Good As Hell,5PMpdvn38HScK6IuLniRep,75,not available
33,Stupid Things,6MmTICUGiQ0raoV9xqaKLn,Keane,53A0W3U0s8diEn9RhXQhVz,Cause And Effect (Deluxe),2V3ebysBMSaKfYUcsCWmKX,63,not available
