Matador: Revisionist History,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,46,matadorrecords
1,Overnite Religion,1M9u1B0uYFV61GzVnIHmPU,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Childish Prodigy,3LJQ0Hfr5fbaor3iBWg9c4,23,https://p.scdn.co/mp3-preview/8c6b68239672e2660a721e297e3787d9c2a02906?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Blackberry Song,72uGzzpAcDuLge9d536Jmp,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Childish Prodigy,3LJQ0Hfr5fbaor3iBWg9c4,38,https://p.scdn.co/mp3-preview/0c7b904c073099327cb48b37f627cde220d565cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Slow Hands,0mF7YNgURDkBQaxa9YRc47,Interpol,3WaJSfKnzc65VDgmj2zU8B,Antics,58fDEyJ5XSau8FRA3y8Bps,56,https://p.scdn.co/mp3-preview/72407be78e8379aed710ef95b94564cccd438f4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,C’mere,1PAlCnDz8T0k9f2LRuQ6Wn,Interpol,3WaJSfKnzc65VDgmj2zU8B,Antics,58fDEyJ5XSau8FRA3y8Bps,58,https://p.scdn.co/mp3-preview/83063dd31084a633de2170dcb0397d83cd3336c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Supernova,0xQ8FPMnv2mG9VhTgpxn2R,Liz Phair,2LXeJdQVcFkhkWydphLI74,Whip-Smart,7b2JNONmqJRtIKTofRdcFp,42,not available
6,Whip-Smart,1ilCC9X2tcbsJ4RHJBW6c1,Liz Phair,2LXeJdQVcFkhkWydphLI74,Whip-Smart,7b2JNONmqJRtIKTofRdcFp,28,not available
7,American Flag,2N8jxf7r3Y68AToge7CcUV,Cat Power,6G7OerKc3eBO9sVkRNopFC,Moon Pix,0PBUZ2KHPp5Q9fybGuT2ry,31,https://p.scdn.co/mp3-preview/abc70635d2eab9337ba55f211b05d1a971e13277?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Metal Heart,4omnfKQRBPbu7XuFpjcj2l,Cat Power,6G7OerKc3eBO9sVkRNopFC,Moon Pix,0PBUZ2KHPp5Q9fybGuT2ry,49,https://p.scdn.co/mp3-preview/9066d815b5cfa3bbf853c37c8e7c4ca1a526cf63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Sleep The Clock Around,63rPrnI0X6gU3US3KxKL64,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,The Boy With The Arab Strap,3uhUPlgihiYPLc0Wuhy31V,35,not available
10,Is It Wicked Not To Care,7glk9CqGH5SWptA2hzi6Kb,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,The Boy With The Arab Strap,3uhUPlgihiYPLc0Wuhy31V,29,not available
11,Johnny Feelgood,1DVjYdo2qRk9R5FiBaayNi,Liz Phair,2LXeJdQVcFkhkWydphLI74,Whitechocolatespaceegg,7eWv8vdJnYcTIP2BkQRNPy,27,not available
12,Polyester Bride,3Tbs9O6zy07BjjCU1omonJ,Liz Phair,2LXeJdQVcFkhkWydphLI74,Whitechocolatespaceegg,7eWv8vdJnYcTIP2BkQRNPy,37,not available
13,XXX,7LzyDsSDCPdhmXl3hRg11p,Helium,7mefbdlQXxJVKgEbfAeKjL,Pirate Prude,3TVrfbEBIQTimq6UtUe3vv,14,https://p.scdn.co/mp3-preview/b58f7c74fd53beab5278b0e4e716ee185a04d459?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Love $$$,0nslvm7N87JTb9HGyjsa45,Helium,7mefbdlQXxJVKgEbfAeKjL,Pirate Prude,3TVrfbEBIQTimq6UtUe3vv,6,https://p.scdn.co/mp3-preview/fb37132dc7513b8665774be9789112f5123fdb37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Straight,5th6Vzf8ZSWric7LtaUzLV,Unsane,2C3gpQ0UMPjrOQ4FYdylRS,Total Destruction,67ePkh7n1K6XMKF9xKeBxn,10,https://p.scdn.co/mp3-preview/ec5f179ed358dac752955152df249fc14939e731?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Trench,0LAg2xCUbIdg4XhRRPIAua,Unsane,2C3gpQ0UMPjrOQ4FYdylRS,Total Destruction,67ePkh7n1K6XMKF9xKeBxn,8,https://p.scdn.co/mp3-preview/d6e96c09b645009850603e12549bcfd0260d286c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Silence Kid,4UOcfhMlBDwhlrCa12qIca,Pavement,3inCNiUr4R6XQ3W43s9Aqi,"Crooked Rain, Crooked Rain: LA's Desert Origins",4YqxiKEVG0OuwX0g2XWW99,33,https://p.scdn.co/mp3-preview/3e18ed51429086ec6407dc0f9585b4f896e08f98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Stop Breathin,7BxGuQ5gXCdyj1UBIipjsm,Pavement,3inCNiUr4R6XQ3W43s9Aqi,"Crooked Rain, Crooked Rain: LA's Desert Origins",4YqxiKEVG0OuwX0g2XWW99,30,https://p.scdn.co/mp3-preview/5b489ee588d9becc611b6c3c9733c1a259bcd83c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Sacred Trickster,2zPWpXZlGaaGibV31X1Lzt,Sonic Youth,5UqTO8smerMvxHYA5xsXb6,The Eternal,5qo7iEWkMEaSXEZ7fuPvC3,31,https://p.scdn.co/mp3-preview/34f5d56416111bf7b2edf95a86bb24454d90a1f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Leaky Lifeboat (for Gregory Corso),08uyjnmcShxAdt6Fqt75bd,Sonic Youth,5UqTO8smerMvxHYA5xsXb6,The Eternal,5qo7iEWkMEaSXEZ7fuPvC3,22,https://p.scdn.co/mp3-preview/9b9b3291d2ded40f30d20d3f7689dd32d139c4de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,I’m Watching You,1FUoP2RsROi5JUOEYGNAbr,Jay Reatard,3cAGUcRbwsFHwKbJv8FT4T,Watch Me Fall,1ZK2pVHi5kjw9kqdlA9JCf,18,https://p.scdn.co/mp3-preview/fac09dd2bf9b0056285fb46c424532a4f1bae1c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,There Is No Sun,5HKA9Yu3QrDCLGfm1keg2h,Jay Reatard,3cAGUcRbwsFHwKbJv8FT4T,Watch Me Fall,1ZK2pVHi5kjw9kqdlA9JCf,19,https://p.scdn.co/mp3-preview/a4f386e3263fb97113e72c2f0357238673ebad72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Everyone Thinks I’m A Raincloud (when I’m Not Looking),0rV0VTdGXIB77tOHtZo5a6,Guided By Voices,4oV5EVJ0XFWsJKoOvdRPvl,Half Smiles of the Decomposed,6QnNUDSrtybfhMKsRgzL0P,22,https://p.scdn.co/mp3-preview/37471c2c3ef96bca3c9cb08da00012c347b9a951?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Window Of My World,2W5XUrVmNU9eSrQdaGjAg2,Guided By Voices,4oV5EVJ0XFWsJKoOvdRPvl,Half Smiles of the Decomposed,6QnNUDSrtybfhMKsRgzL0P,13,https://p.scdn.co/mp3-preview/5c9e2defd9cc80603677c3c4caae9aea057e42e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Nothing To Hide,0TQfLb9ICdXlxGGMAivvWm,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Popular Songs,5Vi8AMs747kpnUAJRrGx0p,22,https://p.scdn.co/mp3-preview/f40ee2207964491d83ca81fac83e336ed626e27a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,I’m On My Way,1pkj8y5qVpRHlnKNAFrO85,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Popular Songs,5Vi8AMs747kpnUAJRrGx0p,20,https://p.scdn.co/mp3-preview/c0664c0325dc35722690d0032675b40b4b92d336?cid=fa83a2fec7c440b7a2795d600d6b2c7e
