2019 SINGLES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,153,matadorrecords
1,In The Air Tonight,20csyRmYJVPHrngpsIsiKA,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,In The Air Tonight,6mzKGx9xRlN9bzORcrWJsE,46,https://p.scdn.co/mp3-preview/15d0bfd561fae2e655d74176e9970582aec59063?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Hungry Baby,7yjpux2zHz5p0Fv1BNXlAd,Kim Gordon,3n8qeKQViV1waeCzZmS4Tx,Hungry Baby,7y0FXbTyTXizY3u5pw7Ybm,33,https://p.scdn.co/mp3-preview/a88a034a344ccedeeda8aeb313f34602439a2a8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Baby's Arms,1fU38kdhVLyU6vVhvoCP9f,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Baby's Arms,1D9sKlavapVhzY6jp6e82U,54,https://p.scdn.co/mp3-preview/b3b621f824123c829478ee655c81a4418680d16c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Dancing In The Dark,1dO4IJX1pwbDamm6Kcyu4p,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Dancing In The Dark,6P1oHVbQtfJ861GpFeNJca,56,https://p.scdn.co/mp3-preview/e2f4779b207fad34b76f5d946eeafdaca161083e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Air BnB,2lZW5SEnQhob6Fgbi9SrVM,Kim Gordon,3n8qeKQViV1waeCzZmS4Tx,Air BnB,6FZU4VAT2sob65dHJgl9bE,38,https://p.scdn.co/mp3-preview/ed83a56008b35d673b844cb9becd7b1a398b0d8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Shake It Off,2cAM7ttHsz2szyLCNvH28s,Spoon,0K1q0nXQ8is36PzOKAMbNe,Shake It Off,0AEKm2l1BpS3myFOxGoNNF,35,https://p.scdn.co/mp3-preview/ed01ee15ec66e3e83293c38eba8b8d6ea3a43cd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,This Letter,6Coj030ZmrxVdbccR0F0Yj,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,This Letter,1EOeUNDvffyZ4S9Baj64yI,47,https://p.scdn.co/mp3-preview/0bf944f72aa990e873453d694a5d8e19ead1c6c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Sketch Artist,11i6yFh3Io0MOMUMFBtNBv,Kim Gordon,3n8qeKQViV1waeCzZmS4Tx,Sketch Artist,2GGw3wbtWGWJcVOQ54MBf8,39,https://p.scdn.co/mp3-preview/661c07a3ebcdafc14727cbe49617328888595e38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Murdered Out,4ic0JO9AgqoLHcW9CYpK63,Kim Gordon,3n8qeKQViV1waeCzZmS4Tx,Sketch Artist,2GGw3wbtWGWJcVOQ54MBf8,28,https://p.scdn.co/mp3-preview/9845d9294fc7b5a7fbaf13c9352c8957e9812137?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Sister Buddha,3PbkfhTGceJS643NZUeHYx,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Sister Buddha,1lO2brT2RUbog6gBvwgcxI,51,https://p.scdn.co/mp3-preview/65f50cf6a20d222b223ff9cedf5489cb647c1de4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Forever Half Mast,3yAg2gIwcElgEyypgG0YVZ,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Forever Half Mast,2jV9k0kdnMxl1yXiHjGA82,51,https://p.scdn.co/mp3-preview/ed0b9449f47aa2433cf701daac1aed30aa1d3097?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,No Bullets Spent,2atf946FbB7wpXr2Kwdx1t,Spoon,0K1q0nXQ8is36PzOKAMbNe,No Bullets Spent,4MMH177sCQHkE5lpK46Om6,59,https://p.scdn.co/mp3-preview/5c55f9646752e75608419586413ff73e1e504474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Red Door,1MCANaP77tr4qjaQOuprvP,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Red Door / Conversation Piece,59cUm8txjeDIaPgSUGWgRY,44,https://p.scdn.co/mp3-preview/8128ea4fdf44749eeeb44476d27e0d683c7d5831?cid=fa83a2fec7c440b7a2795d600d6b2c7e
