Acoustic Cafe International,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,296633,spotify_espa%C3%B1a
1,Canapé,2kovi4dF0iSpTD4LAvC7xD,Alex Ferreira,3COVuPWvshbsdm0kdMMTr7,Canapecito,4HrukT9K9prs3kTCBdoPeG,42,https://p.scdn.co/mp3-preview/b2208dcf1da28b7cfef3259c4fd489cdabcae3cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,La mort des étoiles,43ScxV6zQAbwCZyPfPhRaI,Les sœurs Boulay,4x2kecgGRpDooou3CIYnlr,La mort des étoiles,6irhBIxDE9UcjLOE4Ih063,45,https://p.scdn.co/mp3-preview/918d88975f72ee7829f903e372decefb0ca3c8b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Dýrð Í Dauðaþögn,0eJLZSl2TEmZUTpvLwVREe,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c,In the Silence (Deluxe Edition),6ltUyqAtJxfAfdqLXZGCkZ,29,https://p.scdn.co/mp3-preview/71db25e8fa47c0f7f2c448f1f349a7b884964078?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Cân y cŵn,3Q5J2z0wCjc8KHvDyDJWSi,Gwyneth Glyn,0I0PySTOmV0sjZdsW13HTk,Tro,3CoF76Y21sqQqCoW9hulxZ,0,not available
5,The Unquiet Grave,2JJwYfNXSfQ2MM6lnzNAFu,Siobhan Miller,1eIplU9Tirv31ciSwMlPrl,Strata,2pTWfiSRUMz6nwEh4y7bv1,40,https://p.scdn.co/mp3-preview/c816eac7a0c0c76e71f9d8ca2589c3f9b92be915?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Les épousailles,3YBtUOXgW8FwxkAzphFAzx,Ingrid St-Pierre,0da2pDG05vWX87bHrrC64w,Petite plage,2YH5Fvzzf55VORIDHcTqmc,34,https://p.scdn.co/mp3-preview/6aedc4420f6ec8034ef8d22e6fcbfe8b0879f077?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Suspendidos en el Tiempo,7IW01SDxiAhmWo97uUL4dg,Alex Cuba,7gZRUp2WL6r11PXTv309P1,Suspendidos en el Tiempo,6VxidvTiyw1RUxJFWq05Hx,43,https://p.scdn.co/mp3-preview/ad0b74c58ac30aac3c83a37760555712776e20a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Tu n'existes pas,1A9lpAxbDWV8Zkn2lUhzou,Francesca Blanchard,5nr9aC1q4Iu3i4hYOiRiNf,Deux Visions,08r4lUDNLyZy3gPiylpSD9,38,https://p.scdn.co/mp3-preview/83ae91ef8e192b2fb1f5387a7b508f60ef40921d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Que Facil Es Hablar,2CiVK2RuaMOieFPdYacJtB,Karina Vismara,3yjMGsdyDczDjyaek80khK,Casa del Viento,2mmRppQCZB8ccGGUkxp0dJ,9,not available
