Los 80 España,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
17,Hoy Puede Ser un Gran Dia,5YxgSArh0FDP0CEDuZcYnC,Joan Manuel Serrat,1t7t8q4zoYHp22JLIx3FM7,En Transito,2OlJAOxMhMBR7wfS5CkfwJ,47,https://p.scdn.co/mp3-preview/5f4e3911b520d10779bca8d7a34e85eae561b76c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Eloise,6M6UYA5dPuu4kcOb7Y9x3q,Tino Casal,3PWELXN8Bl961nrQGPVk3u,The Platinum Collection: Tino Casal,6Xh8LcYMTJQfB6wKDFw90M,48,https://p.scdn.co/mp3-preview/eca53d80c384179fa213e33e86cf2e151e00dae5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Un Año Mas,28ZI5zNcgu2nPaP2FnTnFj,Mecano,5BMgsAFg8rZQc3tqs5BB8G,Descanso Dominical/Une Femme Avec Une Femme,2JBsEO5oMKpvXpMwSK04pU,51,https://p.scdn.co/mp3-preview/0d332feb26c9bc5b870809ab64494b053090afd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Bajo la Luz de la Luna,2hfv8QRES8BwT49kO0Hhmd,Los Rebeldes,5xL4xxrHU7qleELxk85vAo,Mediterránaeo,7CZDkvrW1btWAv7oV0Sl3o,45,https://p.scdn.co/mp3-preview/bc0854600582d0d9c5ebc192ae12b716ddf2036b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Una calle de París,1nLOdVT581H7SA0ttCZRF9,Duncan Dhu,2MLHBMApNE5h8wIufiTPs7,El Grito Del Tiempo,53ysLjWIelVJ47Si7ouHB3,49,https://p.scdn.co/mp3-preview/51a02a5268ecfb22e3b2461da037377aa86f6bbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,El Ritmo Del Garaje,2VIzHaFXpUB7lMtXmaZZ4N,Loquillo,5Fv0DQ1ZBuc2DlidtOUCZr,El Ritmo Del Garaje y Dónde Estabas Tú En El 77.,0kGhcJ4eaHTbYjv4tbhCjN,1,not available
23,Dime Que Me Quieres,2IofpcCv3PjgZ5AjX446fi,Tequila,6stZWw6L5Sjy5m7OdUR3rO,Viva Tequila/New Booklet,3ovUVxowHnFWTGx0KyYnBk,51,https://p.scdn.co/mp3-preview/acbb29ae21e15e1c5bc2ff541fda8945652e0659?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,El calor del amor en un bar,4EGEeuaeyL4JK6N6EOb4vf,Gabinete Caligari,112QHbB1xApqwVJR6n20xy,Los singles,4dNRhNZ1IkA5iGW5zFCLDk,40,https://p.scdn.co/mp3-preview/d021ee3e969cd562edc26fdc98c428ef4c58c966?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Corazón de neón,5zAnoLd8d4ssifVCnSDrwG,Orquesta Mondragon,6d7LEKCmi5168sop16K9oI,Viaje Con Nosotros A Través De 21 Exitos Feroces,1zFPrHua1e0a3dePXw3cGj,50,https://p.scdn.co/mp3-preview/742ab4dfe85404de3bbeec8d5bddc48df56f2a6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Mediterraneo,6QBLmxP1tU6lw1dhKQulau,Los Rebeldes,5xL4xxrHU7qleELxk85vAo,Mediterránaeo,7CZDkvrW1btWAv7oV0Sl3o,54,https://p.scdn.co/mp3-preview/8a246296729b7bba4081a4090fdffaa4df3180fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Chiquilla,4eJikwHYHJ3yMg1tvS1Mom,Seguridad Social,5UbMQUFrcJdDstPCza7y0B,Que No Se Extinga La Llama!,100SajoSYlozWJ2wRFKob3,57,https://p.scdn.co/mp3-preview/89bd34d32cf921d544d433e8ec46adad4694b6c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Princesa,0C1OcBOsuFmFFGkh3FWIGG,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,Juez Y Parte,1hRchXbVPTu1YgyzdkR7XS,50,https://p.scdn.co/mp3-preview/e0b244d0da16b972aa810809ab7569c1b04dcfbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Embrujada,6udZus2RwDVhD3zateRfFy,Tino Casal,3PWELXN8Bl961nrQGPVk3u,Grandes Exitos (Etiqueta Negra),46ao7WvD5pQIBv3ytjhiFj,47,https://p.scdn.co/mp3-preview/b45f73604324329b676164a02bf412d9179e2a3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Que Hace una Chica Como Tu en un Sitio Como Este,4kYdaN5ECfrCPPuUUiCiTr,Burning,5nhDsJ4yNy8BD4LbGMsb1v,Burning (Singles Collection),1mq9A7RUXMO88fontI2jCN,49,https://p.scdn.co/mp3-preview/7a070333d9b25b996660f7446376a57950ab34ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,A quién le importa,3Qa1r7Ii95K0A9Gerh4dKS,Alaska Y Dinarama,2mDlFcPtgXtLF1gEshEInh,The Platinum Collection: Alaska,7qwvrBicEWpZWYRoWvM8OA,56,https://p.scdn.co/mp3-preview/a649665fd98a04f6cb56de18b2325e05ab2be645?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Sobre Un Vidrio Mojado,2tsdjiIi3h7ywJh9SNsPlY,Los Secretos,2KEDbpUlz9nwtGywHT4gyf,Grandes Exitos,0skEDEdGkKIp8vLFHgJaAM,46,https://p.scdn.co/mp3-preview/9301655042dd61e4f64e162634d48d8f3a189041?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Quién Me Ha Robado el Mes de Abril,1HX9kKDz6dG4fmLBuKVzOF,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,El Hombre Del Traje Gris,0Hf59j4braIFrtH0rFXjwZ,50,https://p.scdn.co/mp3-preview/f14e998494c329346540c0503858b1727afc066f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Me Cuesta Tanto Olvidarte,4iqXKJhwbOtOT5aHZr7Fxj,Mecano,5BMgsAFg8rZQc3tqs5BB8G,Entre El Cielo Y El Suelo,63ndRW1N0SGkK7Az9CTrxF,65,https://p.scdn.co/mp3-preview/f70e9a16fd7e2b157d6df7cb665374b5a2627445?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,El rompeolas - Remaster 2017,0sX3XmiVd8BAIh6kqiCk9Q,Loquillo Y Los Trogloditas,4EM1gc21UrYHQ3eal963Xl,Morir en primavera (Remaster 2017),2Z1e7MY9FPehW4kCIVtkl6,50,https://p.scdn.co/mp3-preview/e9703621d29dff64a3f08f2112a4836786c5880f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Camino Soria - 2018 Remaster,7hiREmwFzwoVYOqjxDBhKj,Gabinete Caligari,112QHbB1xApqwVJR6n20xy,Camino Soria (30 Aniversario Remaster),6Au8WYKaPZjMe2VOKInFqB,41,https://p.scdn.co/mp3-preview/0e250c55dc2cc975c392610d4446d14c558070d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Aqui No Hay Playa,7Ja3xxyLa5mdvAOlzBPXd2,The Refrescos,2dN0tlioLsFZ6319yNUNlX,Universal.es The Refrescos,16OaqDgZrf0mufBB0NyByn,3,not available
38,Calle Melancolia,5ZAqs1W68ldSzJ0mUO16l4,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,Mucho Sabina,5pr2R3J9kR06c9RmRGlvqa,51,https://p.scdn.co/mp3-preview/95b750426ef0dd5f09c434fcdea8c9d0ec9909e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Adiós papá,6Mw8jsLM0z0iBjL5beg2nF,Los Ronaldos,1OTnb625gMBm5NsLYAdUEm,The Platinum Collection: Los Ronaldos,3cumBEF2sZGWRKzWHPNYt8,42,https://p.scdn.co/mp3-preview/3c7ad4ea7e2f56bf8018e0522f5f19a6247db2df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Voy a pasármelo bien,78FJd3BMjDQCA1Hh2QfKqS,Hombres G,60uh2KYYSCqAgJNxcU4DA0,Voy A Pasarmelo Bien,50XOsvW7uGrpaCtzqUm2bv,54,https://p.scdn.co/mp3-preview/04fba2eadd518052781dacb2a808e1aeb5ac4263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Esos ojos negros,13MV4IsrVMUmGzuqz0T6oK,Duncan Dhu,2MLHBMApNE5h8wIufiTPs7,Canciones,42Gjhf7f1h2dKvWTKDHd90,42,https://p.scdn.co/mp3-preview/1f3ae8053f79137d0b95daffe9300793c7e372a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Amante Bandido,1hj6nYHeGclSY0VNTHMi27,Miguel Bosé,7mWCSSOYqm4E9mB7V4ot6S,Bandido,29QmPdVjXD0c5DpS4U51di,63,https://p.scdn.co/mp3-preview/df2ec2f5c8cc7be595d37b46407611ed0e4fb563?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Pacto Entre Caballeros,41JrRedwrJxbBPwI8Qku04,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW,"Hotel, Dulce Hotel",4UBv7VLi5eBakkBymrMCN4,47,https://p.scdn.co/mp3-preview/9694ffdf7aba16d3d7ab75f7a3de8de754775209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Enamorado De La Moda Juvenil,43d4GHeS2lfZOdgGE49NPA,Radio Futura,4qKJA8Cf8R44cMThP6q8KM,30 Años De La Movida,2X7cAMJg3sTureGBixd8VB,46,https://p.scdn.co/mp3-preview/cd493c9e6da1b59c20b7da29579403658efe6167?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,La culpa fue del cha-cha-chá,4v2WZwihAzu0RZFUMl4y8l,Gabinete Caligari,112QHbB1xApqwVJR6n20xy,Privado,75vFVCLOnOhkGvIOp7laB7,45,https://p.scdn.co/mp3-preview/7bf59e3ff48c06868e82e7515efca22f74f1cbae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Como una Ola,1gNXYvLc14OmqK6gSJKLUM,Rocío Jurado,1FlYevYLENR3IMgMlnMvf9,Coleccion Original: Rocio Jurado,2z7fXV5xBlpkmfnqe5b7D4,49,https://p.scdn.co/mp3-preview/3bee855dca2ad63e97de32f0863cc6ccb9f8e27b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Sevilla,5E48mFtui4eFEsEMzXXXqy,Miguel Bosé,7mWCSSOYqm4E9mB7V4ot6S,Bandido,29QmPdVjXD0c5DpS4U51di,40,https://p.scdn.co/mp3-preview/acb33c9314c0477b85bf193b9f7101240e338cff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Salta!!!,00o2gSF6lqv3XjRZyjROW5,Tequila,6stZWw6L5Sjy5m7OdUR3rO,Vuelve Tequila,5ktQDuyw6LdjrtV8BjDpxW,48,https://p.scdn.co/mp3-preview/756a400f6aa504a0b326ffe08f3ddc4a6448335b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,La Puerta de Alcalá,6QiLjKjMtPqoNdIlbqiIqv,Ana Belén,4NOZW7dBOmBMMAG9EGQd4t,Esencial Ana y Victor,5PqWboO8JlSZ2OGBlJGBBn,42,https://p.scdn.co/mp3-preview/3fd9f4a686e4462763236d0eaf5edebbe3c27128?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Aire - Remastered,3QiRtWfWlZtLz43VbJRiEm,Pedro Marin,3Lro9ZSn1oz639uXUPjQdV,Todas sus grabaciones en Hispavox (1979-1986) [Remastered 2015],526a8VvekJ5SyPslkNycvd,42,https://p.scdn.co/mp3-preview/1481fca571dd77f8f9545bf7631689ce43b4da6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
