Mujeres del Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,118396,spotify_espa%C3%B1a
1,Al Norte,67fUnCQc6m44QT3KnWzHZS,Silvana Estrada,72VywtXEoONiBLNu3ibGI7,Al Norte,2l4VdF6kbTeN26cG4c1cgk,5,not available
2,Vete De Una Vez,4avGqRWheA5WMIxaN72bNw,Daniela Spalla,2VSRhqonKsL7KRAIk8SMmt,Vete De Una Vez,4pP1N4m2FMr0taCYHJA0CX,43,not available
3,¿Qué Tiene?,2vNDq5XAoF4Gl4hfY7aacS,Ximena Sariñana,7plUpXSFcSJUZSiZAoXqr1,¿Qué Tiene?,3TF5YZurXL6aE9cbkWEbUu,60,https://p.scdn.co/mp3-preview/172eeb768d378828ba2ac163cbae93f42ce18136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,El Origen del Arcoiris,1towfaOJ1x8NlAjCQsgoTg,Camila Moreno,0SJy1J0FgP21lbvGBMKT8H,El Origen del Arcoiris,1mz4DG8vji8MQaNjTT4nvH,48,https://p.scdn.co/mp3-preview/e13b5a2767060fa129701e16e4df73a31e550ea8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Veneno,4pCe10FbydPpDaWPWVtSv2,Monsieur Periné,36KsCCwgI0Dep97yVJWmkK,Encanto Tropical,65dDJHiGH66LQPEiLHKDma,50,https://p.scdn.co/mp3-preview/67f6581c76e9a6b35f6e5f144d92fb33fb521b6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Sabré Olvidar,7CFmeHaFayBGxMRhbp42qB,Silvana Estrada,72VywtXEoONiBLNu3ibGI7,Sabré Olvidar,2Zk36BAZOIz89HUbPzJOW6,1,not available
7,Pinamar,6K98GWDNC9Q9Q28uhNjOCM,Daniela Spalla,2VSRhqonKsL7KRAIk8SMmt,Pinamar,5W7fMvZVn8kdy3imSF4C2k,44,not available
8,Hoy - Moügli Remix,4SboKdud2c6qtuOFYWeQpk,Pedrina,7BdQWt4FjHEvmTH6jmaJd1,Hoy (Moügli Remix),3P9hrHk2e2YrM65E87Ubab,23,https://p.scdn.co/mp3-preview/8caf157e17497408c003d1356d13e5aaa21b4d36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Estallar,3QFlpIJd18JNyQbnWQWiph,Soy Emilia,09MCzRiOuz48BY0imXgFFM,Reconstrucción,20NTZgsDfie7eJEHfhKnmh,25,https://p.scdn.co/mp3-preview/0eb5821b5b3f2b04907bbbe0f15bf3ed0a493297?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,qué bueno!,5oxWWmZLJIH0y6v2isD7Lt,Noa Sainz,3kN2uYBnEM2IqRxa69sxkr,qué bueno!,5NF8Q7vFhmT1RJ15czoEL7,43,https://p.scdn.co/mp3-preview/4260e3e8abfb9f2aa4636919aaf7bf09bddd0819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Carta,2TiTcWEs1CldfTx7fOGfS4,Silvana Estrada,72VywtXEoONiBLNu3ibGI7,Carta,1ebHnnX7boUGSAD0YSAJyX,49,https://p.scdn.co/mp3-preview/65ea93cfa597050fdb558a09a2ba597ae8a6142e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Pa' Mi Entero,3XYRNTBQLpR8qZMJSptr8V,Marissa Mur,5kt4v3JNtP8svtTI8PDFOT,Pa' Mi Entero,5TbFBxS1BraUgl9d0pfzyp,39,not available
13,Ya No Se Trata de Ti - Acoustic Version,06BoeYC2jAEvEJXYhV7PCX,Francisca Valenzuela,2piHiUbXwUNNIvYyIOIUKt,Ya No Se Trata de Ti (Acoustic Version),2ByrEsLdDXsKYqMXOqUUx7,50,https://p.scdn.co/mp3-preview/0ec09617e39b0572ba06240b6fe1758487a6b82e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Luciérnagas,3FEMiGiscMnKUqtCA8hmqI,Tessa Ia,2Bo0gW1bqWSjD27xOcVtjg,Luciérnagas,0vVYd2IzehgtHKH0PB5gaQ,37,https://p.scdn.co/mp3-preview/7f18648f3acff40571252416c57d0d88eb76b878?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Monoambiente en Capital,1prdmkn7pO2S0FJChx0fN4,Zoe Gotusso,3XBw8ImFEo86mEB2dYh0vS,Monoambiente en Capital,1HjSFjgizVFIZ9c1aG9VC7,56,https://p.scdn.co/mp3-preview/8a657714f5e19f1464a1db3a5a2fc28a714dfdd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Tus Ojos,0q68rJlUXGSJPT2wM38EpI,Claudia Prieto,3sjhqldeYK5lqWkyefb1jG,Compositores,2eEcFRSz8C3bFWu6A53Y9B,29,https://p.scdn.co/mp3-preview/f51b17dab45ce41a20e549a1cd21b50bd4e088e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Si Me Voy,0D7JJDCDTiVMuLnXpoAW9h,Stefania Kirnbauer,7205IkuyK4VQwBI5IbIKq8,A Veces la Lluvia Solo Es Agua,2VrhtmdUYcPliiJVMCJxfR,29,https://p.scdn.co/mp3-preview/bdadaf870081b8e2c919bd8802bafca32057395e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Quiero Que Me Quieras,69I8H6hOjJtysbOQIdRZCO,Marissa Mur,5kt4v3JNtP8svtTI8PDFOT,Quiero Que Me Quieras,2SywNh8zslIfAVJnWzXBkv,37,not available
19,Café De Las Ocho,6XpmMP3AzxZjI81e9apesl,Covi Quintana,2sSqkk6j5gRa7MzeQqMfIN,Café De Las Ocho,77KVG02WxFMY9I3KI10dag,49,https://p.scdn.co/mp3-preview/12c1d014771d95a1e821c2c6a59c92069973c517?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,"Culpa, Tengo",4bKQUb2YadX9zaek1ngZKj,Elsa y Elmar,5nKGeITSNCVP76muyOlszy,"Culpa, Tengo",6ijb7bIlJEXCOrnMxTmVfX,0,not available
21,Lost on You,2LIh4uzqq9cXMPzzmcToHl,LP,0J7U24vlOOIeMpuaO6Q85A,Lost on You,0dYi4VGov4Dl4AED2eVwPw,79,https://p.scdn.co/mp3-preview/313cff9d964dd65fa29e7a07e9146f9d183a809c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Frontera,2eFoCqv7FHIWhJHqsWJBwJ,Felisa,4oWoF3dBHBOslcI2zNS0fe,Real,4hKVyt2WWxKfGi9Z5eXAsg,27,https://p.scdn.co/mp3-preview/591b8d8bbadb3a783c3fab6f323da30e1549db06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Corazón Negro,40MCJ7vMPvmENFf7yDBtmi,Aida Bossa,67pueAIehGjbKbuwPQ0Lyv,Corazón Negro,6jSPaMf0h8xKnp4kgRQnhU,29,https://p.scdn.co/mp3-preview/79c702989dbee92e9319cb1f0dacd0ca7794a4bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Balas Negras,2eJafxdBVxN59Bl9zdP5J2,MexFutura,16yvPTKPf2gSF9p2B7GlwF,Balas Negras,5bkCR9Cpq7ZrNnDHltjc6S,34,https://p.scdn.co/mp3-preview/8d8d7bceb8ea27718f043fb85f9006c352629380?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Secuaces,09D8U0TiGcj1gAwP3dSlUC,Rey Puesto,6WvxtJVJ2rXajpU69sMr5I,Secuaces,4lTsV6kmt2XqAJqSrwmZXp,19,https://p.scdn.co/mp3-preview/de9567fa9747996b2e00a6e0d7049463344711b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Siempre,0jhpgdVgrt3HKVGmQQvGAc,Noa Sainz,3kN2uYBnEM2IqRxa69sxkr,Siempre,4E3phZHUQITTJUOe9piDe2,24,https://p.scdn.co/mp3-preview/2f390e236855165794e489c4fb9ac5434a0ece2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,No Logro Recordar,67IJAW6Y4gHsBzcjUyqUW3,Andrea Lacoste,3c1yFI3ucwXOlfyVAYlVr2,En la Boca Del,3riIDvLKt4vISPVAGM8uI1,17,https://p.scdn.co/mp3-preview/38bc0907f928c8fb12023fe20df5011fa7b6c86e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Arenga,1bLNoffW6MAXLnS1TlDzTQ,Jai Jas,1hCWQPyCBEJehtWUOTDeFz,Arenga,1EK7xHVNHnoSaGjXtNwWGo,14,https://p.scdn.co/mp3-preview/a47c413ae53e1af5327535f187eabd4532b6ac94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Lluvia,4QNit6Cf3cE6ATCkMf9DPi,Natalie Perez,1Y99HOeRzRc27my6NJE3rE,Lluvia,1qv9qjBCJ2DvydLugns2tM,0,not available
30,Arma Letal,20IkGu2iw44zKM7COEGbCE,Fer Casillas,1zl3p4VBfqqHGikw3Ad46R,Imágenes de Olga (Lado A),3IbsxCzaqRc3js4Zuyatmc,24,https://p.scdn.co/mp3-preview/dc7d136d3762d5688fb074095cfbf1656142d560?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Desilusión,6eDn4Ayeaau15f25SF4En3,Sofia Macchi,4gtaTXIhBK1iyVUAkB2YZu,Desilusión,1NINKjfyPRdTjMD8bN1NeY,38,https://p.scdn.co/mp3-preview/3b96834efba695df961871256c336e4319dfca60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Nunca Te Vayas,7aPiOjT4DspcfhWmj2p0St,Arroba Nat,4Srl3qf5e1RfnXi5wBlIL4,Nunca Te Vayas,6rlkYrnY3VuaFoFS7kEYIA,0,not available
33,Son de la Vida,4z3dFFqNYEMqpvpJ03yQ2u,Pascuala Ilabaca y Fauna,6nf17XGXCx2PSgkhPYjSIA,Son de la Vida,3NMQ11UoQHhOvV88Gv674w,30,https://p.scdn.co/mp3-preview/180dc62de220844a9c3a83213dd1e87b4626e028?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,La Fuerza,4TQsJKRiNKWTNtaGscFQjd,La Bien Querida,0Wn7tfH4rhaWTn8aMqSgh6,La Fuerza,3UYcSPXPALjGIhm18rZ33W,42,https://p.scdn.co/mp3-preview/c412c8878ac43c5840b96dd859699ada26d474d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Sanar,2wq42fveBWE7qzqjEP2PQR,Fer Casillas,1zl3p4VBfqqHGikw3Ad46R,Sanar,07CaFRzg1lb3H26MnMUI4f,28,https://p.scdn.co/mp3-preview/a85c98e991282ebfaf9ee4fc6bf25cdd4c3868fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Nagano,5qTnlwbe18VRvDJQYAreGW,CLUBZ,6MoZZABXeQwEmzmcwICxwK,Destellos,2X4swA3UkpqAS8bbXYgP9k,55,https://p.scdn.co/mp3-preview/1fc849c88122f70060c4a0791ff5351471fce1bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Kintsugi,2kJSKfA6jrrXxqmDZoWLvt,Pamela Rodriguez,0xSlY9GBehjuViqWE1KrMC,Kintsugi,6CBtxsXQQKQO5jiCpysjMw,27,https://p.scdn.co/mp3-preview/e5890d9d2616ed63f5e3fd0d92da0a860c98876c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Hasta Que Salga el Sol,0hkDnlpvolvTx9iXSbw2g9,Soy Emilia,09MCzRiOuz48BY0imXgFFM,Hasta Que Salga el Sol,24s5SaA03A7g5WPzgb7BtC,0,not available
39,Ser Eternos,2Nbd4vA664gAa23iCmbP4X,LaTorre,1jiEzyMQwfYcQtp19fwOTZ,Ser Eternos,12LRUTem7DZkK72rfo2Jvk,29,https://p.scdn.co/mp3-preview/6e99af5a5a9770d314b8f315c834a63f8f5b489b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,MALAMENTE - Cap.1: Augurio,5zOAudPQIs5U8zP6LQGHmH,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,MALAMENTE (Cap.1: Augurio),2O7Zu2OPZzqehwh1wiO764,69,https://p.scdn.co/mp3-preview/e144483031e39b729519d4b229baf62f33d61ca0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Barcelona,0GXKsLw4IDGXm6zlCA80s8,Paula Van Hissenhoven,2SKYxZDXoclUKA70rGtha7,Barcelona,5lWcI7mbvCpkfneFB1KoSM,29,https://p.scdn.co/mp3-preview/61a9b9ea0e4c09640ae9a49060c466c164095021?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Clase M,0E1xiD3gjKu7dtyv9mfFkL,Niña Tormenta,0KJEHAoNtPaopqOHD6UIkY,Loza,0RAoYFdwdNtRG19pGJK8Be,36,https://p.scdn.co/mp3-preview/e7d90a60c7a5973c958c047c99e8b445ec3c0b84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Hasta Que el Tiempo No Nos Separe,73YkM28HQnUPAGv8fyw1TH,Celest,2tpIEJakXfrYv4CwlUL1Fl,Hasta Que el Tiempo No Nos Separe,4ZL8atWiJfWMlfx5Pd4vtT,35,https://p.scdn.co/mp3-preview/03f30a7d336f47fcb09c9355bf18617db72c0cb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Casa,0LjT2UYtqlIYE7sCIu6Xrh,Pedrina,7BdQWt4FjHEvmTH6jmaJd1,Casa,2upLobt2x4pH8ouRUvmFft,33,https://p.scdn.co/mp3-preview/2cfea529aae1f4a4c23fc5671f36bda1e54903d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Aquiles,2y2qqW1F0SqIpdXy9lV2Xy,Mercedes Nasta,0eHEhyv8iCI5pLiD5Eh3vH,Aquiles,4aM9vvvIr65K0m1C9PPKai,34,https://p.scdn.co/mp3-preview/d21e8b8d042e6a4b01d9c5599fe92e47dd40bb22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Extranjera,20guSgR4MGyUSrV0VP3ss6,Soy Emilia,09MCzRiOuz48BY0imXgFFM,Extranjera,4mc7nzmmSLPdor87vc0qUe,25,https://p.scdn.co/mp3-preview/1469c4db2c2136f9f1d2508458e9cb49681d65c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,A la Mar Fui Por Naranjas,4gs3JU7JF0UkF7R8kP1tU2,Niña Tormenta,0KJEHAoNtPaopqOHD6UIkY,Loza,0RAoYFdwdNtRG19pGJK8Be,30,https://p.scdn.co/mp3-preview/996d49ffca98f1b86737cead9d7e495cf3e018a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Casa,4mEpYGrEDFek0JJznKZ7Hv,Fer Casillas,1zl3p4VBfqqHGikw3Ad46R,Imágenes de Olga,1TZeaHikj2S5KfKEoWdcDA,27,https://p.scdn.co/mp3-preview/23432130acc072ae0fe00f3e235a1ab6af1e478d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Creo Que No Soy Yo,7qbxZmrxS6ffyMsAP2YUKc,Maria Rodés,2uCphK8yRHj9DHJmmE5Isf,Creo Que No Soy Yo,6C2WuAzDG9RmmI9LecePOD,25,https://p.scdn.co/mp3-preview/d3ff5807c47790566e3abf695dd811f93cc48d20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Pájaro Azul,7xbgb7qQ8T7YtxIrWGZC8U,Rubio,79YjWaAoD88XGLETIsnnQV,Pájaro Azul,4ngc4LwYHR2wAEIgdAJtNB,38,https://p.scdn.co/mp3-preview/9800547a6ceb767160a66598e1dfbb117821c98f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Casco Viejo,4tRm7HmrONXg9IEvM0J5W1,Michelle Blades,2CXuLCYPAqkO8acjDoZWGG,Mariana,0QsFYUE0dodC5OmF5lswUx,20,https://p.scdn.co/mp3-preview/4c69c12411eaff2a180f083b0a81ebd868c38845?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Estado Natural,0BI29U8alc9n55WHQQHZhI,GRTSCH,0UuPYvwZmo6lXXvi1S5mLK,Estado Natural,56Vr5Z68GveaLOXgOGF8qg,18,https://p.scdn.co/mp3-preview/9fdbc687a052b30500e42489d7a88c3dc80230fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Encanto Tropical,1yInesqVBwMaW1xT4i0TPz,Monsieur Periné,36KsCCwgI0Dep97yVJWmkK,Encanto Tropical,65dDJHiGH66LQPEiLHKDma,46,https://p.scdn.co/mp3-preview/5ccfe7786dbb20e98aba7d8cabb101596998b86b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
